	Hugo_Symbol
492	ENAM
493	ENO2
494	ENPP5
495	ENTPD2
496	ERAL1
497	ERCC3
498	ERN2
499	ESRP2
500	EXOSC1
501	EXOSC10
502	FAM134A
503	FAM13C
504	FAM161B
505	FAM46B
506	FAM78A
507	FAM83D
508	FANCA
509	FAP
510	FASN
511	FASTKD1
512	FBN1
513	FBP1
514	FBXL22
515	FBXL7
516	FBXO33
517	FCGR1A
518	FH
519	FHOD1
520	FKBP9
521	FOXM1
522	FSTL3
523	GALNT12
524	GALNT7
525	GATA5
526	GBP1
527	GBP3
528	GDF9
529	GEMIN5
530	GGH
531	GHDC
532	GIMAP6
533	GOLPH3L
534	GPN3
535	GRASP
536	GRID1
537	GRTP1
538	GUF1
539	HAL
540	HAUS1
541	HCLS1
542	HEATR3
543	HECTD1
544	HEXDC
545	HHIPL2
546	HMG20B
547	HNRNPAB
548	HOXC13
549	HPS3
550	HPSE2
551	HRASLS5
552	HSCB
553	HSD3B1
554	HSP90AA1
555	HSPA14
556	HSPBAP1
557	HTATSF1
558	IARS2
559	IDH3B
560	IGDCC3
561	IL27RA
562	IL6
563	IMP4
564	INTS3
565	IRF3
566	IZUMO1
567	JOSD2
568	KARS
569	KBTBD4
570	KCNK1
571	KCNK13
572	KCNK15
573	KCNK5
574	KCNN4
575	KDELC1
576	KDM2B
577	KIAA1524
578	KIF17
579	KL
580	KLF4
581	KRT31
582	KRT6C
583	L3MBTL2
584	LACTB
585	LAMB2
586	LAMTOR5
587	LAX1
588	LHX1
589	LILRB2
590	LMF2
591	LMOD1
592	LRP12
593	LRRC46
594	LSS
595	LUM
596	LYSMD1
597	MAGI2
598	MAGIX
599	MAML2
600	MAN2B1
601	MAP6
602	MAPK8IP3
603	MARCKS
604	MARCO
605	MASP2
606	MASTL
607	MB21D2
608	MBIP
609	MCRS1
610	MDC1
611	MED8
612	MED9
613	MEFV
614	MEN1
615	MEOX1
616	MEOX2
617	METTL17
618	METTL3
619	MEX3D
620	MFN1
621	MGAT5B
622	MICU2
623	MINPP1
624	MLH1
625	MOGAT2
626	MOGS
627	MROH6
628	MRPL16
629	MRPL47
630	MSLN
631	MTMR11
632	MUC21
633	MUC4
634	MUM1
635	MXRA5
636	MYO1G
637	MZF1
638	NAGA
639	NAGLU
640	NAGPA
641	NASP
642	NDUFA8
643	NDUFAF2
644	NDUFB6
645	NFRKB
646	NIP7
647	NOL8
648	NOP56
649	NOS3
650	NOV
651	NR1I3
652	NR2F1
653	NRD1
654	NSUN2
655	NT5C3B
656	NTSR1
657	NUDCD1
658	NUDT19
659	NUDT9
660	NUP133
661	NUP85
662	OASL
663	OSBPL7
664	P3H1
665	P4HB
666	PA2G4
667	PAF1
668	PAIP1
669	PARP14
670	PARP3
671	PAXBP1
672	PBDC1
673	PCOLCE
674	PCSK4
675	PDCD7
676	PDX1
677	PDZRN4
678	PER3
679	PEX3
680	PFKM
681	PGBD1
682	PHF1
683	PHKA1
684	PIBF1
685	PIFO
686	PIGG
687	PIH1D1
688	PIM2
689	PLD2
690	PLEKHG4
691	PLEKHG6
692	PLIN4
693	PLXND1
694	PMM1
695	PNPLA6
696	POGLUT1
697	POLR1E
698	PPP1R1B
699	PPP3CA
700	PRKAB1
701	PROC
702	PROM2
703	PRPF31
704	PRPS1
705	PRSS36
706	PSMC4
707	PSMD8
708	PTGIR
709	PTGS2
710	PTPRZ1
711	PTRF
712	PWP1
713	RAB20
714	RAB29
715	RANBP2
716	RARS
717	RASL11B
718	RDH10
719	RDH16
720	REC8
721	RECQL5
722	REEP2
723	RELA
724	RETSAT
725	RFC2
726	RFX5
727	RGS1
728	RIC8A
729	RIPK4
730	RNF123
731	RNF40
732	RNLS
733	RNMTL1
734	ROBO3
735	RORC
736	RPL22L1
737	RPL23
738	RPL24
739	RPL26L1
740	RPL7
741	RPS7
742	RPSA
743	RSAD1
744	RTCA
745	SALL2
746	SALL4
747	SARS
748	SAYSD1
749	SDHAF3
750	SERPINB9
751	SETDB1
752	SFR1
753	SFTPA2
754	SGOL1
755	SGPP1
756	SH3BP5L
757	SHF
758	SHMT2
759	SIRT1
760	SIX2
761	SLC12A4
762	SLC15A3
763	SLC24A5
764	SLC25A27
765	SLC2A4
766	SLC35B1
767	SLC38A10
768	SLC6A8
769	SLC7A10
770	SLC9A4
771	SLFNL1
772	SMAD7
773	SMC2
774	SNAI1
775	SNF8
776	SNRPA
777	SNX16
778	SOD1
779	SOX9
780	SPINT1
781	SPOCK3
782	SPRTN
783	SRM
784	SRPR
785	SRSF9
786	SSX1
787	ST13
788	ST6GALNAC1
789	STK10
790	STRN3
791	SUGP1
792	SUPV3L1
793	SUSD2
794	SUSD4
795	TAF3
796	TAGAP
797	TAZ
798	TBKBP1
799	TBX2
800	TBX6
801	TCFL5
802	TCP1
803	TDP2
804	TEPP
805	TESK1
806	TFAP2C
807	TFB1M
808	TG
809	TGM5
810	THAP10
811	TINAGL1
812	TKTL1
813	TLX1
814	TMEM38B
815	TMEM55A
816	TNFAIP6
817	TNFRSF10B
818	TNFSF10
819	TOX
820	TP53I13
821	TRA2A
822	TRAPPC2L
823	TREM2
824	TRIM27
825	TRIM31
826	TRIM62
827	TRIM7
828	TRMT13
829	TRO
830	TRPA1
831	TTC31
832	TUBG2
833	TWISTNB
834	TXNDC15
835	UBA3
836	UBR2
837	UHRF2
838	UPF1
839	UPF3A
840	UPK3A
841	UQCRC1
842	UTP18
843	UTP6
844	VARS2
845	VEGFC
846	VEZT
847	VPS13B
848	VPS37B
849	VPS9D1
850	WBSCR27
851	WDR43
852	WDR46
853	WDR77
854	XAB2
855	XBP1
856	XXYLT1
857	YIPF2
858	YIPF3
859	YY1AP1
860	ZC3H3
861	ZFP69
862	ZMPSTE24
863	ZMYND12
864	ZNF140
865	ZNF277
866	ZNF296
867	ZNF304
868	ZNF319
869	ZNF324B
870	ZNF334
871	ZNF408
872	ZNF543
873	ZNF692
874	ZSCAN25
875	ZYX
