Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M
TCGA-A7-A0DA-01A-31D-A10Y-09	9	11	0	11	2	0	8	0	15	0	61	29	26
TCGA-A7-A0DB-01A-11D-A272-09	11	10	0	7	2	13	1	3	0	7	0	2	3
TCGA-A7-A13D-01A-13D-A272-09	4	10	23	4	5	14	5	8	9	0	49	0	9
TCGA-A7-A13E-01A-11D-A272-09	0	0	6	3	4	6	1	7	3	0	8	1	3
TCGA-A7-A13F-01A-11D-A12Q-09	0	2	6	9	2	8	7	6	0	0	0	3	0
TCGA-A7-A13G-01A-11D-A13L-09	7	2	0	6	1	0	0	0	6	2	3	4	0
TCGA-A7-A26E-01A-11D-A272-09	18	1	0	10	3	19	10	3	0	0	0	0	3
TCGA-A7-A26F-01A-21D-A167-09	3	1	2	1	0	31	5	1	4	0	1	0	4
TCGA-A7-A26G-01A-21D-A167-09	9	4	14	4	5	3	2	0	8	2	9	3	10
TCGA-A7-A26H-01A-11D-A167-09	28	35	5	16	0	24	4	23	0	6	0	0	4
TCGA-A7-A26I-01A-11D-A167-09	6	2	2	3	4	6	2	3	3	2	7	6	3
TCGA-A7-A26J-01A-11D-A272-09	0	0	4	0	0	19	0	9	0	3	4	1	1
TCGA-A7-A2KD-01A-31D-A21Q-09	4	2	2	15	2	11	1	4	3	8	6	0	0
TCGA-A7-A3RF-01A-11D-A228-09	1	0	1	1	6	12	0	0	6	1	0	11	1
TCGA-A7-A425-01A-11D-A243-09	0	0	3	3	0	22	0	4	0	1	0	3	5
TCGA-A7-A4SC-01A-12D-A25Q-09	1	0	0	10	2	0	4	4	0	2	0	8	7
TCGA-A7-A4SD-01A-11D-A25Q-09	1	2	7	20	7	4	4	0	7	0	4	7	3
TCGA-A7-A4SE-01A-11D-A25Q-09	14	29	5	0	13	13	0	5	12	6	32	8	15
TCGA-A7-A56D-01A-11D-A27P-09	45	31	9	26	1	0	15	23	9	10	15	7	2
TCGA-A7-A5ZW-01A-12D-A29N-09	5	5	2	1	7	13	4	0	2	0	0	0	0
TCGA-A7-A5ZX-01A-12D-A29N-09	3	0	0	5	3	0	5	9	2	0	4	6	5
TCGA-A7-A6VV-01A-22D-A33E-09	3	5	8	11	1	7	0	3	10	8	3	0	6
TCGA-A7-A6VW-01A-21D-A33E-09	4	3	3	2	8	19	3	0	7	0	9	22	9
TCGA-A7-A6VX-01A-12D-A33E-09	24	8	23	5	4	6	3	13	16	5	44	26	22
TCGA-A7-A6VY-01A-12D-A33E-09	4	14	16	12	11	0	5	12	10	3	39	5	10
TCGA-A8-A06O-01A-11W-A019-09	2	2	0	22	4	43	2	3	2	8	1	0	4
TCGA-A8-A06P-01A-11W-A019-09	9	0	8	7	19	9	3	0	4	1	3	15	9
TCGA-A8-A06Q-01A-11W-A050-09	106	72	46	10	0	0	25	55	0	0	0	0	0
TCGA-A8-A06R-01A-11D-A015-09	5	2	4	14	8	12	0	6	7	0	7	2	2
TCGA-A8-A06T-01A-11W-A019-09	1	0	8	2	7	1	0	1	7	0	0	7	5
TCGA-A8-A06U-01A-11W-A019-09	4	2	13	13	22	10	1	2	9	0	3	8	6
TCGA-A8-A06X-01A-21W-A019-09	7	11	15	12	21	38	2	0	30	34	74	25	46
TCGA-A8-A06Y-01A-21W-A019-09	3	4	0	2	0	15	4	0	1	0	0	3	11
TCGA-A8-A06Z-01A-11W-A019-09	1	2	0	1	3	21	1	4	11	6	18	19	12
TCGA-A8-A075-01A-11D-A099-09	9	8	0	4	0	13	1	21	3	6	13	7	5
TCGA-A8-A076-01A-21W-A019-09	6	4	0	17	0	26	9	14	0	7	7	1	7
TCGA-A8-A079-01A-21W-A019-09	3	6	0	5	0	49	1	3	14	18	3	0	8
TCGA-A8-A07B-01A-11W-A019-09	11	10	14	2	8	15	1	4	7	4	0	8	2
TCGA-A8-A07F-01A-11W-A019-09	1	2	0	13	0	0	0	5	2	0	2	12	3
TCGA-A8-A07G-01A-11W-A050-09	6	0	9	11	9	0	3	6	16	0	12	11	13
TCGA-A8-A07I-01A-11W-A019-09	0	5	0	10	1	18	5	2	3	0	2	9	11
TCGA-A8-A07J-01A-11W-A019-09	6	4	6	1	1	2	0	11	2	25	3	29	4
TCGA-A8-A07L-01A-11W-A019-09	3	4	9	1	15	17	2	3	18	8	16	16	13
TCGA-A8-A07O-01A-11W-A019-09	13	2	0	9	0	17	6	1	4	1	11	3	0
TCGA-A8-A07P-01A-11W-A019-09	7	0	2	18	9	8	2	0	8	10	2	13	3
TCGA-A8-A07U-01A-11W-A050-09	3	12	19	4	0	28	6	14	8	1	8	5	14
TCGA-A8-A07W-01A-11W-A019-09	3	12	3	30	33	11	3	16	13	5	35	0	6
TCGA-A8-A07Z-01A-11W-A019-09	0	0	2	4	6	8	0	3	2	0	0	3	0
TCGA-A8-A081-01A-11W-A019-09	9	16	18	23	7	11	4	18	0	20	10	10	0
TCGA-A8-A082-01A-11W-A019-09	1	2	3	12	3	0	0	2	1	0	5	0	0
TCGA-A8-A083-01A-21W-A019-09	2	0	0	1	7	0	1	5	0	3	4	12	0
TCGA-A8-A085-01A-11W-A019-09	4	17	3	0	5	0	3	0	20	0	15	21	12
TCGA-A8-A08B-01A-11W-A019-09	12	2	5	5	1	4	9	11	10	0	4	6	1
TCGA-A8-A08C-01A-11W-A019-09	1	0	0	0	0	0	0	0	1	0	0	7	0
TCGA-A8-A08F-01A-11W-A019-09	1	3	12	7	28	0	0	6	13	7	21	35	15
TCGA-A8-A08G-01A-11W-A019-09	1	2	6	13	10	2	5	5	0	1	0	9	4
TCGA-A8-A08H-01A-21W-A019-09	73	1	6	0	9	0	0	31	20	2	12	81	8
TCGA-A8-A08J-01A-11W-A019-09	2	0	6	4	2	8	4	9	0	2	4	2	2
TCGA-A8-A08L-01A-11W-A019-09	35	59	41	0	4	19	0	16	10	31	40	11	19
TCGA-A8-A08O-01A-21W-A071-09	1	2	1	1	3	10	5	0	4	0	0	8	0
TCGA-A8-A08P-01A-11W-A019-09	6	11	0	12	9	9	5	3	6	5	6	20	0
TCGA-A8-A08R-01A-11W-A050-09	6	41	27	6	25	28	6	19	19	12	57	40	19
TCGA-A8-A08S-01A-11W-A050-09	5	0	0	19	8	12	4	0	6	0	6	8	3
TCGA-A8-A08T-01A-21W-A019-09	3	4	0	6	5	9	9	2	11	5	0	13	7
TCGA-A8-A08X-01A-21W-A019-09	0	3	0	14	11	0	0	3	7	0	0	12	3
TCGA-A8-A08Z-01A-21W-A019-09	6	0	1	11	3	12	0	0	5	2	1	6	0
TCGA-A8-A090-01A-11W-A019-09	3	2	2	8	1	3	3	7	1	2	0	12	5
TCGA-A8-A091-01A-11W-A019-09	6	0	3	8	2	5	1	0	0	0	0	3	5
TCGA-A8-A092-01A-11W-A019-09	29	15	3	3	6	15	12	10	4	0	0	2	1
TCGA-A8-A093-01A-11W-A019-09	51	18	0	12	0	8	25	13	5	0	2	15	0
TCGA-A8-A094-01A-11W-A019-09	57	66	0	0	21	24	10	24	1	0	0	28	0
TCGA-A8-A095-01A-11W-A019-09	76	53	34	0	0	17	20	0	0	0	1	6	11
TCGA-A8-A096-01A-11W-A019-09	0	0	0	13	8	1	0	1	0	4	6	13	0
TCGA-A8-A097-01A-11W-A050-09	2	18	5	6	11	0	4	7	15	2	19	25	23
TCGA-A8-A099-01A-11W-A019-09	0	3	0	9	1	0	1	7	3	1	0	10	9
TCGA-A8-A09A-01A-11W-A019-09	17	9	18	4	16	24	0	21	34	21	28	48	36
TCGA-A8-A09B-01A-11W-A019-09	3	2	0	7	0	10	3	4	11	0	10	3	3
TCGA-A8-A09C-01A-11W-A019-09	0	0	0	2	6	11	1	4	9	0	7	20	0
TCGA-A8-A09D-01A-11W-A019-09	7	0	0	4	17	1	0	8	12	2	6	13	2
TCGA-A8-A09E-01A-11W-A019-09	2	0	2	0	7	27	0	8	19	7	9	18	1
TCGA-A8-A09G-01A-21W-A019-09	91	89	131	0	0	0	17	8	0	0	0	0	0
TCGA-A8-A09I-01A-22W-A050-09	25	23	37	22	1	28	10	22	0	1	1	4	0
TCGA-A8-A09K-01A-11W-A019-09	4	0	2	9	5	0	2	10	5	4	3	11	0
TCGA-A8-A09M-01A-11W-A019-09	1	8	0	7	12	18	2	13	17	33	54	0	17
TCGA-A8-A09N-01A-11W-A019-09	17	18	18	15	6	0	7	6	0	0	0	72	0
TCGA-A8-A09Q-01A-11W-A019-09	5	5	10	22	12	62	12	8	4	16	18	22	2
TCGA-A8-A09T-01A-11W-A019-09	3	0	1	1	3	11	0	0	3	0	0	4	5
TCGA-A8-A09V-01A-11D-A045-09	0	4	1	8	0	0	0	7	1	0	10	0	3
TCGA-A8-A09W-01A-11W-A019-09	2	2	11	16	16	0	0	3	7	4	31	6	8
TCGA-A8-A09X-01A-11W-A019-09	14	2	9	6	0	25	4	0	3	12	2	0	4
TCGA-A8-A09Z-01A-11W-A019-09	13	0	51	244	615	129	21	0	285	28	0	0	60
TCGA-A8-A0A1-01A-11W-A019-09	3	0	0	15	4	14	3	2	10	0	4	14	2
TCGA-A8-A0A2-01A-11W-A050-09	1	0	0	4	5	23	0	1	4	14	0	0	3
TCGA-A8-A0A4-01A-11W-A019-09	2	2	1	10	7	8	0	8	0	2	5	27	10
TCGA-A8-A0A6-01A-12W-A071-09	6	1	0	8	0	0	5	0	11	0	3	16	0
TCGA-A8-A0A7-01A-11W-A019-09	122	58	0	5	13	0	16	48	7	10	8	0	6
TCGA-A8-A0A9-01A-11W-A019-09	7	7	10	12	0	30	5	0	4	0	1	0	0
TCGA-A8-A0AB-01A-11W-A050-09	0	0	6	8	2	9	1	1	5	0	10	1	1
TCGA-A8-A0AD-01A-11W-A071-09	4	1	0	3	2	14	0	0	7	0	0	6	1
TCGA-AC-A23C-01A-12D-A167-09	24	14	19	5	14	3	3	11	0	18	6	15	1
TCGA-AC-A23E-01A-11D-A159-09	0	0	0	6	0	6	2	0	4	1	4	0	1
TCGA-AC-A23H-01A-11D-A159-09	1969	2072	1396	0	0	0	205	454	0	0	0	0	0
TCGA-AC-A2B8-01A-11D-A17D-09	38	30	12	4	0	9	3	27	0	0	0	0	0
TCGA-AC-A2BK-01A-11D-A21Q-09	0	2	11	22	14	0	3	0	7	5	35	0	13
TCGA-AC-A2BM-01A-11D-A21Q-09	0	3	0	1	3	0	1	0	7	0	0	3	2
TCGA-AC-A2FB-01A-11D-A17D-09	3	0	0	1	0	3	0	0	2	1	0	3	1
TCGA-AC-A2FF-01A-11D-A17D-09	0	1	0	0	2	3	0	4	0	0	1	0	2
TCGA-AC-A2FG-01A-11D-A17D-09	4	0	6	0	1	20	3	3	1	0	2	0	0
TCGA-AC-A2FO-01A-11D-A17W-09	7	5	0	0	0	2	2	10	0	2	1	1	0
TCGA-AC-A2QH-01A-11D-A18P-09	5	1	0	7	1	16	0	0	0	7	0	0	1
TCGA-AC-A3HN-01A-11D-A20S-09	3	2	0	6	5	0	1	0	3	0	3	1	5
TCGA-AC-A3OD-01A-11D-A21Q-09	5	0	0	12	2	0	5	0	8	0	0	4	1
TCGA-AC-A3QP-01A-11D-A22X-09	0	0	4	2	5	5	6	0	3	0	1	6	5
TCGA-AC-A3QQ-01A-11D-A228-09	0	1	0	11	0	0	1	2	7	3	0	13	0
TCGA-AC-A3W5-01A-11D-A228-09	23	43	0	14	3	0	9	9	25	8	50	27	15
TCGA-AC-A3YI-01A-21D-A23C-09	0	0	0	2	3	0	3	2	1	1	1	3	3
TCGA-AC-A3YJ-01A-11D-A22X-09	1	0	0	12	2	0	0	5	7	3	0	7	0
TCGA-AC-A4ZE-01A-11D-A41F-09	6	2	1	13	12	7	3	1	7	0	8	0	15
TCGA-AC-A5EH-01A-11D-A28B-09	12	11	9	12	20	15	7	9	21	14	60	0	24
TCGA-AC-A5EI-01A-11D-A27P-09	8	1	0	4	2	19	3	3	1	0	2	0	0
TCGA-AC-A5XS-01A-11D-A29N-09	188	172	183	0	0	0	49	144	0	0	0	0	0
TCGA-AC-A5XU-01A-11D-A28B-09	7	4	8	37	5	6	2	21	1	2	1	5	9
TCGA-AC-A62V-01A-11D-A31U-09	3	3	3	32	8	0	6	7	10	7	21	0	4
TCGA-AC-A62X-01A-11D-A29N-09	0	4	0	38	5	0	3	9	2	17	3	0	4
TCGA-AC-A62Y-01A-11D-A29N-09	12	14	0	8	9	19	3	6	7	0	9	0	3
TCGA-AC-A6IV-01A-12D-A33E-09	0	0	0	2	0	9	5	1	5	0	0	3	1
TCGA-AC-A6IW-01A-12D-A33E-09	20	38	59	22	2	0	7	23	10	2	28	7	0
TCGA-AC-A6IX-01A-12D-A32I-09	11	5	11	10	6	4	1	4	8	0	2	0	0
TCGA-AC-A6NO-01A-12D-A33E-09	1	0	6	6	7	12	2	5	5	0	0	0	0
TCGA-AC-A7VB-01A-11D-A351-09	0	0	1	12	5	8	0	0	8	0	0	0	2
TCGA-AC-A7VC-01A-11D-A351-09	0	2	0	3	5	6	4	1	6	0	2	0	1
TCGA-AC-A8OP-01A-11D-A36J-09	9	10	5	39	29	19	15	16	15	23	34	0	30
TCGA-AC-A8OQ-01A-11D-A41F-09	17	3	5	9	7	55	12	6	11	0	3	1	10
TCGA-AC-A8OR-01A-21D-A41F-09	1	0	1	10	1	0	0	0	5	4	0	4	24
TCGA-AC-A8OS-01A-12D-A41F-09	12	4	3	8	5	19	0	0	6	0	7	1	9
TCGA-AN-A03X-01A-21W-A019-09	0	0	0	1	8	24	1	2	7	10	16	19	3
TCGA-AN-A03Y-01A-21W-A019-09	7	0	1	10	3	17	4	1	5	0	0	5	2
TCGA-AN-A041-01A-11W-A050-09	6	0	0	5	7	10	4	1	6	2	0	13	2
TCGA-AN-A046-01A-21W-A050-09	50	0	0	24	0	0	3234	0	0	3857	0	0	0
TCGA-AN-A049-01A-21W-A019-09	1	0	1	11	3	0	4	6	0	1	9	4	2
TCGA-AN-A04A-01A-21W-A050-09	2	0	0	11	2	11	2	4	17	0	0	1	6
TCGA-AN-A04C-01A-21W-A050-09	3	5	0	24	10	0	5	15	10	0	7	15	17
TCGA-AN-A04D-01A-21W-A050-09	1	8	1	7	8	0	4	2	17	0	21	40	7
TCGA-AN-A0AJ-01A-11W-A019-09	4	17	0	18	7	0	13	8	4	5	11	12	8
TCGA-AN-A0AK-01A-21W-A019-09	15	0	58	353	539	0	41	0	329	55	0	0	73
TCGA-AN-A0AL-01A-11W-A019-09	1	8	2	2	4	8	1	0	15	9	7	18	17
TCGA-AN-A0AM-01A-11W-A050-09	6	8	3	20	2	0	2	7	17	0	12	17	22
TCGA-AN-A0AR-01A-11W-A019-09	2	11	16	11	1	0	2	5	11	14	38	23	19
TCGA-AN-A0AS-01A-11W-A019-09	5	0	4	5	2	26	4	0	0	0	2	3	3
TCGA-AN-A0AT-01A-11D-A045-09	4	10	10	1	17	14	2	3	19	6	25	15	13
TCGA-AN-A0FD-01A-11W-A050-09	2	0	3	3	1	10	0	0	5	0	7	3	5
TCGA-AN-A0FF-01A-11W-A050-09	0	0	0	8	10	0	0	3	7	0	0	0	0
TCGA-AN-A0FJ-01A-11W-A019-09	19	11	28	8	7	18	0	3	5	0	21	6	7
TCGA-AN-A0FK-01A-11W-A050-09	3	0	0	16	7	0	6	2	15	0	4	8	5
TCGA-AN-A0FL-01A-11W-A050-09	7	17	28	26	8	0	2	10	14	9	34	35	21
TCGA-AN-A0FN-01A-11W-A050-09	6	0	10	0	6	7	4	0	20	0	3	21	12
TCGA-AN-A0FS-01A-11W-A050-09	15	12	0	7	0	22	3	7	15	14	0	1	10
TCGA-AN-A0FT-01A-11W-A050-09	13	10	16	19	10	28	6	18	9	6	0	0	0
