Samples	SBS96A	SBS96B	SBS96C
TCGA-LT-A8JT-01A-11D-A364-08	16	35	16
TCGA-MV-A51V-01A-11D-A26M-08	1429	0	20
TCGA-PQ-A6FI-01A-11D-A31L-08	84	45	10
TCGA-PQ-A6FN-01A-11D-A31L-08	23	36	7
TCGA-R3-A69X-01A-22D-A30E-08	169	0	16
TCGA-S5-A6DX-01A-11D-A31L-08	382	123	58
TCGA-S5-AA26-01A-11D-A38G-08	154	16	22
TCGA-SY-A9G0-01A-12D-A38G-08	21	23	2
TCGA-SY-A9G5-01A-11D-A38G-08	669	200	10
TCGA-UY-A78K-01A-11D-A339-08	292	311	126
TCGA-UY-A78L-01A-12D-A339-08	112	80	6
TCGA-UY-A78M-01A-21D-A34U-08	52	48	11
TCGA-UY-A78N-01A-12D-A339-08	0	145	48
TCGA-UY-A78O-01A-12D-A339-08	99	19	49
TCGA-UY-A78P-01A-12D-A364-08	217	24	10
TCGA-UY-A8OB-01A-12D-A42E-08	149	97	57
TCGA-UY-A8OC-01A-11D-A364-08	26	38	14
TCGA-UY-A8OD-01A-11D-A364-08	26	49	11
TCGA-UY-A9PA-01A-11D-A38G-08	34	112	3
TCGA-UY-A9PB-01A-11D-A38G-08	268	258	1
TCGA-UY-A9PD-01A-11D-A38G-08	45	186	33
TCGA-UY-A9PE-01A-11D-A38G-08	85	60	37
TCGA-UY-A9PF-01A-11D-A38G-08	36	357	0
TCGA-UY-A9PH-01A-11D-A38G-08	170	128	25
TCGA-XF-A8HB-01A-11D-A364-08	15	18	35
TCGA-XF-A8HC-01A-11D-A364-08	32	95	17
TCGA-XF-A8HD-01A-11D-A364-08	326	71	46
TCGA-XF-A8HE-01A-11D-A364-08	181	155	7
TCGA-XF-A8HF-01A-11D-A364-08	47	79	13
TCGA-XF-A8HG-01A-11D-A364-08	60	154	27
TCGA-XF-A8HH-01A-11D-A38G-08	43	50	13
TCGA-XF-A8HI-01A-11D-A38G-08	41	38	0
TCGA-XF-A9SG-01A-12D-A42E-08	80	74	14
TCGA-XF-A9SH-01A-11D-A391-08	26	1	9
TCGA-XF-A9SI-01A-11D-A391-08	239	71	0
TCGA-XF-A9SJ-01A-11D-A391-08	76	163	0
TCGA-XF-A9SK-01A-11D-A42E-08	73	32	21
TCGA-XF-A9SL-01A-11D-A391-08	60	0	3
TCGA-XF-A9SM-01A-11D-A42E-08	139	77	0
TCGA-XF-A9SP-01A-11D-A391-08	154	81	33
TCGA-XF-A9ST-01A-11D-A42E-08	266	151	48
TCGA-XF-A9SU-01A-31D-A391-08	8	13	21
TCGA-XF-A9SV-01A-21D-A42E-08	16	30	16
TCGA-XF-A9SW-01A-11D-A42E-08	8	43	8
TCGA-XF-A9SX-01A-21D-A391-08	16	61	22
TCGA-XF-A9SY-01A-21D-A42E-08	211	73	91
TCGA-XF-A9SZ-01A-11D-A391-08	78	87	18
TCGA-XF-A9T0-01A-11D-A391-08	84	587	0
TCGA-XF-A9T2-01A-11D-A42E-08	39	37	2
TCGA-XF-A9T3-01A-11D-A42E-08	40	276	59
TCGA-XF-A9T4-01A-11D-A391-08	12	7	11
TCGA-XF-A9T5-01A-11D-A42E-08	487	121	0
TCGA-XF-A9T6-01A-11D-A42E-08	3	220	22
TCGA-XF-A9T8-01A-11D-A391-08	547	108	0
