Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-E5-A2PC-01A-11D-A202-08	24	7	0	19	21	0
TCGA-E5-A4TZ-01A-11D-A31L-08	30	45	12	0	28	4
TCGA-E5-A4U1-01A-11D-A31L-08	56	82	0	14	4	14
TCGA-E7-A3X6-01A-12D-A22Z-08	15	6	0	5	2	3
TCGA-E7-A3Y1-01A-11D-A22Z-08	3	0	1	34	15	0
TCGA-E7-A4IJ-01A-31D-A26M-08	39	26	0	22	5	4
TCGA-E7-A4XJ-01A-11D-A26M-08	0	0	0	0	4	0
TCGA-E7-A519-01A-11D-A26M-08	1	5	0	4	4	4
TCGA-E7-A541-01A-11D-A26M-08	25	30	23	11	12	9
TCGA-E7-A5KE-01A-11D-A289-08	8	0	41	0	15	10
TCGA-E7-A5KF-01A-11D-A289-08	18	18	15	0	0	9
TCGA-E7-A677-01A-11D-A30E-08	0	0	19	31	9	0
TCGA-E7-A678-01A-11D-A30E-08	0	0	5	2	1	0
TCGA-E7-A6MD-01A-41D-A34U-08	44	35	18	10	21	3
TCGA-E7-A6ME-01A-22D-A32B-08	0	4	4	19	4	3
TCGA-E7-A6MF-01A-12D-A32B-08	5	7	0	3	0	0
TCGA-E7-A7DU-01A-11D-A32B-08	22	23	0	8	3	8
TCGA-E7-A7DV-01A-11D-A339-08	9	38	3	0	7	10
TCGA-E7-A7PW-01A-11D-A34U-08	9	3	0	9	4	0
TCGA-E7-A7XN-01A-11D-A34U-08	79	117	30	0	1	14
TCGA-E7-A85H-01A-11D-A34U-08	18	3	9	59	34	0
TCGA-E7-A8O7-01A-11D-A364-08	1	1	3	0	1	1
TCGA-E7-A8O8-01A-11D-A364-08	0	4	0	8	16	0
TCGA-E7-A97P-01A-11D-A38G-08	4	4	12	19	11	5
TCGA-E7-A97Q-01A-11D-A38G-08	0	1	18	0	0	1
TCGA-FD-A3B3-01A-12D-A202-08	7	18	0	1	7	9
TCGA-FD-A3B4-01A-12D-A202-08	1	2	0	14	0	5
TCGA-FD-A3B5-01A-11D-A20D-08	9	5	20	0	8	1
TCGA-FD-A3B6-01A-21D-A20D-08	17	16	7	7	3	3
TCGA-FD-A3B7-01A-31D-A20D-08	0	0	8	0	10	0
TCGA-FD-A3B8-01A-31D-A20D-08	1	3	0	0	1	0
TCGA-FD-A3N5-01A-11D-A21A-08	3	2	7	53	19	4
TCGA-FD-A3N6-01A-11D-A21A-08	7	3	0	0	11	7
TCGA-FD-A3NA-01A-11D-A21A-08	22	10	0	5	0	0
TCGA-FD-A3SJ-01A-12D-A22Z-08	10	22	0	22	17	1
TCGA-FD-A3SL-01A-21D-A22Z-08	5	15	20	8	7	9
TCGA-FD-A3SM-01A-11D-A22Z-08	13	23	0	5	4	0
