Samples	SBS96A	SBS96B	SBS96C
TCGA-AC-A3QP-01A-11D-A22X-09	24	2	7
TCGA-AC-A3QQ-01A-11D-A228-09	33	1	3
TCGA-AC-A3W5-01A-11D-A228-09	104	92	13
TCGA-AC-A3YI-01A-21D-A23C-09	12	1	6
TCGA-AC-A3YJ-01A-11D-A22X-09	28	1	3
TCGA-AC-A4ZE-01A-11D-A41F-09	57	9	3
TCGA-AC-A5EH-01A-11D-A28B-09	138	39	14
TCGA-AC-A5EI-01A-11D-A27P-09	27	9	4
TCGA-AC-A5XS-01A-11D-A29N-09	26	608	53
TCGA-AC-A5XU-01A-11D-A28B-09	84	15	6
TCGA-AC-A62V-01A-11D-A31U-09	76	7	9
TCGA-AC-A62X-01A-11D-A29N-09	63	2	7
TCGA-AC-A62Y-01A-11D-A29N-09	48	31	4
TCGA-AC-A6IV-01A-12D-A33E-09	16	1	6
TCGA-AC-A6IW-01A-12D-A33E-09	110	90	3
TCGA-AC-A6IX-01A-12D-A32I-09	34	22	1
TCGA-AC-A6NO-01A-12D-A33E-09	30	4	4
TCGA-AC-A7VB-01A-11D-A351-09	30	0	1
TCGA-AC-A7VC-01A-11D-A351-09	22	1	5
TCGA-AC-A8OP-01A-11D-A36J-09	167	28	27
TCGA-AC-A8OQ-01A-11D-A41F-09	86	25	17
TCGA-AC-A8OR-01A-21D-A41F-09	46	1	1
TCGA-AC-A8OS-01A-12D-A41F-09	52	19	1
TCGA-AN-A03X-01A-21W-A019-09	73	2	7
TCGA-AN-A03Y-01A-21W-A019-09	39	7	6
TCGA-AN-A041-01A-11W-A050-09	37	9	6
TCGA-AN-A046-01A-21W-A050-09	0	0	6660
TCGA-AN-A049-01A-21W-A019-09	25	4	7
TCGA-AN-A04A-01A-21W-A050-09	46	3	3
TCGA-AN-A04C-01A-21W-A050-09	82	12	8
TCGA-AN-A04D-01A-21W-A050-09	86	15	3
TCGA-AN-A0AJ-01A-11W-A019-09	59	19	17
TCGA-AN-A0AK-01A-21W-A019-09	1263	7	91
TCGA-AN-A0AL-01A-11W-A019-09	68	10	2
TCGA-AN-A0AM-01A-11W-A050-09	87	20	4
TCGA-AN-A0AR-01A-11W-A019-09	104	28	8
TCGA-AN-A0AS-01A-11W-A019-09	36	6	6
TCGA-AN-A0AT-01A-11D-A045-09	94	26	5
TCGA-AN-A0FD-01A-11W-A050-09	33	3	0
TCGA-AN-A0FF-01A-11W-A050-09	25	0	0
TCGA-AN-A0FJ-01A-11W-A019-09	79	46	0
TCGA-AN-A0FK-01A-11W-A050-09	49	5	6
TCGA-AN-A0FL-01A-11W-A050-09	147	40	6
TCGA-AN-A0FN-01A-11W-A050-09	65	14	7
TCGA-AN-A0FS-01A-11W-A050-09	58	31	8
TCGA-AN-A0FT-01A-11W-A050-09	84	30	9
TCGA-AN-A0FV-01A-11W-A019-09	62	44	3
TCGA-AN-A0FW-01A-11W-A050-09	87	24	11
TCGA-AN-A0FX-01A-11W-A050-09	136	23	17
TCGA-AN-A0FY-01A-11W-A050-09	52	5	4
TCGA-AN-A0FZ-01A-11W-A050-09	64	8	9
TCGA-AN-A0G0-01A-11W-A050-09	37	2	2
TCGA-AN-A0XN-01A-21D-A10G-09	130	17	12
TCGA-AN-A0XO-01A-11D-A10G-09	19	6	11
TCGA-AN-A0XP-01A-11D-A117-09	23	8	1
TCGA-AN-A0XR-01A-11D-A10G-09	20	8	0
TCGA-AN-A0XS-01A-22D-A10G-09	18	8	4
TCGA-AN-A0XT-01A-11D-A10G-09	18	1	0
TCGA-AN-A0XU-01A-11D-A10G-09	76	31	12
TCGA-AN-A0XV-01A-11D-A10G-09	30	2	3
TCGA-AN-A0XW-01A-11D-A10G-09	6	374	0
TCGA-AO-A03L-01A-41W-A071-09	31	7	0
TCGA-AO-A03O-01A-11W-A019-09	88	8	0
TCGA-AO-A03P-01A-11W-A019-09	48	9	6
TCGA-AO-A03R-01A-21W-A050-09	52	8	4
TCGA-AO-A03T-01A-21W-A050-09	86	34	2
TCGA-AO-A03V-01A-11D-A10Y-09	39	17	7
TCGA-AO-A0J2-01A-11W-A050-09	67	11	4
TCGA-AO-A0J3-01A-11W-A050-09	56	18	15
TCGA-AO-A0J4-01A-11W-A050-09	87	57	0
TCGA-AO-A0J5-01A-11W-A050-09	68	8	6
TCGA-AO-A0J6-01A-11W-A050-09	84	30	6
TCGA-AO-A0J7-01A-11W-A050-09	16	7	3
TCGA-AO-A0J8-01A-21D-A045-09	22	3	4
TCGA-AO-A0J9-01A-11W-A050-09	55	115	15
TCGA-AO-A0JA-01A-11W-A071-09	20	15	1
TCGA-AO-A0JB-01A-11W-A071-09	108	27	7
TCGA-AO-A0JC-01A-11W-A071-09	11	152	13
