Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M
TCGA-A1-A0SQ-01A-21D-A142-09	3	0	5	17	0	0	3	6	0	0	0	0	0
TCGA-A2-A04N-01A-11D-A10Y-09	5	0	0	10	0	0	10	0	8	0	0	20	0
TCGA-A2-A04P-01A-31D-A128-09	0	8	26	10	0	0	0	0	14	0	52	35	17
TCGA-A2-A04Q-01A-21W-A050-09	0	4	0	8	0	0	0	9	9	10	13	0	10
TCGA-A2-A04R-01A-41D-A117-09	0	8	0	11	0	0	0	0	10	19	28	0	22
TCGA-A2-A04T-01A-21W-A050-09	7	8	0	0	0	33	0	0	13	0	37	0	18
TCGA-A2-A04U-01A-11D-A10Y-09	0	0	8	0	0	36	6	0	0	0	13	0	0
TCGA-A2-A04V-01A-21W-A050-09	4	0	0	0	0	35	3	0	6	0	0	0	0
TCGA-A2-A04W-01A-31D-A10Y-09	35	45	66	0	0	0	16	20	0	0	0	0	0
TCGA-A2-A04X-01A-21W-A050-09	18	14	0	9	0	0	0	7	0	0	0	0	0
TCGA-A2-A04Y-01A-21W-A050-09	4	0	13	0	0	22	7	0	0	0	0	0	13
TCGA-A2-A0CK-01A-11D-A228-09	3	0	0	10	0	7	0	3	0	0	0	0	5
TCGA-A2-A0CL-01A-11D-A10Y-09	45	49	22	0	0	28	11	11	0	0	0	0	0
TCGA-A2-A0CM-01A-31W-A050-09	12	14	0	0	0	0	0	15	11	0	0	19	10
TCGA-A2-A0CP-01A-11W-A050-09	0	0	0	0	0	0	0	0	32	0	0	96	28
TCGA-A2-A0CQ-01A-21W-A050-09	0	0	0	13	0	0	0	0	18	9	20	0	0
TCGA-A2-A0CR-01A-11D-A228-09	81	80	0	0	0	0	10	28	0	0	0	0	0
TCGA-A2-A0CS-01A-11D-A10Y-09	0	0	0	19	0	0	0	0	0	0	0	30	0
TCGA-A2-A0CT-01A-31W-A071-09	22	17	0	19	0	39	11	24	0	0	0	0	0
TCGA-A2-A0CU-01A-12W-A050-09	5	4	0	9	0	0	3	0	19	0	0	23	0
TCGA-A2-A0CV-01A-31D-A10Y-09	0	0	0	13	0	0	4	0	0	0	0	0	6
TCGA-A2-A0CW-01A-21D-A10Y-09	18	7	0	0	0	38	6	0	0	0	0	0	0
TCGA-A2-A0CX-01A-21W-A019-09	140	89	53	0	0	0	31	54	0	0	0	0	0
TCGA-A2-A0D0-01A-11W-A019-09	0	13	0	11	0	0	4	0	11	0	28	26	0
TCGA-A2-A0D1-01A-11W-A050-09	13	8	0	0	24	40	6	0	0	0	23	0	0
TCGA-A2-A0D2-01A-21W-A050-09	0	15	0	0	22	0	0	11	15	0	45	0	0
TCGA-A2-A0D3-01A-11D-A10Y-09	0	0	0	29	0	0	4	0	0	0	0	0	0
TCGA-A2-A0D4-01A-11W-A019-09	0	0	12	6	0	0	4	0	0	0	0	21	0
TCGA-A2-A0EM-01A-11W-A050-09	0	0	0	6	0	0	0	7	9	0	0	26	0
TCGA-A2-A0EN-01A-13D-A099-09	0	0	0	0	0	31	6	0	0	0	0	0	0
TCGA-A2-A0EO-01A-11W-A050-09	5	0	0	0	0	17	0	0	8	0	0	21	0
TCGA-A2-A0EP-01A-52D-A22X-09	0	4	0	0	3	4	0	7	0	0	0	0	0
TCGA-A2-A0EQ-01A-11W-A050-09	61	109	99	0	0	0	0	36	0	0	0	0	0
TCGA-A2-A0ER-01A-21W-A050-09	0	0	0	12	13	0	0	0	0	0	23	0	0
TCGA-A2-A0ES-01A-11D-A10Y-09	0	0	0	4	0	0	0	4	4	0	0	0	0
TCGA-A2-A0ET-01A-31D-A045-09	0	0	8	22	0	0	8	10	0	0	0	0	12
TCGA-A2-A0EU-01A-22W-A071-09	4	0	0	16	0	27	5	0	0	0	0	0	0
TCGA-A2-A0EV-01A-11W-A050-09	0	0	0	17	0	0	18	25	21	0	0	0	0
TCGA-A2-A0EW-01A-21D-A10Y-09	0	0	0	6	8	0	4	0	0	0	0	0	0
TCGA-A2-A0EX-01A-21W-A050-09	4	0	0	0	0	24	0	0	8	0	0	0	0
TCGA-A2-A0EY-01A-11W-A050-09	107	59	0	0	0	58	40	46	0	0	0	0	0
TCGA-A2-A0ST-01A-12D-A099-09	1	2	0	0	4	10	0	4	0	0	0	0	0
TCGA-A2-A0SU-01A-11D-A099-09	0	0	0	9	0	0	0	0	10	0	0	15	0
TCGA-A2-A0SV-01A-11D-A099-09	0	0	0	9	0	13	4	0	15	0	0	0	0
TCGA-A2-A0SW-01A-11D-A099-09	6	6	0	0	12	27	0	12	0	0	0	0	0
TCGA-A2-A0SX-01A-12D-A099-09	8	0	0	11	0	0	0	0	0	23	0	0	0
TCGA-A2-A0SY-01A-31D-A099-09	41	55	0	0	0	23	17	26	0	0	0	0	0
TCGA-A2-A0T0-01A-22D-A099-09	9	16	0	13	34	0	0	0	17	23	68	0	30
TCGA-A2-A0T1-01A-21D-A099-09	0	0	0	0	7	17	4	0	0	0	0	0	0
TCGA-A2-A0T2-01A-11W-A097-09	3	0	0	0	7	16	0	0	0	0	11	0	0
TCGA-A2-A0T3-01A-21D-A10Y-09	0	0	8	16	0	0	0	0	0	0	0	0	15
TCGA-A2-A0T4-01A-31D-A099-09	3	0	0	10	0	0	0	0	6	0	14	0	0
TCGA-A2-A0T5-01A-21D-A099-09	1	0	0	5	0	0	0	0	0	0	0	8	0
TCGA-A2-A0T6-01A-11D-A099-09	3	0	0	9	0	11	2	0	0	0	0	0	0
TCGA-A2-A0T7-01A-21D-A099-09	2	0	0	9	0	8	2	0	0	0	0	0	0
TCGA-A2-A0YC-01A-11D-A117-09	5	0	0	8	0	0	0	0	0	0	15	0	0
TCGA-A2-A0YD-01A-11D-A10G-09	20	12	15	0	0	17	18	10	0	0	0	0	0
TCGA-A2-A0YE-01A-11D-A10G-09	5	0	0	12	0	0	0	6	0	9	0	0	8
TCGA-A2-A0YF-01A-21D-A10G-09	0	0	0	6	0	0	0	0	0	20	0	12	0
TCGA-A2-A0YG-01A-21D-A10G-09	4	0	0	8	0	26	6	9	15	0	0	0	0
TCGA-A2-A0YH-01A-11D-A10G-09	13	22	15	0	0	35	6	10	0	0	0	0	0
TCGA-A2-A0YI-01A-31D-A10M-09	0	1	0	0	0	5	1	3	0	0	0	0	3
TCGA-A2-A0YJ-01A-11D-A10G-09	0	6	0	22	0	0	7	0	15	0	36	0	0
TCGA-A2-A0YK-01A-22D-A117-09	162	171	58	0	0	0	25	51	0	0	0	0	0
TCGA-A2-A0YL-01A-21D-A10G-09	13	8	0	0	0	16	0	10	0	0	0	0	0
TCGA-A2-A0YM-01A-11D-A10G-09	14	10	31	28	0	0	12	0	0	0	0	0	0
TCGA-A2-A0YT-01A-11D-A10G-09	6	0	0	26	0	0	18	0	0	0	24	0	0
TCGA-A2-A1FV-01A-11D-A13L-09	7	0	0	11	0	18	0	0	6	0	0	0	0
TCGA-A2-A1FW-01A-11D-A13L-09	0	0	0	11	19	37	9	12	0	0	0	0	0
TCGA-A2-A1FX-01A-11D-A13L-09	0	0	0	6	0	0	3	5	0	13	0	0	0
TCGA-A2-A1FZ-01A-51D-A17G-09	0	0	0	0	9	16	0	3	0	0	0	0	0
TCGA-A2-A1G0-01A-11D-A13L-09	5	0	0	0	0	12	0	0	6	0	0	0	0
TCGA-A2-A1G1-01A-21D-A13L-09	2	0	0	0	0	23	0	0	0	0	14	0	0
TCGA-A2-A1G4-01A-11D-A13L-09	6	0	0	0	0	26	0	0	0	0	0	0	0
TCGA-A2-A1G6-01A-11D-A13L-09	0	2	0	0	0	0	0	0	0	0	7	0	0
TCGA-A2-A259-01A-11D-A16D-09	4	0	0	0	0	12	0	0	5	0	0	0	0
TCGA-A2-A25A-01A-12D-A16D-09	30	25	0	0	0	0	0	0	0	119	0	0	324
TCGA-A2-A25B-01A-11D-A167-09	0	0	15	11	0	0	9	16	18	0	34	0	21
TCGA-A2-A25C-01A-11D-A167-09	0	0	0	0	12	0	0	10	0	19	0	0	0
TCGA-A2-A25D-01A-12D-A16D-09	6	5	0	0	0	28	0	7	14	0	0	0	0
TCGA-A2-A25E-01A-11D-A167-09	5	0	11	5	0	0	0	0	8	0	26	0	8
TCGA-A2-A25F-01A-11D-A167-09	0	0	0	0	0	0	0	0	0	0	0	7	0
TCGA-A2-A3KD-01A-12D-A20S-09	0	0	0	9	0	0	0	6	4	0	0	0	0
TCGA-A2-A3XT-01A-11D-A22X-09	5	19	21	0	0	25	0	0	0	18	31	0	0
TCGA-A2-A3XU-01A-12D-A22X-09	0	0	0	21	0	0	0	0	0	11	0	0	0
TCGA-A2-A3XV-01A-21D-A23C-09	0	0	0	11	0	0	5	0	14	0	0	18	0
TCGA-A2-A3XW-01A-11D-A23C-09	3	0	0	6	0	0	5	0	0	0	0	0	0
TCGA-A2-A3XX-01A-21D-A23C-09	3	0	0	10	0	0	7	0	9	0	19	0	9
TCGA-A2-A3XZ-01A-42D-A23C-09	8	11	9	11	0	0	7	8	0	0	0	0	0
TCGA-A2-A3Y0-01A-11D-A23C-09	12	45	0	22	34	0	0	0	36	0	80	0	22
TCGA-A2-A4S1-01A-21D-A25Q-09	4	6	0	19	0	0	0	0	0	17	0	38	12
TCGA-A2-A4S2-01A-12D-A25Q-09	6	0	0	0	0	22	0	0	6	0	0	0	6
TCGA-A2-A4S3-01A-21D-A25Q-09	7	0	31	0	0	43	0	0	0	28	0	0	0
TCGA-A7-A0CD-01A-11W-A019-09	0	0	0	10	0	24	0	0	6	0	0	0	0
TCGA-A7-A0CE-01A-11W-A019-09	0	15	0	10	0	0	12	23	0	0	45	66	0
TCGA-A7-A0CG-01A-11W-A019-09	18	6	0	26	0	0	8	0	0	0	21	0	0
TCGA-A7-A0CJ-01A-21W-A019-09	5	0	0	10	16	22	5	0	19	0	0	0	18
TCGA-A7-A0D9-01A-31W-A071-09	7	0	0	8	0	0	0	0	0	11	0	0	0
TCGA-A7-A0DA-01A-31D-A10Y-09	8	11	0	11	0	0	7	0	15	0	60	30	26
TCGA-A7-A0DB-01A-11D-A272-09	12	10	0	7	0	17	0	0	0	11	0	0	0
TCGA-A7-A13D-01A-13D-A272-09	0	10	30	0	0	25	6	12	0	0	54	0	0
TCGA-A7-A13E-01A-11D-A272-09	0	0	11	0	0	20	0	10	0	0	0	0	0
TCGA-A7-A13F-01A-11D-A12Q-09	0	0	8	9	0	11	7	6	0	0	0	0	0
TCGA-A7-A13G-01A-11D-A13L-09	10	0	0	9	0	0	0	0	11	0	0	0	0
TCGA-A7-A26E-01A-11D-A272-09	20	0	0	10	0	24	11	0	0	0	0	0	0
TCGA-A7-A26F-01A-21D-A167-09	3	0	0	0	0	43	5	0	0	0	0	0	0
TCGA-A7-A26G-01A-21D-A167-09	12	0	24	7	0	0	0	0	11	0	0	0	16
TCGA-A7-A26H-01A-11D-A167-09	31	39	0	18	0	29	0	26	0	0	0	0	0
TCGA-A7-A26I-01A-11D-A167-09	7	0	0	0	0	17	3	5	0	0	14	0	0
TCGA-A7-A26J-01A-11D-A272-09	0	0	0	0	0	28	0	12	0	0	0	0	0
TCGA-A7-A2KD-01A-31D-A21Q-09	6	0	0	19	0	17	0	0	0	13	0	0	0
TCGA-A7-A3RF-01A-11D-A228-09	0	0	0	0	0	16	0	0	7	0	0	15	0
TCGA-A7-A425-01A-11D-A243-09	0	0	0	0	0	35	0	5	0	0	0	0	0
TCGA-A7-A4SC-01A-12D-A25Q-09	0	0	0	13	0	0	5	7	0	0	0	0	11
TCGA-A7-A4SD-01A-11D-A25Q-09	0	0	15	32	0	0	6	0	11	0	0	0	0
TCGA-A7-A4SE-01A-11D-A25Q-09	16	33	0	0	0	21	0	0	19	0	41	0	19
TCGA-A7-A56D-01A-11D-A27P-09	58	42	0	36	0	0	20	35	0	0	0	0	0
TCGA-A7-A5ZW-01A-12D-A29N-09	5	5	0	0	8	15	3	0	0	0	0	0	0
TCGA-A7-A5ZX-01A-12D-A29N-09	3	0	0	5	0	0	5	10	0	0	0	10	6
TCGA-A7-A6VV-01A-22D-A33E-09	4	5	10	15	0	0	0	0	15	13	0	0	0
TCGA-A7-A6VW-01A-21D-A33E-09	4	4	0	0	0	26	3	0	9	0	0	29	10
TCGA-A7-A6VX-01A-12D-A33E-09	28	0	37	0	0	0	0	16	19	0	67	0	29
TCGA-A7-A6VY-01A-12D-A33E-09	0	15	26	15	0	0	7	20	0	0	55	0	0
TCGA-A8-A06O-01A-11W-A019-09	0	0	0	24	0	53	0	0	0	14	0	0	0
TCGA-A8-A06P-01A-11W-A019-09	10	0	9	11	21	0	0	0	0	0	0	23	11
TCGA-A8-A06Q-01A-11W-A050-09	107	73	49	0	0	0	27	56	0	0	0	0	0
TCGA-A8-A06R-01A-11D-A015-09	5	0	0	16	11	18	0	7	9	0	0	0	0
TCGA-A8-A06T-01A-11W-A019-09	0	0	10	0	11	0	0	0	10	0	0	0	6
TCGA-A8-A06U-01A-11W-A019-09	5	0	18	12	26	18	0	0	10	0	0	0	0
TCGA-A8-A06X-01A-21W-A019-09	0	16	0	0	0	72	0	0	39	46	88	0	52
TCGA-A8-A06Y-01A-21W-A019-09	3	4	0	0	0	20	4	0	0	0	0	0	11
TCGA-A8-A06Z-01A-11W-A019-09	0	0	0	0	0	27	0	0	14	0	19	22	14
TCGA-A8-A075-01A-11D-A099-09	9	9	0	0	0	26	0	25	0	0	18	0	0
TCGA-A8-A076-01A-21W-A019-09	7	0	0	18	0	41	11	18	0	0	0	0	0
TCGA-A8-A079-01A-21W-A019-09	0	6	0	0	0	63	0	0	15	23	0	0	0
TCGA-A8-A07B-01A-11W-A019-09	14	11	19	0	0	28	0	0	12	0	0	0	0
TCGA-A8-A07F-01A-11W-A019-09	0	0	0	15	0	0	0	6	0	0	0	17	0
TCGA-A8-A07G-01A-11W-A050-09	8	0	12	14	0	0	0	0	22	0	20	0	17
TCGA-A8-A07I-01A-11W-A019-09	0	6	0	10	0	28	6	0	0	0	0	0	14
TCGA-A8-A07J-01A-11W-A019-09	6	5	0	0	0	0	0	13	0	29	0	39	0
TCGA-A8-A07L-01A-11W-A019-09	0	0	15	0	19	24	0	0	22	0	25	0	17
TCGA-A8-A07O-01A-11W-A019-09	17	0	0	10	0	30	7	0	0	0	0	0	0
TCGA-A8-A07P-01A-11W-A019-09	8	0	0	22	0	0	0	0	10	15	0	25	0
TCGA-A8-A07U-01A-11W-A050-09	0	13	23	0	0	42	6	18	0	0	0	0	16
TCGA-A8-A07W-01A-11W-A019-09	0	14	0	39	43	0	0	24	0	0	48	0	0
TCGA-A8-A07Z-01A-11W-A019-09	0	0	0	4	8	11	0	3	0	0	0	0	0
TCGA-A8-A081-01A-11W-A019-09	10	18	25	34	0	0	0	22	0	33	0	0	0
TCGA-A8-A082-01A-11W-A019-09	0	0	7	16	0	0	0	4	0	0	0	0	0
TCGA-A8-A083-01A-21W-A019-09	0	0	0	0	9	0	0	7	0	0	0	17	0
TCGA-A8-A085-01A-11W-A019-09	4	19	0	0	0	0	0	0	24	0	0	36	15
TCGA-A8-A08B-01A-11W-A019-09	15	0	0	9	0	0	11	17	15	0	0	0	0
TCGA-A8-A08C-01A-11W-A019-09	1	0	0	0	0	0	0	0	0	0	0	7	0
TCGA-A8-A08F-01A-11W-A019-09	0	0	18	8	29	0	0	0	16	0	0	54	19
TCGA-A8-A08G-01A-11W-A019-09	0	0	11	15	15	0	7	8	0	0	0	0	0
TCGA-A8-A08H-01A-21W-A019-09	82	0	0	0	0	0	0	41	0	0	0	118	0
TCGA-A8-A08J-01A-11W-A019-09	0	0	8	0	0	18	5	12	0	0	0	0	0
TCGA-A8-A08L-01A-11W-A019-09	38	63	53	0	0	0	0	21	0	45	62	0	0
TCGA-A8-A08O-01A-21W-A071-09	0	3	0	0	0	18	6	0	7	0	0	0	0
TCGA-A8-A08P-01A-11W-A019-09	7	12	0	17	0	0	5	0	10	0	0	39	0
TCGA-A8-A08R-01A-11W-A050-09	0	46	40	0	42	57	0	32	0	0	85	0	0
TCGA-A8-A08S-01A-11W-A050-09	5	0	0	21	14	23	5	0	0	0	0	0	0
TCGA-A8-A08T-01A-21W-A019-09	0	4	0	9	0	0	11	0	14	0	0	23	10
TCGA-A8-A08X-01A-21W-A019-09	0	0	0	19	19	0	0	0	13	0	0	0	0
TCGA-A8-A08Z-01A-21W-A019-09	7	0	0	14	0	18	0	0	7	0	0	0	0
TCGA-A8-A090-01A-11W-A019-09	3	2	0	9	0	0	3	8	0	0	0	15	6
TCGA-A8-A091-01A-11W-A019-09	8	0	0	14	0	0	0	0	0	0	0	0	9
TCGA-A8-A092-01A-11W-A019-09	31	17	0	0	0	24	13	12	0	0	0	0	0
TCGA-A8-A093-01A-11W-A019-09	60	22	0	18	0	0	30	17	0	0	0	0	0
TCGA-A8-A094-01A-11W-A019-09	68	77	0	0	0	42	12	30	0	0	0	0	0
TCGA-A8-A095-01A-11W-A019-09	88	60	44	0	0	0	24	0	0	0	0	0	0
TCGA-A8-A096-01A-11W-A019-09	0	0	0	15	9	0	0	0	0	0	0	21	0
TCGA-A8-A097-01A-11W-A050-09	0	21	0	8	0	0	0	10	19	0	0	47	29
TCGA-A8-A099-01A-11W-A019-09	0	4	0	13	0	0	0	11	0	0	0	0	14
TCGA-A8-A09A-01A-11W-A019-09	18	0	33	0	0	38	0	25	39	0	0	76	44
TCGA-A8-A09B-01A-11W-A019-09	4	0	0	6	0	13	3	0	13	0	13	0	0
TCGA-A8-A09C-01A-11W-A019-09	0	0	0	0	0	18	0	0	12	0	0	28	0
TCGA-A8-A09D-01A-11W-A019-09	7	0	0	5	18	0	0	8	12	0	0	19	0
TCGA-A8-A09E-01A-11W-A019-09	0	0	0	0	0	33	0	10	23	0	0	32	0
TCGA-A8-A09G-01A-21W-A019-09	93	90	134	0	0	0	17	0	0	0	0	0	0
TCGA-A8-A09I-01A-22W-A050-09	25	23	40	21	0	30	9	22	0	0	0	0	0
TCGA-A8-A09K-01A-11W-A019-09	4	0	0	10	0	0	0	11	7	0	0	19	0
TCGA-A8-A09M-01A-11W-A019-09	0	9	0	0	0	35	0	14	18	43	61	0	0
TCGA-A8-A09N-01A-11W-A019-09	18	17	20	15	0	0	6	0	0	0	0	79	0
TCGA-A8-A09Q-01A-11W-A019-09	0	0	25	23	0	102	15	0	0	31	0	0	0
TCGA-A8-A09T-01A-11W-A019-09	4	0	0	0	0	20	0	0	0	0	0	0	6
TCGA-A8-A09V-01A-11D-A045-09	0	3	0	10	0	0	0	7	0	0	11	0	0
TCGA-A8-A09W-01A-11W-A019-09	0	0	19	19	23	0	0	0	0	0	43	0	0
TCGA-A8-A09X-01A-11W-A019-09	14	0	12	0	0	36	4	0	0	13	0	0	0
TCGA-A8-A09Z-01A-11W-A019-09	0	0	0	336	748	0	0	0	361	0	0	0	0
TCGA-A8-A0A1-01A-11W-A019-09	3	0	0	18	0	15	0	0	12	0	0	20	0
TCGA-A8-A0A2-01A-11W-A050-09	0	0	0	0	0	36	0	0	0	18	0	0	0
TCGA-A8-A0A4-01A-11W-A019-09	0	0	0	14	0	0	0	10	0	0	0	44	13
TCGA-A8-A0A6-01A-12W-A071-09	6	0	0	8	0	0	5	0	12	0	0	16	0
TCGA-A8-A0A7-01A-11W-A019-09	142	68	0	0	0	0	20	61	0	0	0	0	0
TCGA-A8-A0A9-01A-11W-A019-09	7	7	12	12	0	31	5	0	0	0	0	0	0
TCGA-A8-A0AB-01A-11W-A050-09	0	0	8	8	0	14	0	0	0	0	12	0	0
TCGA-A8-A0AD-01A-11W-A071-09	4	0	0	0	0	23	0	0	9	0	0	0	0
TCGA-AC-A23C-01A-12D-A167-09	27	15	25	0	22	0	0	13	0	28	0	0	0
TCGA-AC-A23E-01A-11D-A159-09	0	0	0	6	0	9	3	0	4	0	0	0	0
TCGA-AC-A23H-01A-11D-A159-09	1969	2072	1396	0	0	0	205	454	0	0	0	0	0
TCGA-AC-A2B8-01A-11D-A17D-09	40	34	0	0	0	18	0	29	0	0	0	0	0
TCGA-AC-A2BK-01A-11D-A21Q-09	0	0	15	24	16	0	0	0	0	0	40	0	14
TCGA-AC-A2BM-01A-11D-A21Q-09	0	5	0	0	0	0	2	0	11	0	0	0	0
TCGA-AC-A2FB-01A-11D-A17D-09	4	0	0	0	0	9	0	0	0	0	0	0	0
TCGA-AC-A2FF-01A-11D-A17D-09	0	2	0	0	0	5	0	5	0	0	0	0	0
TCGA-AC-A2FG-01A-11D-A17D-09	4	0	7	0	0	21	3	3	0	0	0	0	0
TCGA-AC-A2FO-01A-11D-A17W-09	7	5	0	0	0	0	3	13	0	0	0	0	0
TCGA-AC-A2QH-01A-11D-A18P-09	5	0	0	6	0	17	0	0	0	8	0	0	0
TCGA-AC-A3HN-01A-11D-A20S-09	4	0	0	9	7	0	0	0	0	0	0	0	7
TCGA-AC-A3OD-01A-11D-A21Q-09	5	0	0	14	0	0	6	0	10	0	0	0	0
TCGA-AC-A3QP-01A-11D-A22X-09	0	0	6	0	8	14	7	0	0	0	0	0	0
TCGA-AC-A3QQ-01A-11D-A228-09	0	0	0	13	0	0	0	0	9	0	0	15	0
TCGA-AC-A3W5-01A-11D-A228-09	26	47	0	16	0	0	10	0	34	0	68	0	21
TCGA-AC-A3YI-01A-21D-A23C-09	0	0	0	0	8	0	5	4	0	0	0	0	0
TCGA-AC-A3YJ-01A-11D-A22X-09	0	0	0	11	0	0	0	6	7	0	0	10	0
TCGA-AC-A4ZE-01A-11D-A41F-09	7	0	0	18	15	0	0	0	10	0	0	0	22
TCGA-AC-A5EH-01A-11D-A28B-09	15	13	0	21	0	0	0	0	31	27	73	0	29
TCGA-AC-A5EI-01A-11D-A27P-09	9	0	0	0	0	29	3	0	0	0	0	0	0
TCGA-AC-A5XS-01A-11D-A29N-09	188	172	183	0	0	0	49	144	0	0	0	0	0
TCGA-AC-A5XU-01A-11D-A28B-09	8	0	18	51	0	0	0	29	0	0	0	0	0
TCGA-AC-A62V-01A-11D-A31U-09	0	0	0	41	0	0	8	10	14	0	29	0	0
TCGA-AC-A62X-01A-11D-A29N-09	0	0	0	46	0	0	0	11	0	26	0	0	0
TCGA-AC-A62Y-01A-11D-A29N-09	14	16	0	8	13	26	0	9	0	0	0	0	0
TCGA-AC-A6IV-01A-12D-A33E-09	0	0	0	0	0	13	5	0	6	0	0	0	0
TCGA-AC-A6IW-01A-12D-A33E-09	22	40	66	25	0	0	0	28	0	0	34	0	0
TCGA-AC-A6IX-01A-12D-A32I-09	15	6	14	14	0	0	0	0	12	0	0	0	0
TCGA-AC-A6NO-01A-12D-A33E-09	0	0	7	6	8	13	0	7	0	0	0	0	0
TCGA-AC-A7VB-01A-11D-A351-09	0	0	0	14	0	10	0	0	10	0	0	0	0
TCGA-AC-A7VC-01A-11D-A351-09	0	0	0	0	0	14	5	0	9	0	0	0	0
TCGA-AC-A8OP-01A-11D-A36J-09	9	11	0	45	31	0	15	16	17	24	39	0	32
TCGA-AC-A8OQ-01A-11D-A41F-09	21	0	0	0	0	85	15	0	17	0	0	0	0
TCGA-AC-A8OR-01A-21D-A41F-09	0	0	0	14	0	0	0	0	0	0	0	0	35
TCGA-AC-A8OS-01A-12D-A41F-09	14	5	0	8	0	24	0	0	9	0	0	0	11
TCGA-AN-A03X-01A-21W-A019-09	0	0	0	0	0	35	0	0	0	16	0	38	0
TCGA-AN-A03Y-01A-21W-A019-09	8	0	0	10	0	23	5	0	7	0	0	0	0
TCGA-AN-A041-01A-11W-A050-09	7	0	0	0	11	24	4	0	7	0	0	0	0
TCGA-AN-A046-01A-21W-A050-09	0	0	0	0	0	0	3269	0	0	3895	0	0	0
TCGA-AN-A049-01A-21W-A019-09	0	0	0	12	0	0	5	9	0	0	14	0	0
TCGA-AN-A04A-01A-21W-A050-09	0	0	0	12	0	16	0	6	21	0	0	0	0
TCGA-AN-A04C-01A-21W-A050-09	0	5	0	27	0	0	5	17	11	0	0	24	18
TCGA-AN-A04D-01A-21W-A050-09	0	9	0	9	0	0	0	0	20	0	24	51	0
TCGA-AN-A0AJ-01A-11W-A019-09	0	21	0	26	0	0	17	15	0	0	25	0	0
TCGA-AN-A0AK-01A-21W-A019-09	0	0	0	417	645	0	0	0	399	0	0	0	0
TCGA-AN-A0AL-01A-11W-A019-09	0	9	0	0	0	12	0	0	16	11	0	23	18
TCGA-AN-A0AM-01A-11W-A050-09	7	9	0	22	0	0	0	0	22	0	0	28	25
TCGA-AN-A0AR-01A-11W-A019-09	0	12	18	12	0	0	0	0	15	21	50	0	22
TCGA-AN-A0AS-01A-11W-A019-09	6	0	0	0	0	42	5	0	0	0	0	0	0
TCGA-AN-A0AT-01A-11D-A045-09	5	12	0	0	22	21	0	0	24	0	35	0	16
TCGA-AN-A0FD-01A-11W-A050-09	0	0	0	0	0	22	0	0	7	0	0	0	8
TCGA-AN-A0FF-01A-11W-A050-09	0	0	0	8	10	0	0	3	7	0	0	0	0
TCGA-AN-A0FJ-01A-11W-A019-09	22	10	35	0	0	38	0	0	0	0	25	0	0
TCGA-AN-A0FK-01A-11W-A050-09	5	0	0	25	0	0	8	0	26	0	0	0	0
TCGA-AN-A0FL-01A-11W-A050-09	8	17	30	29	0	0	0	0	19	0	36	43	24
TCGA-AN-A0FN-01A-11W-A050-09	6	0	11	0	0	0	4	0	22	0	0	30	14
TCGA-AN-A0FS-01A-11W-A050-09	17	12	0	0	0	36	0	0	17	21	0	0	0
TCGA-AN-A0FT-01A-11W-A050-09	14	10	22	21	0	36	7	22	0	0	0	0	0
