Samples	SBS1	SBS2	SBS3	SBS5	SBS10a	SBS10b	SBS13
TCGA-CF-A47Y-01A-11D-A23U-08	6	9	0	42	0	0	23
TCGA-CF-A5U8-01A-11D-A289-08	8	0	0	64	0	0	0
TCGA-CF-A5UA-01A-11D-A289-08	32	5	0	40	0	0	17
TCGA-CF-A7I0-01A-22D-A34U-08	10	17	0	30	0	0	11
TCGA-CF-A8HX-01A-11D-A364-08	8	28	0	16	0	11	18
TCGA-CF-A8HY-01A-11D-A364-08	15	6	0	54	0	0	20
TCGA-CF-A9FF-01A-11D-A38G-08	14	61	0	22	0	22	48
TCGA-CF-A9FH-01A-11D-A38G-08	13	0	0	20	0	8	0
TCGA-CF-A9FL-01A-11D-A38G-08	12	0	0	42	0	9	0
TCGA-CF-A9FM-01A-11D-A38G-08	3	0	0	26	0	0	0
TCGA-CU-A0YN-01A-21D-A10S-08	21	0	0	181	0	0	0
TCGA-CU-A0YO-01A-11D-A10S-08	23	24	0	48	0	0	19
TCGA-CU-A0YR-01A-12D-A10S-08	9	0	0	167	0	0	0
TCGA-CU-A3KJ-01A-11D-A21A-08	21	65	0	72	0	22	101
TCGA-CU-A3QU-01A-11D-A22Z-08	17	30	0	38	0	15	29
TCGA-CU-A3YL-01A-11D-A22Z-08	27	97	0	11	0	31	115
TCGA-CU-A5W6-01A-11D-A289-08	20	83	0	66	0	21	70
TCGA-CU-A72E-01A-12D-A339-08	18	31	0	34	0	0	39
TCGA-DK-A1A3-01A-11D-A13W-08	21	309	0	174	0	80	167
TCGA-DK-A1A5-01A-11D-A13W-08	16	108	0	33	0	31	127
TCGA-DK-A1A6-01A-11D-A13W-08	7	61	0	103	0	0	113
TCGA-DK-A1A7-01A-11D-A13W-08	31	26	0	196	0	0	11
TCGA-DK-A1AA-01A-11D-A13W-08	8	9	0	78	0	0	7
TCGA-DK-A1AB-01A-11D-A13W-08	17	108	0	11	0	0	108
TCGA-DK-A1AC-01A-11D-A13W-08	66	1005	0	196	0	270	365
TCGA-DK-A1AD-01A-11D-A13W-08	22	59	0	146	0	0	62
TCGA-DK-A1AE-01A-11D-A13W-08	14	42	0	48	0	0	38
TCGA-DK-A1AF-01A-11D-A13W-08	3	39	0	26	0	0	47
TCGA-DK-A1AG-01A-11D-A13W-08	20	49	0	23	0	21	56
TCGA-DK-A2HX-01A-12D-A18F-08	16	36	0	57	0	0	21
TCGA-DK-A2I1-01A-11D-A17V-08	13	74	0	21	0	32	98
TCGA-DK-A2I2-01A-11D-A17V-08	9	30	0	57	0	0	15
TCGA-DK-A2I4-01A-11D-A21A-08	38	522	0	47	0	144	373
TCGA-DK-A2I6-01A-12D-A18F-08	10	87	0	184	0	47	37
TCGA-DK-A3IK-01A-32D-A21A-08	34	33	128	0	0	0	58
TCGA-DK-A3IL-01A-11D-A20D-08	18	0	102	78	0	19	0
TCGA-DK-A3IM-01A-11D-A20D-08	21	0	0	80	0	0	0
TCGA-DK-A3IN-01A-11D-A20D-08	20	160	0	53	0	50	179
TCGA-DK-A3IQ-01A-31D-A20D-08	25	76	0	55	0	0	63
TCGA-DK-A3IS-01A-21D-A21A-08	40	173	0	65	0	0	150
TCGA-DK-A3IT-01A-31D-A20D-08	20	146	0	69	0	0	267
TCGA-DK-A3IU-01A-11D-A20D-08	21	194	0	95	0	49	149
TCGA-DK-A3IV-01A-22D-A21A-08	9	22	0	33	0	9	16
TCGA-DK-A3WW-01A-22D-A23M-08	36	613	0	71	0	212	601
TCGA-DK-A3WX-01A-22D-A22Z-08	11	12	0	27	0	0	3
TCGA-DK-A3WY-01A-11D-A22Z-08	3	7	0	1	0	0	8
TCGA-DK-A3X1-01A-12D-A22Z-08	33	493	0	0	0	179	412
TCGA-DK-A3X2-01A-11D-A22Z-08	34	21	0	72	0	0	20
TCGA-DK-A6AV-01A-12D-A30E-08	23	46	0	54	0	0	32
TCGA-DK-A6AW-01A-11D-A30E-08	476	0	0	421	1471	2598	0
TCGA-DK-A6B0-01A-11D-A31L-08	2	0	0	23	0	0	0
TCGA-DK-A6B1-01A-12D-A30E-08	34	48	0	74	0	0	24
TCGA-DK-A6B2-01A-11D-A30E-08	32	40	0	131	0	0	41
TCGA-DK-A6B5-01A-11D-A31L-08	9	53	0	57	0	0	50
TCGA-DK-A6B6-01A-11D-A30E-08	39	693	0	93	0	144	306
TCGA-DK-AA6L-01A-11D-A391-08	22	148	0	87	0	0	198
TCGA-DK-AA6M-01A-11D-A391-08	24	15	0	41	0	0	6
TCGA-DK-AA6P-01A-11D-A391-08	13	70	0	84	0	0	52
TCGA-DK-AA6Q-01A-11D-A391-08	13	38	0	48	0	0	46
TCGA-DK-AA6R-01A-11D-A42E-08	28	63	241	29	0	0	52
TCGA-DK-AA6S-01A-21D-A391-08	29	247	0	100	0	0	310
TCGA-DK-AA6T-01A-11D-A391-08	16	0	0	37	0	13	17
TCGA-DK-AA6U-01A-11D-A391-08	39	119	214	62	0	0	100
TCGA-DK-AA6W-01A-12D-A391-08	46	100	0	58	0	0	106
TCGA-DK-AA6X-01A-12D-A42E-08	11	32	0	38	0	0	46
TCGA-DK-AA71-01A-31D-A391-08	43	371	0	75	0	0	346
TCGA-DK-AA74-01A-11D-A391-08	9	69	0	48	0	22	99
TCGA-DK-AA75-01A-11D-A391-08	30	251	0	119	0	130	105
TCGA-DK-AA76-01A-11D-A391-08	21	64	91	12	0	34	70
TCGA-DK-AA77-01A-11D-A391-08	42	75	271	62	0	0	29
TCGA-E5-A2PC-01A-11D-A202-08	20	51	124	81	0	0	20
TCGA-E5-A4TZ-01A-11D-A31L-08	85	144	0	124	0	0	225
TCGA-E5-A4U1-01A-11D-A31L-08	32	239	0	97	0	75	305
TCGA-E7-A3X6-01A-12D-A22Z-08	13	42	0	22	0	0	39
TCGA-E7-A3Y1-01A-11D-A22Z-08	22	0	0	172	0	0	0
TCGA-E7-A4IJ-01A-31D-A26M-08	15	101	161	0	0	46	115
TCGA-E7-A4XJ-01A-11D-A26M-08	22	0	0	28	0	0	0
TCGA-E7-A519-01A-11D-A26M-08	6	9	0	62	0	0	7
TCGA-E7-A541-01A-11D-A26M-08	37	140	0	226	0	0	145
TCGA-E7-A5KE-01A-11D-A289-08	36	55	0	135	0	26	31
TCGA-E7-A5KF-01A-11D-A289-08	4	94	0	49	0	29	88
TCGA-E7-A677-01A-11D-A30E-08	25	17	0	232	0	0	13
TCGA-E7-A678-01A-11D-A30E-08	14	0	0	51	0	0	0
TCGA-E7-A6MD-01A-41D-A34U-08	47	194	0	70	0	56	211
TCGA-E7-A6ME-01A-22D-A32B-08	11	0	0	146	0	0	0
TCGA-E7-A6MF-01A-12D-A32B-08	2	29	0	1	0	0	26
TCGA-E7-A7DU-01A-11D-A32B-08	25	144	0	51	0	0	117
TCGA-E7-A7DV-01A-11D-A339-08	15	81	0	36	0	33	173
TCGA-E7-A7PW-01A-11D-A34U-08	12	29	0	30	0	13	22
TCGA-E7-A7XN-01A-11D-A34U-08	44	440	0	71	0	0	589
TCGA-E7-A85H-01A-11D-A34U-08	36	50	0	409	0	0	22
TCGA-E7-A8O7-01A-11D-A364-08	11	5	0	18	0	0	6
TCGA-E7-A8O8-01A-11D-A364-08	31	18	71	20	0	0	9
TCGA-E7-A97P-01A-11D-A38G-08	19	17	0	184	0	0	25
TCGA-E7-A97Q-01A-11D-A38G-08	8	10	0	40	0	0	11
TCGA-FD-A3B3-01A-12D-A202-08	18	44	0	61	0	18	52
TCGA-FD-A3B4-01A-12D-A202-08	14	0	62	0	9	7	0
