Samples	SBS96A	SBS96B
TCGA-A8-A07P-01A-11W-A019-09	58	4
TCGA-A8-A07U-01A-11W-A050-09	69	25
TCGA-A8-A07W-01A-11W-A019-09	124	15
TCGA-A8-A07Z-01A-11W-A019-09	24	0
TCGA-A8-A081-01A-11W-A019-09	83	34
TCGA-A8-A082-01A-11W-A019-09	21	3
TCGA-A8-A083-01A-21W-A019-09	24	2
TCGA-A8-A085-01A-11W-A019-09	48	32
TCGA-A8-A08B-01A-11W-A019-09	30	22
TCGA-A8-A08C-01A-11W-A019-09	3	4
TCGA-A8-A08F-01A-11W-A019-09	119	12
TCGA-A8-A08G-01A-11W-A019-09	48	2
TCGA-A8-A08H-01A-21W-A019-09	61	133
TCGA-A8-A08J-01A-11W-A019-09	32	8
TCGA-A8-A08L-01A-11W-A019-09	71	158
TCGA-A8-A08O-01A-21W-A071-09	23	2
TCGA-A8-A08P-01A-11W-A019-09	57	17
TCGA-A8-A08R-01A-11W-A050-09	167	75
TCGA-A8-A08S-01A-11W-A050-09	57	0
TCGA-A8-A08T-01A-21W-A019-09	53	8
TCGA-A8-A08X-01A-21W-A019-09	44	1
TCGA-A8-A08Z-01A-21W-A019-09	31	5
TCGA-A8-A090-01A-11W-A019-09	31	7
TCGA-A8-A091-01A-11W-A019-09	21	5
TCGA-A8-A092-01A-11W-A019-09	35	49
TCGA-A8-A093-01A-11W-A019-09	53	68
TCGA-A8-A094-01A-11W-A019-09	38	147
TCGA-A8-A095-01A-11W-A019-09	15	159
TCGA-A8-A096-01A-11W-A019-09	39	0
TCGA-A8-A097-01A-11W-A050-09	78	33
TCGA-A8-A099-01A-11W-A019-09	32	0
TCGA-A8-A09A-01A-11W-A019-09	178	57
TCGA-A8-A09B-01A-11W-A019-09	34	5
TCGA-A8-A09C-01A-11W-A019-09	48	1
TCGA-A8-A09D-01A-11W-A019-09	43	10
TCGA-A8-A09E-01A-11W-A019-09	71	4
TCGA-A8-A09G-01A-21W-A019-09	0	259
TCGA-A8-A09I-01A-22W-A050-09	80	60
TCGA-A8-A09K-01A-11W-A019-09	37	6
TCGA-A8-A09M-01A-11W-A019-09	140	13
TCGA-A8-A09N-01A-11W-A019-09	73	53
TCGA-A8-A09Q-01A-11W-A019-09	160	9
TCGA-A8-A09T-01A-11W-A019-09	18	4
TCGA-A8-A09V-01A-11D-A045-09	25	4
TCGA-A8-A09W-01A-11W-A019-09	85	3
TCGA-A8-A09X-01A-11W-A019-09	53	18
TCGA-A8-A09Z-01A-11W-A019-09	1154	0
TCGA-A8-A0A1-01A-11W-A019-09	59	2
TCGA-A8-A0A2-01A-11W-A050-09	38	0
TCGA-A8-A0A4-01A-11W-A019-09	56	6
TCGA-A8-A0A6-01A-12W-A071-09	32	7
TCGA-A8-A0A7-01A-11W-A019-09	25	220
TCGA-A8-A0A9-01A-11W-A019-09	55	10
TCGA-A8-A0AB-01A-11W-A050-09	32	1
TCGA-A8-A0AD-01A-11W-A071-09	22	3
TCGA-AC-A23C-01A-12D-A167-09	54	52
TCGA-AC-A23E-01A-11D-A159-09	20	0
TCGA-AC-A23H-01A-11D-A159-09	0	4746
TCGA-AC-A2B8-01A-11D-A17D-09	10	87
TCGA-AC-A2BK-01A-11D-A21Q-09	85	2
TCGA-AC-A2BM-01A-11D-A21Q-09	13	2
TCGA-AC-A2FB-01A-11D-A17D-09	9	5
TCGA-AC-A2FF-01A-11D-A17D-09	9	4
TCGA-AC-A2FG-01A-11D-A17D-09	27	8
TCGA-AC-A2FO-01A-11D-A17W-09	4	22
TCGA-AC-A2QH-01A-11D-A18P-09	24	7
TCGA-AC-A3HN-01A-11D-A20S-09	17	1
TCGA-AC-A3OD-01A-11D-A21Q-09	23	3
TCGA-AC-A3QP-01A-11D-A22X-09	27	1
TCGA-AC-A3QQ-01A-11D-A228-09	26	0
TCGA-AC-A3W5-01A-11D-A228-09	87	70
TCGA-AC-A3YI-01A-21D-A23C-09	13	1
TCGA-AC-A3YJ-01A-11D-A22X-09	24	1
TCGA-AC-A4ZE-01A-11D-A41F-09	46	11
TCGA-AC-A5EH-01A-11D-A28B-09	133	38
TCGA-AC-A5EI-01A-11D-A27P-09	20	10
TCGA-AC-A5XS-01A-11D-A29N-09	0	511
TCGA-AC-A5XU-01A-11D-A28B-09	66	7
TCGA-AC-A62V-01A-11D-A31U-09	75	8
TCGA-AC-A62X-01A-11D-A29N-09	67	3
TCGA-AC-A62Y-01A-11D-A29N-09	40	24
TCGA-AC-A6IV-01A-12D-A33E-09	21	0
TCGA-AC-A6IW-01A-12D-A33E-09	76	79
TCGA-AC-A6IX-01A-12D-A32I-09	29	16
TCGA-AC-A6NO-01A-12D-A33E-09	30	2
TCGA-AC-A7VB-01A-11D-A351-09	24	0
TCGA-AC-A7VC-01A-11D-A351-09	24	1
TCGA-AC-A8OP-01A-11D-A36J-09	156	21
TCGA-AC-A8OQ-01A-11D-A41F-09	81	19
TCGA-AC-A8OR-01A-21D-A41F-09	32	0
TCGA-AC-A8OS-01A-12D-A41F-09	33	18
TCGA-AN-A03X-01A-21W-A019-09	70	0
TCGA-AN-A03Y-01A-21W-A019-09	37	6
TCGA-AN-A041-01A-11W-A050-09	34	10
TCGA-AN-A046-01A-21W-A050-09	4913	1112
TCGA-AN-A049-01A-21W-A019-09	29	4
TCGA-AN-A04A-01A-21W-A050-09	43	3
TCGA-AN-A04C-01A-21W-A050-09	81	8
TCGA-AN-A04D-01A-21W-A050-09	81	14
TCGA-AN-A0AJ-01A-11W-A019-09	69	21
TCGA-AN-A0AK-01A-21W-A019-09	1199	0
TCGA-AN-A0AL-01A-11W-A019-09	59	14
TCGA-AN-A0AM-01A-11W-A050-09	78	16
TCGA-AN-A0AR-01A-11W-A019-09	97	23
TCGA-AN-A0AS-01A-11W-A019-09	43	5
TCGA-AN-A0AT-01A-11D-A045-09	102	24
TCGA-AN-A0FD-01A-11W-A050-09	24	3
TCGA-AN-A0FF-01A-11W-A050-09	23	0
TCGA-AN-A0FJ-01A-11W-A019-09	59	43
TCGA-AN-A0FK-01A-11W-A050-09	48	4
TCGA-AN-A0FL-01A-11W-A050-09	127	40
TCGA-AN-A0FN-01A-11W-A050-09	65	14
TCGA-AN-A0FS-01A-11W-A050-09	59	31
TCGA-AN-A0FT-01A-11W-A050-09	83	24
TCGA-AN-A0FV-01A-11W-A019-09	40	53
TCGA-AN-A0FW-01A-11W-A050-09	96	22
TCGA-AN-A0FX-01A-11W-A050-09	120	21
TCGA-AN-A0FY-01A-11W-A050-09	47	2
TCGA-AN-A0FZ-01A-11W-A050-09	68	6
TCGA-AN-A0G0-01A-11W-A050-09	32	2
TCGA-AN-A0XN-01A-21D-A10G-09	125	19
TCGA-AN-A0XO-01A-11D-A10G-09	25	7
TCGA-AN-A0XP-01A-11D-A117-09	16	10
TCGA-AN-A0XR-01A-11D-A10G-09	25	6
TCGA-AN-A0XS-01A-22D-A10G-09	19	9
TCGA-AN-A0XT-01A-11D-A10G-09	17	0
TCGA-AN-A0XU-01A-11D-A10G-09	81	29
TCGA-AN-A0XV-01A-11D-A10G-09	33	2
TCGA-AN-A0XW-01A-11D-A10G-09	0	342
TCGA-AO-A03L-01A-41W-A071-09	25	8
TCGA-AO-A03O-01A-11W-A019-09	82	7
TCGA-AO-A03P-01A-11W-A019-09	47	8
TCGA-AO-A03R-01A-21W-A050-09	44	9
TCGA-AO-A03T-01A-21W-A050-09	71	34
TCGA-AO-A03V-01A-11D-A10Y-09	34	18
TCGA-AO-A0J2-01A-11W-A050-09	63	4
TCGA-AO-A0J3-01A-11W-A050-09	61	26
TCGA-AO-A0J4-01A-11W-A050-09	72	57
TCGA-AO-A0J5-01A-11W-A050-09	66	4
TCGA-AO-A0J6-01A-11W-A050-09	72	22
TCGA-AO-A0J7-01A-11W-A050-09	19	8
TCGA-AO-A0J8-01A-21D-A045-09	20	4
TCGA-AO-A0J9-01A-11W-A050-09	41	113
TCGA-AO-A0JA-01A-11W-A071-09	16	20
TCGA-AO-A0JB-01A-11W-A071-09	105	19
TCGA-AO-A0JC-01A-11W-A071-09	6	150
TCGA-AO-A0JD-01A-11W-A071-09	116	11
TCGA-AO-A0JE-01A-11W-A071-09	23	24
TCGA-AO-A0JF-01A-11W-A071-09	26	5
TCGA-AO-A0JG-01A-31D-A099-09	12	1
TCGA-AO-A0JI-01A-21W-A100-09	23	1
TCGA-AO-A0JJ-01A-11W-A071-09	26	4
TCGA-AO-A0JM-01A-21W-A071-09	45	6
TCGA-AO-A124-01A-11D-A10M-09	123	13
TCGA-AO-A128-01A-11D-A10M-09	961	0
TCGA-AO-A12A-01A-21D-A10Y-09	12	1
TCGA-AO-A12D-01A-11D-A10Y-09	24	31
TCGA-AO-A12F-01A-11D-A10Y-09	27	0
TCGA-AO-A12H-01A-11D-A10Y-09	28	1
TCGA-AO-A1KO-01A-31D-A188-09	3	1
TCGA-AO-A1KP-01A-11D-A13L-09	18	0
TCGA-AO-A1KR-01A-12D-A142-09	56	15
TCGA-AO-A1KS-01A-11D-A13L-09	28	18
TCGA-AO-A1KT-01A-11D-A13L-09	40	3
TCGA-AQ-A04H-01B-11D-A10M-09	63	0
TCGA-AQ-A04J-01A-02W-A050-09	83	12
TCGA-AQ-A0Y5-01A-11D-A14K-09	41	19
TCGA-AQ-A1H2-01A-11D-A13L-09	29	2
TCGA-AQ-A1H3-01A-31D-A13L-09	21	0
TCGA-AQ-A54O-01A-11D-A25Q-09	20	3
TCGA-AQ-A7U7-01A-22D-A351-09	24	51
TCGA-AR-A0TP-01A-11D-A099-09	46	14
TCGA-AR-A0TQ-01A-11D-A099-09	26	10
TCGA-AR-A0TR-01A-11D-A099-09	30	1
TCGA-AR-A0TS-01A-11D-A10Y-09	69	16
TCGA-AR-A0TT-01A-31D-A099-09	37	17
TCGA-AR-A0TU-01A-31D-A10G-09	129	33
TCGA-AR-A0TV-01A-21D-A099-09	61	4
TCGA-AR-A0TW-01A-11D-A099-09	42	5
TCGA-AR-A0TX-01A-11D-A099-09	0	309
TCGA-AR-A0TY-01A-12W-A12T-09	165	16
TCGA-AR-A0TZ-01A-12D-A099-09	26	23
TCGA-AR-A0U0-01A-11D-A10G-09	153	55
TCGA-AR-A0U1-01A-11D-A10Y-09	73	5
TCGA-AR-A0U2-01A-11D-A10G-09	82	5
TCGA-AR-A0U3-01A-11D-A10G-09	28	1
TCGA-AR-A1AH-01A-11D-A12B-09	79	14
TCGA-AR-A1AI-01A-11D-A12Q-09	52	13
TCGA-AR-A1AJ-01A-21D-A12Q-09	28	15
TCGA-AR-A1AK-01A-21D-A12Q-09	35	28
TCGA-AR-A1AL-01A-21D-A12Q-09	16	7
TCGA-AR-A1AN-01A-11D-A12Q-09	24	1
TCGA-AR-A1AO-01A-11D-A12Q-09	61	36
TCGA-AR-A1AP-01A-11D-A12Q-09	27	6
TCGA-AR-A1AQ-01A-11D-A12Q-09	30	2
TCGA-AR-A1AR-01A-31D-A135-09	47	8
TCGA-AR-A1AS-01A-11D-A12Q-09	19	10
TCGA-AR-A1AT-01A-11D-A12Q-09	24	2
TCGA-AR-A1AU-01A-11D-A12Q-09	18	2
TCGA-AR-A1AV-01A-21D-A12Q-09	40	3
TCGA-AR-A1AW-01A-21D-A12Q-09	33	5
TCGA-AR-A1AX-01A-11D-A12Q-09	22	4
TCGA-AR-A1AY-01A-21D-A12Q-09	44	11
TCGA-AR-A24H-01A-11D-A167-09	99	33
TCGA-AR-A24K-01A-11D-A167-09	30	0
TCGA-AR-A24L-01A-11D-A167-09	25	13
TCGA-AR-A24M-01A-11D-A167-09	23	1
TCGA-AR-A24N-01A-11D-A167-09	33	3
TCGA-AR-A24O-01A-11D-A167-09	22	0
TCGA-AR-A24P-01A-11D-A167-09	18	2
TCGA-AR-A24Q-01A-12D-A167-09	126	56
TCGA-AR-A24R-01A-11D-A167-09	22	2
TCGA-AR-A24S-01A-11D-A167-09	37	8
TCGA-AR-A24T-01A-11D-A167-09	18	2
TCGA-AR-A24U-01A-11D-A167-09	19	17
TCGA-AR-A24V-01A-21D-A167-09	25	5
TCGA-AR-A24W-01A-11D-A17G-09	10	1
TCGA-AR-A24X-01A-11D-A167-09	42	3
TCGA-AR-A24Z-01A-11D-A167-09	40	2
TCGA-AR-A250-01A-31D-A167-09	66	57
TCGA-AR-A251-01A-12D-A167-09	127	41
TCGA-AR-A252-01A-11D-A167-09	12	0
TCGA-AR-A254-01A-21D-A167-09	26	6
TCGA-AR-A255-01A-11D-A167-09	46	25
TCGA-AR-A256-01A-11D-A167-09	155	50
TCGA-AR-A2LE-01A-11D-A17W-09	11	285
TCGA-AR-A2LH-01A-31D-A18P-09	16	34
TCGA-AR-A2LK-01A-11D-A17W-09	39	3
TCGA-AR-A2LL-01A-11D-A17W-09	32	0
TCGA-AR-A2LM-01A-11D-A17W-09	11	4
TCGA-AR-A2LN-01A-21D-A18P-09	21	21
TCGA-AR-A2LO-01A-31D-A18P-09	13	2
TCGA-AR-A2LQ-01A-22D-A18P-09	12	0
TCGA-AR-A2LR-01A-12D-A18P-09	53	5
TCGA-AR-A5QM-01A-11D-A27P-09	27	0
