Samples	SBS96A	SBS96B	SBS96C
TCGA-E7-A6MD-01A-41D-A34U-08	388	60	130
TCGA-E7-A6ME-01A-22D-A32B-08	19	138	0
TCGA-E7-A6MF-01A-12D-A32B-08	45	0	13
TCGA-E7-A7DU-01A-11D-A32B-08	228	0	109
TCGA-E7-A7DV-01A-11D-A339-08	294	44	0
TCGA-E7-A7PW-01A-11D-A34U-08	40	40	26
TCGA-E7-A7XN-01A-11D-A34U-08	1031	0	113
TCGA-E7-A85H-01A-11D-A34U-08	85	414	18
TCGA-E7-A8O7-01A-11D-A364-08	9	31	0
TCGA-E7-A8O8-01A-11D-A364-08	26	117	6
TCGA-E7-A97P-01A-11D-A38G-08	54	191	0
TCGA-E7-A97Q-01A-11D-A38G-08	20	44	5
TCGA-FD-A3B3-01A-12D-A202-08	94	75	24
TCGA-FD-A3B4-01A-12D-A202-08	2	82	8
TCGA-FD-A3B5-01A-11D-A20D-08	89	57	29
TCGA-FD-A3B6-01A-21D-A20D-08	200	92	22
TCGA-FD-A3B7-01A-31D-A20D-08	15	59	0
TCGA-FD-A3B8-01A-31D-A20D-08	24	7	4
TCGA-FD-A3N5-01A-11D-A21A-08	35	381	0
TCGA-FD-A3N6-01A-11D-A21A-08	20	78	41
TCGA-FD-A3NA-01A-11D-A21A-08	144	17	44
TCGA-FD-A3SJ-01A-12D-A22Z-08	166	137	0
TCGA-FD-A3SL-01A-21D-A22Z-08	85	200	0
TCGA-FD-A3SM-01A-11D-A22Z-08	150	52	20
TCGA-FD-A3SN-01A-12D-A22Z-08	209	0	325
TCGA-FD-A3SO-01A-11D-A22Z-08	308	0	156
TCGA-FD-A3SP-01A-31D-A22Z-08	52	67	26
TCGA-FD-A3SQ-01A-21D-A22Z-08	16	60	16
TCGA-FD-A3SR-01A-11D-A22Z-08	69	85	15
TCGA-FD-A3SS-01A-12D-A22Z-08	346	0	269
TCGA-FD-A43N-01A-11D-A23U-08	84	139	0
TCGA-FD-A43P-01A-31D-A23U-08	322	146	34
TCGA-FD-A43S-01A-21D-A23U-08	0	1	0
TCGA-FD-A43U-01A-11D-A23U-08	4	80	9
TCGA-FD-A43X-01A-11D-A23U-08	258	79	63
TCGA-FD-A43Y-01A-21D-A26M-08	8	71	0
TCGA-FD-A5BR-01A-11D-A26M-08	8	94	0
TCGA-FD-A5BS-01A-21D-A26M-08	11	6	18
TCGA-FD-A5BT-01A-11D-A26M-08	97	65	6
TCGA-FD-A5BU-01A-31D-A26M-08	9	70	0
TCGA-FD-A5BV-01A-11D-A26M-08	19	129	0
TCGA-FD-A5BX-01A-11D-A26M-08	331	0	94
TCGA-FD-A5BY-01A-31D-A289-08	18	38	5
TCGA-FD-A5BZ-01A-11D-A289-08	55	82	27
TCGA-FD-A5C0-01A-11D-A289-08	22	128	8
TCGA-FD-A5C1-01A-11D-A289-08	80	95	3
TCGA-FD-A62N-01A-11D-A30E-08	11	93	8
TCGA-FD-A62O-01A-11D-A30E-08	109	59	57
TCGA-FD-A62P-01A-32D-A30E-08	323	58	83
TCGA-FD-A62S-01A-11D-A30E-08	4	83	0
TCGA-FD-A6TA-01A-12D-A339-08	266	0	50
TCGA-FD-A6TB-01A-12D-A339-08	178	18	27
TCGA-FD-A6TC-01A-21D-A339-08	928	0	258
TCGA-FD-A6TD-01A-51D-A339-08	70	57	33
TCGA-FD-A6TE-01A-12D-A339-08	220	22	48
TCGA-FD-A6TF-01A-52D-A32B-08	107	74	0
