Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-SY-A9G5-01A-11D-A38G-08	743	360	0	23	2	10
TCGA-UY-A78K-01A-11D-A339-08	186	74	394	186	13	53
TCGA-UY-A78L-01A-12D-A339-08	108	83	18	15	15	6
TCGA-UY-A78M-01A-21D-A34U-08	50	33	0	16	51	0
TCGA-UY-A78N-01A-12D-A339-08	0	29	153	28	37	6
TCGA-UY-A78O-01A-12D-A339-08	88	31	0	0	76	14
TCGA-UY-A78P-01A-12D-A364-08	204	81	15	0	11	13
TCGA-UY-A8OB-01A-12D-A42E-08	74	4	265	0	8	19
TCGA-UY-A8OC-01A-11D-A364-08	35	29	9	0	19	9
TCGA-UY-A8OD-01A-11D-A364-08	21	20	20	11	32	0
TCGA-UY-A9PA-01A-11D-A38G-08	23	29	82	39	12	0
TCGA-UY-A9PB-01A-11D-A38G-08	216	143	142	112	47	0
TCGA-UY-A9PD-01A-11D-A38G-08	46	64	91	68	63	7
TCGA-UY-A9PE-01A-11D-A38G-08	77	44	5	63	34	21
TCGA-UY-A9PF-01A-11D-A38G-08	12	454	46	54	14	13
TCGA-UY-A9PH-01A-11D-A38G-08	208	170	10	0	28	24
TCGA-XF-A8HB-01A-11D-A364-08	19	1	2	0	47	17
TCGA-XF-A8HC-01A-11D-A364-08	32	82	1	30	38	1
TCGA-XF-A8HD-01A-11D-A364-08	342	106	0	36	38	35
TCGA-XF-A8HE-01A-11D-A364-08	218	198	18	18	0	9
TCGA-XF-A8HF-01A-11D-A364-08	21	18	36	82	19	3
TCGA-XF-A8HG-01A-11D-A364-08	64	84	77	20	68	6
TCGA-XF-A8HH-01A-11D-A38G-08	55	36	0	0	35	12
TCGA-XF-A8HI-01A-11D-A38G-08	41	32	0	0	19	0
TCGA-XF-A9SG-01A-12D-A42E-08	82	79	6	17	28	9
TCGA-XF-A9SH-01A-11D-A391-08	20	6	1	5	17	1
TCGA-XF-A9SI-01A-11D-A391-08	257	125	0	8	1	0
TCGA-XF-A9SJ-01A-11D-A391-08	97	156	49	0	26	0
TCGA-XF-A9SK-01A-11D-A42E-08	75	33	10	14	21	18
TCGA-XF-A9SL-01A-11D-A391-08	62	3	20	2	2	0
TCGA-XF-A9SM-01A-11D-A42E-08	159	86	2	29	0	0
TCGA-XF-A9SP-01A-11D-A391-08	144	67	30	30	47	26
TCGA-XF-A9ST-01A-11D-A42E-08	194	84	185	111	36	11
TCGA-XF-A9SU-01A-31D-A391-08	7	2	12	0	28	8
TCGA-XF-A9SV-01A-21D-A42E-08	10	9	14	15	30	4
TCGA-XF-A9SW-01A-11D-A42E-08	10	22	7	12	19	4
TCGA-XF-A9SX-01A-21D-A391-08	9	11	41	33	13	6
TCGA-XF-A9SY-01A-21D-A42E-08	102	35	0	278	0	44
TCGA-XF-A9SZ-01A-11D-A391-08	58	56	41	44	19	2
TCGA-XF-A9T0-01A-11D-A391-08	55	595	203	66	39	20
TCGA-XF-A9T2-01A-11D-A42E-08	38	19	9	11	21	0
TCGA-XF-A9T3-01A-11D-A42E-08	32	50	330	28	37	13
TCGA-XF-A9T4-01A-11D-A391-08	11	4	4	1	21	3
TCGA-XF-A9T5-01A-11D-A42E-08	500	251	21	23	5	0
TCGA-XF-A9T6-01A-11D-A42E-08	0	107	135	47	36	24
TCGA-XF-A9T8-01A-11D-A391-08	583	205	13	0	40	0
TCGA-XF-AAME-01A-12D-A42E-08	0	0	11	7	2	0
TCGA-XF-AAMF-01A-21D-A42E-08	36	17	4	5	22	2
TCGA-XF-AAMG-01A-11D-A42E-08	647	179	38	116	64	58
TCGA-XF-AAMH-01A-11D-A42E-08	1	2	15	16	26	3
TCGA-XF-AAMJ-01A-11D-A42E-08	3	0	0	1	36	2
TCGA-XF-AAML-01A-11D-A42E-08	225	229	48	31	20	32
TCGA-XF-AAMQ-01A-11D-A42E-08	112	79	0	12	28	12
TCGA-XF-AAMR-01A-31D-A42E-08	34	38	6	6	16	6
TCGA-XF-AAMT-01A-11D-A42E-08	24	4	11	49	18	2
TCGA-XF-AAMW-01A-11D-A42E-08	0	0	13	16	1	3
TCGA-XF-AAMX-01A-11D-A42E-08	103	42	53	109	34	26
TCGA-XF-AAMY-01A-11D-A42E-08	51	37	3	1	40	0
TCGA-XF-AAMZ-01A-11D-A42E-08	135	32	0	31	58	24
TCGA-XF-AAN0-01A-11D-A42E-08	251	117	8	36	14	27
TCGA-XF-AAN1-01A-31D-A42E-08	18	7	32	2	36	5
TCGA-XF-AAN2-01A-11D-A42E-08	305	178	7	38	14	4
TCGA-XF-AAN3-01A-11D-A42E-08	90	56	16	0	15	2
TCGA-XF-AAN4-01A-11D-A42E-08	18	0	11	1	4	1
TCGA-XF-AAN5-01A-11D-A42E-08	236	21	8	37	31	15
TCGA-XF-AAN7-01A-11D-A42E-08	1	25	42	37	47	0
TCGA-XF-AAN8-01A-11D-A42E-08	0	0	0	1	1	0
TCGA-YC-A89H-01A-11D-A364-08	32	1713	206	44	68	19
TCGA-YC-A8S6-01A-31D-A38G-08	50	17	8	7	11	16
