Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-A8-A081-01A-11W-A019-09	7.76E-02	9.33E-02	9.46E-02	8.35E-02
TCGA-A8-A082-01A-11W-A019-09	0.00E+00	2.19E-02	1.97E-02	2.88E-02
TCGA-A8-A085-01A-11W-A019-09	4.51E-02	4.02E-02	4.69E-02	4.02E-02
TCGA-A8-A08F-01A-11W-A019-09	8.33E-02	6.34E-02	7.71E-02	7.72E-02
TCGA-A8-A08G-01A-11W-A019-09	4.46E-02	3.94E-02	4.23E-02	4.65E-02
TCGA-A8-A08H-01A-21W-A019-09	4.51E-02	3.49E-02	4.76E-02	4.29E-02
TCGA-A8-A08J-01A-11W-A019-09	6.74E-02	6.82E-02	6.17E-02	8.64E-02
TCGA-A8-A08L-01A-11W-A019-09	1.10E-01	9.66E-02	1.18E-01	1.03E-01
TCGA-A8-A08P-01A-11W-A019-09	6.89E-02	8.40E-02	7.59E-02	5.71E-02
TCGA-A8-A08R-01A-11W-A050-09	1.56E-01	1.20E-01	1.74E-01	1.62E-01
TCGA-A8-A08X-01A-21W-A019-09	4.69E-02	4.61E-02	3.68E-02	4.16E-02
TCGA-A8-A08Z-01A-21W-A019-09	0.00E+00	2.19E-02	1.97E-02	2.88E-02
TCGA-A8-A092-01A-11W-A019-09	4.23E-02	4.65E-02	4.09E-02	4.35E-02
TCGA-A8-A093-01A-11W-A019-09	7.72E-02	6.01E-02	8.34E-02	8.53E-02
TCGA-A8-A094-01A-11W-A019-09	9.94E-02	1.37E-01	1.26E-01	1.12E-01
TCGA-A8-A095-01A-11W-A019-09	1.53E-01	2.25E-01	2.14E-01	1.66E-01
TCGA-A8-A097-01A-11W-A050-09	1.84E-01	1.97E-01	1.51E-01	1.74E-01
TCGA-A8-A099-01A-11W-A019-09	4.92E-02	4.61E-02	3.59E-02	3.59E-02
TCGA-A8-A09A-01A-11W-A019-09	2.38E-01	1.38E-01	2.09E-01	2.31E-01
TCGA-A8-A09B-01A-11W-A019-09	4.51E-02	3.02E-02	4.23E-02	4.90E-02
TCGA-A8-A09D-01A-11W-A019-09	2.39E-02	4.02E-02	2.73E-02	2.39E-02
TCGA-A8-A09E-01A-11W-A019-09	4.56E-02	3.49E-02	4.51E-02	4.56E-02
TCGA-A8-A09G-01A-21W-A019-09	1.17E-01	1.71E-01	1.08E-01	7.96E-02
TCGA-A8-A09I-01A-22W-A050-09	9.88E-02	1.12E-01	9.03E-02	7.47E-02
TCGA-A8-A09M-01A-11W-A019-09	8.80E-02	6.45E-02	1.11E-01	1.06E-01
TCGA-A8-A09N-01A-11W-A019-09	1.82E-01	1.61E-01	1.62E-01	1.63E-01
TCGA-A8-A09Q-01A-11W-A019-09	2.10E-01	1.46E-01	1.90E-01	2.28E-01
TCGA-A8-A09V-01A-11D-A045-09	5.01E-02	3.49E-02	3.59E-02	4.35E-02
TCGA-A8-A09W-01A-11W-A019-09	8.20E-02	5.66E-02	8.04E-02	8.08E-02
TCGA-A8-A09X-01A-11W-A019-09	2.39E-02	4.02E-02	2.73E-02	2.39E-02
TCGA-A8-A09Z-01A-11W-A019-09	7.92E-01	3.61E-01	6.77E-01	8.97E-01
TCGA-A8-A0A1-01A-11W-A019-09	9.84E-02	9.47E-02	1.01E-01	1.19E-01
TCGA-A8-A0A2-01A-11W-A050-09	4.61E-02	1.71E-02	3.49E-02	5.02E-02
TCGA-A8-A0A4-01A-11W-A019-09	1.14E-01	1.06E-01	9.80E-02	8.70E-02
TCGA-A8-A0A6-01A-12W-A071-09	6.84E-02	4.11E-02	5.00E-02	7.96E-02
TCGA-A8-A0A7-01A-11W-A019-09	1.41E-02	3.27E-02	4.23E-02	2.88E-02
TCGA-A8-A0A9-01A-11W-A019-09	9.57E-02	5.87E-02	7.72E-02	9.52E-02
TCGA-A8-A0AD-01A-11W-A071-09	4.51E-02	3.02E-02	4.23E-02	4.90E-02
TCGA-AC-A23C-01A-12D-A167-09	6.85E-02	9.03E-02	7.44E-02	7.18E-02
TCGA-AC-A23H-01A-11D-A159-09	1.62E+00	2.29E+00	1.30E+00	1.17E+00
TCGA-AC-A2B8-01A-11D-A17D-09	1.83E-01	1.76E-01	1.40E-01	1.44E-01
