Samples	SBS1	SBS2	SBS3	SBS5	SBS6	SBS10a	SBS10b	SBS13	SBS29
TCGA-A2-A0SU-01A-11D-A099-09	0	0	0	16	17	0	0	0	0
TCGA-A2-A0SV-01A-11D-A099-09	6	0	0	23	10	0	0	0	0
TCGA-A2-A0SW-01A-11D-A099-09	13	9	0	29	0	0	0	8	0
TCGA-A2-A0SX-01A-12D-A099-09	8	6	0	26	0	0	0	0	0
TCGA-A2-A0SY-01A-31D-A099-09	11	44	0	22	0	0	18	56	0
TCGA-A2-A0T0-01A-22D-A099-09	18	0	128	41	0	0	0	0	0
TCGA-A2-A0T1-01A-21D-A099-09	9	0	0	20	0	0	0	0	0
TCGA-A2-A0T2-01A-11W-A097-09	9	4	23	0	0	0	0	0	0
TCGA-A2-A0T3-01A-21D-A10Y-09	3	0	0	9	13	0	0	0	14
TCGA-A2-A0T4-01A-31D-A099-09	2	0	0	19	13	0	0	0	0
TCGA-A2-A0T5-01A-21D-A099-09	8	0	0	8	0	0	0	0	0
TCGA-A2-A0T6-01A-11D-A099-09	12	3	0	11	0	0	0	0	0
TCGA-A2-A0T7-01A-21D-A099-09	10	0	0	12	0	0	0	0	0
TCGA-A2-A0YC-01A-11D-A117-09	7	4	0	17	0	0	0	0	0
TCGA-A2-A0YD-01A-11D-A10G-09	11	20	0	18	0	0	21	20	0
TCGA-A2-A0YE-01A-11D-A10G-09	13	7	0	19	0	0	0	0	0
TCGA-A2-A0YF-01A-21D-A10G-09	2	0	0	20	6	6	0	0	0
TCGA-A2-A0YG-01A-21D-A10G-09	14	0	0	56	0	0	0	0	0
TCGA-A2-A0YH-01A-11D-A10G-09	19	16	0	34	0	0	0	32	0
TCGA-A2-A0YI-01A-31D-A10M-09	2	0	12	0	0	0	0	0	0
TCGA-A2-A0YJ-01A-11D-A10G-09	22	0	0	61	0	0	0	0	0
TCGA-A2-A0YK-01A-22D-A117-09	16	181	0	36	0	0	0	199	0
TCGA-A2-A0YL-01A-21D-A10G-09	5	14	0	18	0	0	0	9	0
TCGA-A2-A0YM-01A-11D-A10G-09	26	12	0	34	0	0	0	17	0
TCGA-A2-A0YT-01A-11D-A10G-09	11	0	0	23	18	0	15	0	0
TCGA-A2-A1FV-01A-11D-A13L-09	16	7	0	17	0	0	0	0	0
TCGA-A2-A1FW-01A-11D-A13L-09	23	0	0	59	0	0	0	0	0
TCGA-A2-A1FX-01A-11D-A13L-09	2	0	0	11	6	4	4	0	0
TCGA-A2-A1FZ-01A-51D-A17G-09	5	0	12	12	0	0	0	0	0
TCGA-A2-A1G0-01A-11D-A13L-09	4	2	13	3	0	0	0	0	0
TCGA-A2-A1G1-01A-21D-A13L-09	7	0	32	0	0	0	0	0	0
TCGA-A2-A1G4-01A-11D-A13L-09	6	0	0	25	0	0	0	0	0
TCGA-A2-A1G6-01A-11D-A13L-09	0	0	0	5	3	0	0	0	0
TCGA-A2-A259-01A-11D-A16D-09	5	5	0	11	0	0	0	0	0
TCGA-A2-A25A-01A-12D-A16D-09	0	0	0	38	0	0	0	0	427
TCGA-A2-A25B-01A-11D-A167-09	3	0	70	23	18	0	0	0	0
TCGA-A2-A25C-01A-11D-A167-09	1	0	0	34	0	6	0	0	0
TCGA-A2-A25D-01A-12D-A16D-09	2	6	20	12	10	0	0	3	0
TCGA-A2-A25E-01A-11D-A167-09	0	5	47	0	13	0	0	0	0
TCGA-A2-A25F-01A-11D-A167-09	0	0	0	3	0	0	0	0	3
TCGA-A2-A3KD-01A-12D-A20S-09	6	0	0	14	0	0	0	0	0
TCGA-A2-A3XT-01A-11D-A22X-09	11	5	78	0	0	0	0	22	0
TCGA-A2-A3XU-01A-12D-A22X-09	7	0	0	13	10	0	0	0	0
TCGA-A2-A3XV-01A-21D-A23C-09	5	0	0	30	10	0	0	0	0
TCGA-A2-A3XW-01A-11D-A23C-09	2	0	0	6	0	0	5	0	0
TCGA-A2-A3XX-01A-21D-A23C-09	10	0	29	7	0	0	8	0	0
TCGA-A2-A3XZ-01A-42D-A23C-09	7	7	0	13	7	0	8	13	0
TCGA-A2-A3Y0-01A-11D-A23C-09	11	10	121	26	23	0	0	33	0
TCGA-A2-A4S1-01A-21D-A25Q-09	4	0	0	32	21	0	0	0	30
TCGA-A2-A4S2-01A-12D-A25Q-09	5	4	0	30	0	0	0	0	0
TCGA-A2-A4S3-01A-21D-A25Q-09	9	0	53	22	13	0	0	0	0
TCGA-A7-A0CD-01A-11W-A019-09	17	0	20	3	0	0	0	0	0
TCGA-A7-A0CE-01A-11W-A019-09	14	0	130	19	0	0	0	0	0
TCGA-A7-A0CG-01A-11W-A019-09	18	14	0	40	0	0	0	0	0
TCGA-A7-A0CJ-01A-21W-A019-09	6	0	53	13	16	0	0	0	0
TCGA-A7-A0D9-01A-31W-A071-09	4	5	0	15	0	0	0	0	0
TCGA-A7-A0DA-01A-31D-A10Y-09	14	0	135	1	0	0	0	0	0
TCGA-A7-A0DB-01A-11D-A272-09	9	8	0	28	0	0	0	9	0
TCGA-A7-A13D-01A-13D-A272-09	14	5	61	35	0	0	0	14	0
TCGA-A7-A13E-01A-11D-A272-09	1	0	0	30	9	0	0	0	0
TCGA-A7-A13F-01A-11D-A12Q-09	9	0	0	19	0	0	9	0	0
TCGA-A7-A13G-01A-11D-A13L-09	0	8	0	12	9	0	0	0	0
TCGA-A7-A26E-01A-11D-A272-09	14	19	0	19	0	0	8	0	0
TCGA-A7-A26F-01A-21D-A167-09	17	0	26	4	0	0	0	0	0
TCGA-A7-A26G-01A-21D-A167-09	6	7	47	0	0	0	0	6	0
TCGA-A7-A26H-01A-11D-A167-09	26	34	0	34	0	0	0	42	0
TCGA-A7-A26I-01A-11D-A167-09	6	7	34	0	0	0	0	0	0
TCGA-A7-A26J-01A-11D-A272-09	8	0	27	4	0	0	0	0	0
TCGA-A7-A2KD-01A-31D-A21Q-09	20	0	0	34	0	0	0	0	0
TCGA-A7-A3RF-01A-11D-A228-09	5	0	0	32	0	0	0	0	0
TCGA-A7-A425-01A-11D-A243-09	12	0	0	26	0	0	0	0	0
TCGA-A7-A4SC-01A-12D-A25Q-09	5	0	0	15	0	0	5	0	9
TCGA-A7-A4SD-01A-11D-A25Q-09	22	0	20	19	0	0	0	0	0
TCGA-A7-A4SE-01A-11D-A25Q-09	7	12	89	0	0	0	0	22	0
TCGA-A7-A56D-01A-11D-A27P-09	25	47	0	55	0	0	20	36	0
TCGA-A7-A5ZW-01A-12D-A29N-09	9	5	0	14	0	0	0	6	0
TCGA-A7-A5ZX-01A-12D-A29N-09	3	4	0	22	0	0	8	0	0
TCGA-A7-A6VV-01A-22D-A33E-09	9	0	38	12	0	0	0	0	0
TCGA-A7-A6VW-01A-21D-A33E-09	12	0	58	9	0	0	0	0	0
TCGA-A7-A6VX-01A-12D-A33E-09	11	26	137	3	0	0	0	9	0
TCGA-A7-A6VY-01A-12D-A33E-09	11	8	58	36	0	0	0	16	0
TCGA-A8-A06O-01A-11W-A019-09	36	0	29	21	0	0	0	0	0
TCGA-A8-A06P-01A-11W-A019-09	13	7	33	28	0	0	0	0	0
TCGA-A8-A06Q-01A-11W-A050-09	15	109	0	40	0	0	29	87	0
TCGA-A8-A06R-01A-11D-A015-09	19	0	0	47	0	0	0	0	0
TCGA-A8-A06T-01A-11W-A019-09	1	0	0	37	0	0	0	0	0
TCGA-A8-A06U-01A-11W-A019-09	16	0	0	71	0	0	0	0	0
TCGA-A8-A06X-01A-21W-A019-09	28	0	240	14	0	0	0	0	0
TCGA-A8-A06Y-01A-21W-A019-09	8	0	0	20	0	0	0	0	12
TCGA-A8-A06Z-01A-11W-A019-09	9	0	75	5	0	0	0	0	0
TCGA-A8-A075-01A-11D-A099-09	7	14	56	0	0	0	0	6	0
TCGA-A8-A076-01A-21W-A019-09	26	0	0	53	0	0	12	0	0
TCGA-A8-A079-01A-21W-A019-09	22	0	78	3	0	0	0	0	0
TCGA-A8-A07B-01A-11W-A019-09	8	12	0	43	0	0	0	16	0
TCGA-A8-A07F-01A-11W-A019-09	12	0	0	25	0	0	0	0	0
TCGA-A8-A07G-01A-11W-A050-09	1	8	53	0	18	0	0	0	0
TCGA-A8-A07I-01A-11W-A019-09	18	0	45	0	0	0	0	0	0
TCGA-A8-A07J-01A-11W-A019-09	5	9	73	0	0	0	0	4	0
TCGA-A8-A07L-01A-11W-A019-09	2	0	88	12	16	0	0	0	0
TCGA-A8-A07O-01A-11W-A019-09	18	15	0	30	0	0	0	0	0
TCGA-A8-A07P-01A-11W-A019-09	18	0	0	56	0	0	0	0	0
TCGA-A8-A07U-01A-11W-A050-09	17	7	52	21	0	0	0	18	0
TCGA-A8-A07W-01A-11W-A019-09	38	0	89	29	0	0	0	0	0
TCGA-A8-A07Z-01A-11W-A019-09	8	0	0	18	0	0	0	0	0
TCGA-A8-A081-01A-11W-A019-09	27	12	36	36	0	0	0	18	0
TCGA-A8-A082-01A-11W-A019-09	7	0	0	13	8	0	0	0	0
TCGA-A8-A083-01A-21W-A019-09	1	0	0	33	0	0	0	0	0
TCGA-A8-A085-01A-11W-A019-09	2	0	64	11	0	0	0	17	0
TCGA-A8-A08B-01A-11W-A019-09	6	15	0	29	0	0	11	0	0
TCGA-A8-A08C-01A-11W-A019-09	0	0	8	1	0	0	0	0	0
TCGA-A8-A08F-01A-11W-A019-09	0	0	108	7	21	0	0	0	0
TCGA-A8-A08G-01A-11W-A019-09	13	0	0	39	0	0	0	0	0
TCGA-A8-A08H-01A-21W-A019-09	2	82	122	23	0	0	0	0	0
TCGA-A8-A08J-01A-11W-A019-09	8	4	0	20	0	0	6	3	0
TCGA-A8-A08L-01A-11W-A019-09	12	36	129	15	0	0	0	68	0
TCGA-A8-A08O-01A-21W-A071-09	3	0	0	29	0	0	0	0	0
TCGA-A8-A08P-01A-11W-A019-09	9	6	0	45	12	0	0	10	0
TCGA-A8-A08R-01A-11W-A050-09	23	10	196	7	0	0	0	39	0
TCGA-A8-A08S-01A-11W-A050-09	24	0	0	43	0	0	0	0	0
TCGA-A8-A08T-01A-21W-A019-09	9	0	0	49	0	3	9	0	0
TCGA-A8-A08X-01A-21W-A019-09	0	0	0	32	16	0	0	0	0
TCGA-A8-A08Z-01A-21W-A019-09	17	6	0	21	0	0	0	0	0
TCGA-A8-A090-01A-11W-A019-09	9	5	15	15	0	0	0	2	0
TCGA-A8-A091-01A-11W-A019-09	11	7	0	12	0	0	0	0	0
TCGA-A8-A092-01A-11W-A019-09	10	32	0	26	0	0	10	18	0
TCGA-A8-A093-01A-11W-A019-09	14	49	0	26	0	0	27	21	0
TCGA-A8-A094-01A-11W-A019-09	11	64	0	74	0	0	0	68	0
TCGA-A8-A095-01A-11W-A019-09	15	76	0	35	0	0	0	74	0
TCGA-A8-A096-01A-11W-A019-09	15	0	0	30	0	0	0	0	0
TCGA-A8-A097-01A-11W-A050-09	9	4	78	17	0	0	0	13	0
TCGA-A8-A099-01A-11W-A019-09	9	0	25	8	0	0	0	0	0
TCGA-A8-A09A-01A-11W-A019-09	0	19	149	0	32	0	0	0	45
TCGA-A8-A09B-01A-11W-A019-09	10	4	25	13	0	0	0	0	0
TCGA-A8-A09C-01A-11W-A019-09	6	0	0	52	0	0	0	0	0
TCGA-A8-A09D-01A-11W-A019-09	4	0	0	63	0	0	0	0	0
TCGA-A8-A09E-01A-11W-A019-09	6	0	0	86	0	0	0	0	0
TCGA-A8-A09G-01A-21W-A019-09	12	101	0	43	0	0	0	155	0
TCGA-A8-A09I-01A-22W-A050-09	38	28	0	58	0	0	0	38	0
TCGA-A8-A09K-01A-11W-A019-09	8	5	0	38	0	0	0	0	0
TCGA-A8-A09M-01A-11W-A019-09	18	0	137	14	0	0	0	0	0
TCGA-A8-A09N-01A-11W-A019-09	14	23	0	80	0	0	0	29	0
TCGA-A8-A09Q-01A-11W-A019-09	40	0	76	59	0	0	0	0	0
TCGA-A8-A09T-01A-11W-A019-09	5	0	0	17	7	0	0	0	0
TCGA-A8-A09V-01A-11D-A045-09	6	0	24	1	0	0	0	0	0
TCGA-A8-A09W-01A-11W-A019-09	9	0	40	31	13	0	0	0	0
TCGA-A8-A09X-01A-11W-A019-09	17	13	30	6	0	0	0	4	0
TCGA-A8-A09Z-01A-11W-A019-09	41	0	0	667	614	0	0	0	0
TCGA-A8-A0A1-01A-11W-A019-09	22	0	25	20	0	0	0	0	0
TCGA-A8-A0A2-01A-11W-A050-09	16	0	0	30	0	6	0	0	0
TCGA-A8-A0A4-01A-11W-A019-09	14	0	59	0	0	0	0	0	0
TCGA-A8-A0A6-01A-12W-A071-09	1	7	0	25	10	0	0	0	0
TCGA-A8-A0A7-01A-11W-A019-09	11	134	0	77	0	0	0	56	0
TCGA-A8-A0A9-01A-11W-A019-09	24	9	0	21	0	0	0	14	0
TCGA-A8-A0AB-01A-11W-A050-09	11	0	29	0	0	0	0	0	0
TCGA-A8-A0AD-01A-11W-A071-09	5	0	0	24	0	0	0	0	0
TCGA-AC-A23C-01A-12D-A167-09	10	27	56	15	0	0	0	17	0
TCGA-AC-A23E-01A-11D-A159-09	8	0	0	12	0	0	0	0	0
TCGA-AC-A23H-01A-11D-A159-09	134	2374	0	293	0	0	0	2901	0
TCGA-AC-A2B8-01A-11D-A17D-09	9	46	0	20	0	0	0	35	0
TCGA-AC-A2BK-01A-11D-A21Q-09	7	0	69	0	28	0	0	0	0
TCGA-AC-A2BM-01A-11D-A21Q-09	0	0	0	9	6	0	0	4	0
TCGA-AC-A2FB-01A-11D-A17D-09	3	4	0	6	0	0	0	0	0
TCGA-AC-A2FF-01A-11D-A17D-09	2	2	0	6	0	0	0	2	0
TCGA-AC-A2FG-01A-11D-A17D-09	8	6	23	0	0	0	0	0	0
TCGA-AC-A2FO-01A-11D-A17W-09	2	12	0	0	0	0	6	7	0
TCGA-AC-A2QH-01A-11D-A18P-09	21	7	0	0	0	5	0	0	0
TCGA-AC-A3HN-01A-11D-A20S-09	4	0	0	21	0	0	0	0	0
TCGA-AC-A3OD-01A-11D-A21Q-09	6	4	0	10	9	0	5	0	0
TCGA-AC-A3QP-01A-11D-A22X-09	4	0	0	24	0	0	5	0	0
TCGA-AC-A3QQ-01A-11D-A228-09	5	0	0	21	11	0	0	0	0
TCGA-AC-A3W5-01A-11D-A228-09	15	27	111	18	0	0	0	38	0
TCGA-AC-A3YI-01A-21D-A23C-09	2	0	0	12	0	0	5	0	0
TCGA-AC-A3YJ-01A-11D-A22X-09	7	0	0	25	0	0	0	0	0
TCGA-AC-A4ZE-01A-11D-A41F-09	8	6	0	20	18	0	0	0	17
TCGA-AC-A5EH-01A-11D-A28B-09	10	14	108	26	23	0	0	10	0
TCGA-AC-A5EI-01A-11D-A27P-09	15	10	0	15	0	0	0	0	0
TCGA-AC-A5XS-01A-11D-A29N-09	11	263	0	52	0	0	86	275	0
TCGA-AC-A5XU-01A-11D-A28B-09	41	12	0	45	0	0	0	7	0
TCGA-AC-A62V-01A-11D-A31U-09	17	0	0	42	33	0	0	0	0
TCGA-AC-A62X-01A-11D-A29N-09	38	0	0	34	0	0	0	0	0
TCGA-AC-A62Y-01A-11D-A29N-09	13	15	0	42	0	0	0	13	0
TCGA-AC-A6IV-01A-12D-A33E-09	4	0	0	13	0	0	6	0	0
TCGA-AC-A6IW-01A-12D-A33E-09	13	25	0	76	26	0	0	63	0
TCGA-AC-A6IX-01A-12D-A32I-09	5	13	0	19	12	0	0	8	0
TCGA-AC-A6NO-01A-12D-A33E-09	8	0	0	30	0	0	0	0	0
TCGA-AC-A7VB-01A-11D-A351-09	9	0	0	12	10	0	0	0	0
TCGA-AC-A7VC-01A-11D-A351-09	3	0	0	12	8	0	5	0	0
TCGA-AC-A8OP-01A-11D-A36J-09	47	13	109	45	0	0	0	8	0
TCGA-AC-A8OQ-01A-11D-A41F-09	32	17	55	24	0	0	0	0	0
TCGA-AC-A8OR-01A-21D-A41F-09	0	0	0	1	14	0	0	0	33
TCGA-AC-A8OS-01A-12D-A41F-09	15	12	36	5	0	0	0	4	0
TCGA-AN-A03X-01A-21W-A019-09	7	0	65	10	0	0	0	0	0
TCGA-AN-A03Y-01A-21W-A019-09	16	6	0	30	0	0	0	0	0
TCGA-AN-A041-01A-11W-A050-09	12	8	32	0	0	0	0	0	0
TCGA-AN-A046-01A-21W-A050-09	460	0	0	0	0	1884	4316	0	0
TCGA-AN-A049-01A-21W-A019-09	6	0	0	24	0	0	6	0	0
TCGA-AN-A04A-01A-21W-A050-09	8	0	0	30	14	0	0	0	0
TCGA-AN-A04C-01A-21W-A050-09	14	0	0	72	16	0	0	0	0
TCGA-AN-A04D-01A-21W-A050-09	0	0	78	6	20	0	0	0	0
TCGA-AN-A0AJ-01A-11W-A019-09	20	0	0	44	0	0	15	16	0
TCGA-AN-A0AK-01A-21W-A019-09	0	0	0	570	791	0	0	0	0
TCGA-AN-A0AL-01A-11W-A019-09	7	0	69	4	0	0	0	0	0
TCGA-AN-A0AM-01A-11W-A050-09	20	7	64	14	0	0	0	6	0
TCGA-AN-A0AR-01A-11W-A019-09	11	0	125	4	0	0	0	0	0
TCGA-AN-A0AS-01A-11W-A019-09	16	5	27	0	0	0	0	0	0
TCGA-AN-A0AT-01A-11D-A045-09	0	0	99	6	20	0	0	0	0
TCGA-AN-A0FD-01A-11W-A050-09	8	0	27	1	0	0	0	0	0
TCGA-AN-A0FF-01A-11W-A050-09	6	0	0	19	0	0	0	0	0
TCGA-AN-A0FJ-01A-11W-A019-09	19	21	70	0	0	0	0	15	0
TCGA-AN-A0FK-01A-11W-A050-09	4	0	0	41	15	0	0	0	0
TCGA-AN-A0FL-01A-11W-A050-09	25	0	92	53	0	0	0	23	0
TCGA-AN-A0FN-01A-11W-A050-09	0	0	46	28	12	0	0	0	0
TCGA-AN-A0FS-01A-11W-A050-09	15	15	0	54	0	0	0	13	0
TCGA-AN-A0FT-01A-11W-A050-09	35	19	0	54	0	0	0	15	0
TCGA-AN-A0FV-01A-11W-A019-09	2	18	36	15	21	0	0	17	0
TCGA-AN-A0FW-01A-11W-A050-09	8	0	86	20	0	0	8	0	0
TCGA-AN-A0FX-01A-11W-A050-09	16	0	0	160	0	0	0	0	0
TCGA-AN-A0FY-01A-11W-A050-09	22	0	0	39	0	0	0	0	0
TCGA-AN-A0FZ-01A-11W-A050-09	22	8	0	29	22	0	0	0	0
TCGA-AN-A0G0-01A-11W-A050-09	21	0	0	20	0	0	0	0	0
TCGA-AN-A0XN-01A-21D-A10G-09	17	0	100	42	0	0	0	0	0
TCGA-AN-A0XO-01A-11D-A10G-09	5	0	0	19	0	0	12	0	0
TCGA-AN-A0XP-01A-11D-A117-09	0	4	20	0	8	0	0	0	0
TCGA-AN-A0XR-01A-11D-A10G-09	4	4	18	0	0	0	0	2	0
TCGA-AN-A0XS-01A-22D-A10G-09	2	7	0	11	10	0	0	0	0
TCGA-AN-A0XT-01A-11D-A10G-09	3	0	0	10	6	0	0	0	0
TCGA-AN-A0XU-01A-11D-A10G-09	13	6	86	0	0	0	0	14	0
TCGA-AN-A0XV-01A-11D-A10G-09	6	0	0	20	9	0	0	0	0
TCGA-AN-A0XW-01A-11D-A10G-09	13	142	0	16	0	0	0	209	0
TCGA-AO-A03L-01A-41W-A071-09	8	0	0	30	0	0	0	0	0
TCGA-AO-A03O-01A-11W-A019-09	29	0	54	13	0	0	0	0	0
TCGA-AO-A03P-01A-11W-A019-09	7	7	33	0	16	0	0	0	0
TCGA-AO-A03R-01A-21W-A050-09	2	0	24	28	10	0	0	0	0
TCGA-AO-A03T-01A-21W-A050-09	8	7	66	28	0	0	0	13	0
TCGA-AO-A03V-01A-11D-A10Y-09	11	8	0	35	0	0	0	9	0
TCGA-AO-A0J2-01A-11W-A050-09	5	0	67	0	10	0	0	0	0
TCGA-AO-A0J3-01A-11W-A050-09	10	12	0	19	14	0	12	4	18
TCGA-AO-A0J4-01A-11W-A050-09	13	6	78	12	0	0	0	35	0
TCGA-AO-A0J5-01A-11W-A050-09	14	0	0	68	0	0	0	0	0
TCGA-AO-A0J6-01A-11W-A050-09	2	6	82	0	17	0	0	13	0
TCGA-AO-A0J7-01A-11W-A050-09	4	6	0	16	0	0	0	0	0
TCGA-AO-A0J8-01A-21D-A045-09	4	0	0	25	0	0	0	0	0
TCGA-AO-A0J9-01A-11W-A050-09	14	67	0	68	0	0	0	36	0
TCGA-AO-A0JA-01A-11W-A071-09	7	13	0	16	0	0	0	0	0
TCGA-AO-A0JB-01A-11W-A071-09	5	0	0	109	0	0	0	0	28
TCGA-AO-A0JC-01A-11W-A071-09	7	82	0	0	0	0	17	70	0
TCGA-AO-A0JD-01A-11W-A071-09	23	0	93	19	0	0	0	0	0
TCGA-AO-A0JE-01A-11W-A071-09	6	12	0	13	0	0	8	16	0
TCGA-AO-A0JF-01A-11W-A071-09	2	3	18	13	0	0	0	0	0
TCGA-AO-A0JG-01A-31D-A099-09	1	0	9	5	0	3	0	0	0
TCGA-AO-A0JI-01A-21W-A100-09	7	0	21	3	0	0	0	0	0
TCGA-AO-A0JJ-01A-11W-A071-09	5	0	26	7	0	0	0	0	0
TCGA-AO-A0JM-01A-21W-A071-09	19	0	0	29	0	0	10	0	0
TCGA-AO-A124-01A-11D-A10M-09	17	0	81	57	0	0	0	0	0
TCGA-AO-A128-01A-11D-A10M-09	245	0	0	595	355	0	0	0	0
TCGA-AO-A12A-01A-21D-A10Y-09	3	0	0	7	5	0	0	0	0
TCGA-AO-A12D-01A-11D-A10Y-09	10	23	0	23	0	0	0	8	0
TCGA-AO-A12F-01A-11D-A10Y-09	2	0	0	12	20	0	0	0	0
TCGA-AO-A12H-01A-11D-A10Y-09	9	0	0	21	0	0	0	0	0
TCGA-AO-A1KO-01A-31D-A188-09	0	0	0	7	0	1	0	0	0
TCGA-AO-A1KP-01A-11D-A13L-09	8	0	0	13	0	0	0	0	0
TCGA-AO-A1KR-01A-12D-A142-09	7	0	45	29	0	0	0	0	0
TCGA-AO-A1KS-01A-11D-A13L-09	14	15	0	17	0	0	7	4	0
TCGA-AO-A1KT-01A-11D-A13L-09	20	0	0	29	0	0	0	0	0
TCGA-AQ-A04H-01B-11D-A10M-09	37	0	24	18	0	0	0	0	0
TCGA-AQ-A04J-01A-02W-A050-09	5	9	73	12	0	0	0	0	0
TCGA-AQ-A0Y5-01A-11D-A14K-09	21	14	0	15	0	0	0	11	0
TCGA-AQ-A1H2-01A-11D-A13L-09	8	0	0	24	0	0	0	0	0
