Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
TCGA-D8-A13Z-01A-11D-A10Y-09	0	15	44	22	1	0	6	11	9
TCGA-D8-A140-01A-11D-A10Y-09	19	0	0	25	12	37	2	20	18
TCGA-D8-A141-01A-11D-A10Y-09	0	0	5	7	0	3	0	3	2
TCGA-D8-A142-01A-11D-A10Y-09	0	13	30	41	0	32	2	20	21
TCGA-D8-A143-01A-11D-A10Y-09	3	1	18	12	1	0	0	7	14
TCGA-D8-A145-01A-11D-A10Y-09	1	4	11	13	10	0	0	7	2
TCGA-D8-A146-01A-31D-A10Y-09	5	0	4	7	11	5	6	4	0
TCGA-D8-A147-01A-11D-A10Y-09	17	40	49	4	12	40	4	10	23
TCGA-D8-A1J8-01A-11D-A13L-09	265	246	0	73	183	29	60	81	0
TCGA-D8-A1J9-01A-11D-A13L-09	108	102	4	2	3	0	27	0	10
TCGA-D8-A1JA-01A-11D-A13L-09	328	620	0	3	0	187	18	0	0
TCGA-D8-A1JB-01A-11D-A13L-09	4	4	10	4	4	0	2	10	15
TCGA-D8-A1JC-01A-11D-A13L-09	26	24	0	10	0	45	6	5	0
TCGA-D8-A1JD-01A-11D-A13L-09	8	14	28	5	12	0	9	17	24
TCGA-D8-A1JE-01A-11D-A13L-09	2	1	4	10	6	3	0	4	6
TCGA-D8-A1JF-01A-11D-A13L-09	3	3	7	8	19	0	3	6	0
TCGA-D8-A1JG-01B-11D-A13L-09	0	9	0	21	10	49	55	12	10
TCGA-D8-A1JH-01A-11D-A188-09	2	1	7	5	7	4	0	1	4
TCGA-D8-A1JI-01A-11D-A13L-09	0	0	0	8	3	4	2	16	5
TCGA-D8-A1JJ-01A-31D-A14K-09	31	13	6	13	11	0	7	7	1
TCGA-D8-A1JK-01A-11D-A13L-09	13	11	43	3	37	54	9	34	32
TCGA-D8-A1JL-01A-11D-A13L-09	3	12	42	3	20	9	11	16	19
TCGA-D8-A1JM-01A-11D-A13L-09	2	2	8	15	0	0	3	5	22
TCGA-D8-A1JN-01A-11D-A13L-09	84	40	0	8	0	39	26	7	1
TCGA-D8-A1JP-01A-11D-A13L-09	2	9	41	0	8	32	1	17	19
TCGA-D8-A1JS-01A-11D-A13L-09	2	0	2	8	2	10	1	0	1
TCGA-D8-A1JT-01A-31D-A13L-09	0	1	15	12	0	0	0	12	2
TCGA-D8-A1JU-01A-11D-A13L-09	1	0	5	5	4	0	1	3	0
TCGA-D8-A1X5-01A-11D-A14G-09	5	1	0	14	14	12	6	0	10
TCGA-D8-A1X6-01A-11D-A14K-09	3	0	10	12	8	0	2	6	0
TCGA-D8-A1X7-01A-11D-A14K-09	1	1	1	6	1	12	2	3	4
TCGA-D8-A1X8-01A-11D-A14K-09	1	2	7	9	0	12	1	8	14
TCGA-D8-A1X9-01A-12D-A159-09	1	9	16	6	19	9	2	6	40
TCGA-D8-A1XA-01A-11D-A14G-09	0	0	0	6	4	12	0	3	1
TCGA-D8-A1XB-01A-11D-A14G-09	6	2	2	11	9	0	3	6	4
TCGA-D8-A1XC-01A-11D-A14G-09	1	1	0	9	8	8	1	7	0
TCGA-D8-A1XF-01A-11D-A14G-09	2	3	1	16	5	1	10	6	14
TCGA-D8-A1XG-01A-11D-A14G-09	0	0	8	2	11	0	3	3	5
TCGA-D8-A1XJ-01A-11D-A14K-09	30	0	4	23	0	18	10	13	6
TCGA-D8-A1XK-01A-21D-A14K-09	0	0	207	22	922	105	13	0	0
TCGA-D8-A1XL-01A-11D-A14K-09	5	7	44	7	18	0	6	4	19
TCGA-D8-A1XM-01A-21D-A14K-09	16	4	1	15	0	12	11	6	1
TCGA-D8-A1XO-01A-11D-A14K-09	5	1	7	7	0	1	0	4	3
TCGA-D8-A1XQ-01A-11D-A14K-09	22	33	167	159	468	0	33	71	45
TCGA-D8-A1XR-01A-11D-A14K-09	3	0	1	8	10	4	0	3	0
TCGA-D8-A1XS-01A-11D-A14K-09	5	1	1	6	0	0	5	2	8
TCGA-D8-A1XT-01A-11D-A14K-09	3	2	2	11	0	9	1	7	5
TCGA-D8-A1XU-01A-11D-A14K-09	10	1	6	5	1	0	0	3	5
TCGA-D8-A1XV-01A-11D-A14K-09	1	4	4	15	0	2	0	5	7
TCGA-D8-A1XW-01A-11D-A14K-09	9	11	57	8	9	1	2	12	13
TCGA-D8-A1XY-01A-11D-A14K-09	5	0	0	24	7	11	2	2	7
TCGA-D8-A1XZ-01A-11D-A14K-09	1	10	3	33	4	0	7	20	9
TCGA-D8-A1Y0-01A-11D-A14K-09	2	12	14	5	9	23	5	1	11
TCGA-D8-A1Y1-01A-21D-A14K-09	24	1	4	151	50	0	8	6	1
TCGA-D8-A1Y2-01A-11D-A159-09	7	3	0	7	2	0	1	0	2
TCGA-D8-A1Y3-01A-11D-A159-09	4	0	23	25	1	0	3	7	0
TCGA-D8-A27E-01A-11D-A16D-09	1	0	2	1	2	0	1	3	4
TCGA-D8-A27F-01A-11D-A16D-09	2	13	25	6	6	0	3	9	9
TCGA-D8-A27G-01A-11D-A16D-09	556	476	0	0	0	23	24	13	0
TCGA-D8-A27I-01A-11D-A16D-09	5	3	10	9	4	0	2	0	4
TCGA-D8-A27K-01A-11D-A16D-09	0	2	6	8	0	0	1	6	1
TCGA-D8-A27L-01A-11D-A16D-09	14	4	0	5	0	23	0	5	0
TCGA-D8-A27M-01A-11D-A16D-09	1	15	22	10	6	0	8	6	11
TCGA-D8-A27N-01A-11D-A16D-09	2	2	8	22	4	4	1	7	6
TCGA-D8-A27P-01A-11D-A16D-09	2	0	3	8	5	0	0	7	7
TCGA-D8-A27R-01A-11D-A16D-09	2	3	12	4	2	1	4	5	4
TCGA-D8-A27T-01A-11D-A16D-09	5	0	0	12	3	4	0	1	6
TCGA-D8-A27V-01A-12D-A17D-09	88	80	0	2	0	66	6	6	0
TCGA-D8-A27W-01A-11D-A16D-09	3	3	1	22	7	0	3	6	5
TCGA-D8-A3Z6-01A-11D-A23C-09	7	1	4	10	7	0	0	3	6
TCGA-D8-A4Z1-01A-21D-A25Q-09	29	25	2	3	0	0	8	7	2
TCGA-D8-A73U-01A-11D-A33E-09	98	23	0	5	1	67	2	5	0
TCGA-D8-A73W-01A-22D-A351-09	3	2	0	17	10	0	0	11	9
TCGA-D8-A73X-01A-11D-A32I-09	8	0	4	17	10	0	3	0	8
TCGA-E2-A10A-01A-21D-A10Y-09	3	2	0	2	1	0	0	7	9
TCGA-E2-A10C-01A-21D-A10M-09	264	188	0	2	0	12	21	0	0
TCGA-E2-A14N-01A-31D-A135-09	5	13	33	8	2	0	6	10	15
TCGA-E2-A14O-01A-31D-A10Y-09	2	0	0	15	0	0	8	2	9
TCGA-E2-A14P-01A-31D-A12B-09	18	6	0	22	7	30	9	9	10
TCGA-E2-A14Q-01A-11D-A12B-09	5	1	6	16	0	3	0	5	3
TCGA-E2-A14R-01A-11D-A10Y-09	3	21	54	6	22	7	8	10	21
TCGA-E2-A14T-01A-11D-A10Y-09	5	5	2	11	8	0	6	2	4
TCGA-E2-A14V-01A-11D-A12B-09	19	26	16	23	5	3	12	6	12
TCGA-E2-A14W-01A-11D-A12B-09	2	11	33	3	6	8	5	12	12
TCGA-E2-A14X-01A-11D-A10Y-09	6	2	3	15	2	0	5	3	5
TCGA-E2-A14Y-01A-21D-A12B-09	11	13	7	8	1	2	0	2	0
TCGA-E2-A14Z-01A-11D-A10Y-09	23	3	20	9	0	0	9	8	15
TCGA-E2-A150-01A-11D-A12B-09	2	5	24	15	12	0	10	10	5
TCGA-E2-A152-01A-11D-A12B-09	59	57	0	6	2	12	17	6	9
TCGA-E2-A153-01A-12D-A12B-09	4	0	1	13	2	0	1	1	2
TCGA-E2-A154-01A-11D-A10Y-09	1	0	6	19	0	0	10	7	15
TCGA-E2-A155-01A-11D-A12B-09	13	3	14	19	12	0	3	11	9
TCGA-E2-A156-01A-11D-A12B-09	3	1	4	7	3	0	1	0	5
TCGA-E2-A158-01A-11D-A12B-09	0	6	44	8	9	0	4	15	7
TCGA-E2-A159-01A-11D-A10Y-09	52	64	0	6	0	55	0	0	6
TCGA-E2-A15A-01A-11D-A12B-09	0	3	3	13	1	14	0	9	19
TCGA-E2-A15C-01A-31D-A12B-09	2	0	6	18	3	8	0	6	3
TCGA-E2-A15D-01A-11D-A10Y-09	0	2	5	8	7	0	4	5	1
TCGA-E2-A15E-01A-11D-A12B-09	1	6	5	15	7	0	0	2	7
TCGA-E2-A15G-01A-11D-A12B-09	10	0	19	17	2	0	4	9	12
TCGA-E2-A15H-01A-11D-A12B-09	0	1	0	14	7	0	1	8	5
TCGA-E2-A15I-01A-21D-A135-09	4	0	0	12	0	11	0	3	7
TCGA-E2-A15J-01A-11D-A12Q-09	0	0	1	10	3	7	0	2	3
TCGA-E2-A15K-01A-11D-A12Q-09	0	1	0	16	4	28	0	6	1
TCGA-E2-A15L-01A-11D-A12B-09	0	3	2	14	8	7	1	0	1
TCGA-E2-A15M-01A-11D-A12B-09	24	15	5	26	12	12	1	8	21
TCGA-E2-A15O-01A-11D-A10Y-09	2	0	9	10	1	4	1	2	9
TCGA-E2-A15P-01A-11D-A10Y-09	2	0	2	8	9	4	2	3	1
TCGA-E2-A15R-01A-11D-A10Y-09	5	0	0	20	0	7	3	4	9
TCGA-E2-A15S-01A-11D-A10Y-09	7	4	21	5	15	0	0	4	12
TCGA-E2-A15T-01A-11D-A10Y-09	0	2	3	18	0	8	0	7	4
TCGA-E2-A1AZ-01A-11D-A12Q-09	10	16	4	1	6	0	12	3	14
TCGA-E2-A1B0-01A-11D-A12Q-09	4	4	8	12	10	7	6	4	5
TCGA-E2-A1B1-01A-21D-A12Q-09	10	12	0	7	0	31	0	5	0
TCGA-E2-A1B4-01A-11D-A12Q-09	6	0	0	2	4	18	3	4	6
TCGA-E2-A1B5-01A-21D-A12Q-09	15	8	3	8	2	0	3	2	2
TCGA-E2-A1B6-01A-31D-A12Q-09	1	3	20	9	8	0	0	1	9
TCGA-E2-A1BC-01A-11D-A14G-09	0	2	1	8	4	15	0	3	8
TCGA-E2-A1BD-01A-11D-A12Q-09	0	2	6	16	0	0	4	6	5
TCGA-E2-A1IE-01A-11D-A188-09	0	0	3	10	0	0	0	9	12
TCGA-E2-A1IF-01A-11D-A142-09	0	0	2	2	7	0	2	3	4
TCGA-E2-A1IG-01A-11D-A142-09	2	0	16	19	2	1	4	6	0
TCGA-E2-A1IH-01A-11D-A188-09	18	21	0	10	15	17	1	1	4
TCGA-E2-A1II-01A-11D-A142-09	0	2	19	6	2	0	1	2	0
TCGA-E2-A1IJ-01A-11D-A142-09	0	0	0	0	1	9	0	2	5
TCGA-E2-A1IK-01A-11D-A17G-09	0	2	6	2	1	0	6	0	0
TCGA-E2-A1IL-01A-11D-A14G-09	0	0	5	8	3	4	5	4	8
TCGA-E2-A1IN-01A-11D-A13L-09	91	92	15	11	11	0	0	8	13
TCGA-E2-A1IO-01A-11D-A142-09	2	0	0	4	0	0	3	0	5
TCGA-E2-A1IU-01A-11D-A14G-09	8	2	7	2	2	0	6	4	4
TCGA-E2-A1L6-01A-11D-A13L-09	2	0	4	2	3	0	6	5	2
TCGA-E2-A1L7-01A-11D-A142-09	1	3	24	4	9	17	2	5	12
TCGA-E2-A1L8-01A-11D-A13L-09	4	1	9	5	10	2	0	0	6
TCGA-E2-A1L9-01A-11D-A13L-09	2	0	5	9	3	0	3	3	5
TCGA-E2-A1LA-01A-11D-A142-09	3	7	63	6	18	0	3	8	0
TCGA-E2-A1LB-01A-11D-A142-09	10	10	0	2	5	23	3	0	5
TCGA-E2-A1LG-01A-21D-A14K-09	44	90	0	3	0	44	6	7	0
TCGA-E2-A1LH-01A-11D-A14G-09	18	46	93	13	11	12	6	8	13
TCGA-E2-A1LI-01A-12D-A159-09	6	6	13	0	1	0	2	0	1
TCGA-E2-A1LK-01A-21D-A14G-09	0	5	1	33	7	0	7	2	0
TCGA-E2-A1LL-01A-11D-A142-09	5	7	22	7	13	0	1	4	20
TCGA-E2-A1LS-01A-12D-A159-09	0	6	24	6	9	15	4	10	6
TCGA-E2-A2P6-01A-11D-A19Y-09	92	32	0	18	5	24	4	14	0
TCGA-E2-A56Z-01A-12D-A29N-09	2	0	10	14	13	0	7	7	4
TCGA-E2-A570-01A-11D-A29N-09	0	1	2	10	0	11	0	6	0
TCGA-E2-A572-01A-13D-A31U-09	1	1	6	10	5	5	0	0	0
TCGA-E2-A573-01A-11D-A29N-09	1	7	22	10	13	3	5	5	11
TCGA-E2-A574-01A-11D-A29N-09	31	37	5	20	1	44	10	8	0
TCGA-E2-A576-01A-11D-A31U-09	0	1	5	25	0	21	5	8	4
TCGA-E2-A9RU-01A-11D-A41F-09	14	8	2	31	13	22	13	5	0
TCGA-E9-A1N3-01A-12D-A159-09	0	3	5	3	6	5	2	3	7
TCGA-E9-A1N4-01A-11D-A14K-09	7	7	6	6	2	1	6	0	2
TCGA-E9-A1N5-01A-11D-A14G-09	12	3	12	0	14	0	2	5	0
TCGA-E9-A1N8-01A-11D-A142-09	3	3	14	0	8	0	6	0	2
TCGA-E9-A1N9-01A-11D-A14G-09	6	0	28	14	7	9	3	0	3
TCGA-E9-A1NA-01A-11D-A142-09	7	15	22	12	2	24	7	7	27
TCGA-E9-A1NC-01A-12W-A16L-09	11	6	98	0	55	30	0	12	21
TCGA-E9-A1ND-01A-11D-A142-09	10	12	34	19	22	0	0	6	12
TCGA-E9-A1NE-01A-21D-A14K-09	4	2	30	4	5	0	3	7	4
TCGA-E9-A1NF-01A-11D-A14G-09	19	1	14	8	0	0	5	8	5
TCGA-E9-A1NG-01A-21D-A14K-09	1	0	5	3	0	0	1	7	6
TCGA-E9-A1NH-01A-11D-A14G-09	1	1	9	8	3	6	1	4	0
TCGA-E9-A1NI-01A-11W-A16H-09	2	0	76	3	28	28	0	8	18
TCGA-E9-A1QZ-01A-21D-A167-09	0	0	0	7	1	0	0	1	14
TCGA-E9-A1R0-01A-22D-A16D-09	7	5	0	12	0	6	3	6	2
TCGA-E9-A1R2-01A-11D-A14G-09	2	13	15	4	9	0	2	4	12
TCGA-E9-A1R3-01A-31D-A14K-09	4	0	4	3	4	0	2	3	7
TCGA-E9-A1R4-01A-21D-A14G-09	42	32	0	8	5	31	6	8	19
TCGA-E9-A1R5-01A-11D-A14K-09	3	1	8	15	0	7	4	3	7
TCGA-E9-A1R6-01A-11D-A14G-09	1	1	5	11	1	0	9	3	8
TCGA-E9-A1R7-01A-11D-A14K-09	9	2	8	8	6	6	0	12	8
TCGA-E9-A1RA-01A-11D-A14G-09	5	0	5	6	0	7	0	3	2
TCGA-E9-A1RB-01A-11D-A17G-09	0	0	1	7	14	0	1	7	9
TCGA-E9-A1RC-01A-11D-A159-09	1	1	9	18	6	2	4	3	10
TCGA-E9-A1RD-01A-11D-A159-09	6	1	3	4	3	0	0	3	4
TCGA-E9-A1RE-01A-11D-A159-09	3	1	10	20	13	0	4	9	4
TCGA-E9-A1RF-01A-11D-A159-09	6	17	67	23	6	4	7	16	26
TCGA-E9-A1RG-01A-11D-A14G-09	3	3	14	6	6	9	1	0	0
TCGA-E9-A1RH-01A-21D-A167-09	8	12	23	21	11	0	9	18	13
TCGA-E9-A1RI-01A-11D-A167-09	4	0	4	4	5	0	1	3	3
TCGA-E9-A226-01A-21D-A159-09	9	20	0	8	0	26	9	0	0
TCGA-E9-A227-01A-11D-A159-09	1	2	3	1	0	5	1	3	2
TCGA-E9-A228-01A-31D-A159-09	10	4	0	18	2	11	0	2	6
TCGA-E9-A229-01A-31D-A17G-09	2	4	0	12	4	2	2	4	2
TCGA-E9-A22A-01A-11D-A159-09	7	5	19	5	0	0	0	0	1
TCGA-E9-A22B-01A-11D-A159-09	9	4	16	21	0	17	2	6	0
TCGA-E9-A22D-01A-11D-A159-09	1	2	1	14	4	0	9	1	0
TCGA-E9-A22E-01A-11D-A159-09	11	25	42	8	8	31	1	4	21
TCGA-E9-A22G-01A-11D-A159-09	1	9	43	0	26	7	3	7	22
TCGA-E9-A22H-01A-11D-A159-09	2	0	8	11	0	0	1	4	1
TCGA-E9-A243-01A-21D-A167-09	5	11	18	2	16	22	1	5	7
TCGA-E9-A244-01A-11D-A167-09	3	6	46	22	12	0	0	13	21
TCGA-E9-A245-01A-22D-A16D-09	1	0	8	0	0	15	1	4	6
TCGA-E9-A247-01A-11D-A167-09	0	6	7	18	19	0	3	2	5
TCGA-E9-A248-01A-11D-A167-09	4	1	0	12	7	0	0	0	1
TCGA-E9-A249-01A-11D-A167-09	1	0	0	8	7	0	2	0	9
TCGA-E9-A24A-01A-11D-A167-09	0	0	9	6	0	3	5	1	1
TCGA-E9-A295-01A-11D-A16D-09	3	3	0	31	0	22	9	3	30
TCGA-E9-A2JS-01A-11D-A17W-09	4	1	3	36	0	0	10	7	25
TCGA-E9-A2JT-01A-22D-A18P-09	12	6	2	0	1	0	2	0	1
TCGA-E9-A3HO-01A-11D-A20S-09	3	8	24	3	7	4	0	13	11
TCGA-E9-A3QA-01A-61D-A228-09	13	18	13	2	3	0	0	9	20
TCGA-E9-A3X8-01A-31D-A22X-09	2	7	4	9	0	5	0	7	7
TCGA-E9-A54Y-01A-11D-A25Q-09	8	0	0	13	2	16	2	4	11
TCGA-E9-A5FK-01A-11D-A27P-09	2	2	6	7	1	1	3	8	4
TCGA-E9-A5FL-01A-11D-A27P-09	7	20	39	8	16	0	9	17	23
TCGA-E9-A5UO-01A-11D-A28B-09	2	0	2	13	3	0	0	9	8
TCGA-E9-A6HE-01A-11D-A31U-09	1	0	0	11	3	2	2	5	0
TCGA-EW-A1IW-01A-11D-A13L-09	47	25	12	19	1	0	0	11	4
TCGA-EW-A1IX-01A-12D-A142-09	14	16	0	0	4	3	0	5	8
TCGA-EW-A1IY-01A-11D-A188-09	10	2	0	3	1	12	9	2	2
TCGA-EW-A1IZ-01A-11D-A188-09	11	0	0	137	192	0	27	52	17
TCGA-EW-A1J1-01A-11D-A188-09	0	0	6	6	1	0	4	0	8
TCGA-EW-A1J2-01A-21D-A13L-09	3	0	0	12	0	18	5	0	1
TCGA-EW-A1J3-01A-11D-A13L-09	1	0	0	4	1	21	0	3	0
TCGA-EW-A1J5-01A-11D-A13L-09	279	196	0	3	0	37	6	4	0
TCGA-EW-A1J6-01A-11D-A188-09	4	0	12	11	0	0	0	6	14
TCGA-EW-A1OV-01A-11D-A142-09	82	37	9	8	0	0	1	5	1
TCGA-EW-A1OX-01A-11D-A142-09	2	7	14	3	9	0	1	0	1
TCGA-EW-A1OY-01A-11D-A142-09	5	3	15	25	5	10	4	8	3
TCGA-EW-A1OZ-01A-11D-A142-09	8	5	8	25	3	9	1	4	12
TCGA-EW-A1P0-01A-11D-A142-09	0	1	6	1	3	5	0	5	5
TCGA-EW-A1P1-01A-31D-A14G-09	0	1	9	1	4	5	2	3	4
TCGA-EW-A1P3-01A-11D-A142-09	2	0	2	7	0	14	0	4	3
TCGA-EW-A1P4-01A-21D-A142-09	1	11	34	8	14	0	5	5	3
TCGA-EW-A1P5-01A-11D-A142-09	0	2	0	14	4	0	1	2	3
TCGA-EW-A1P6-01A-11D-A142-09	0	0	3	8	1	12	1	5	1
TCGA-EW-A1P7-01A-21D-A142-09	0	0	12	1	5	0	0	2	3
TCGA-EW-A1P8-01A-11D-A142-09	2	5	13	5	8	10	3	5	2
TCGA-EW-A1PA-01A-11D-A142-09	6	2	12	5	0	9	7	2	7
TCGA-EW-A1PB-01A-11D-A142-09	26	58	21	4	0	36	2	11	15
TCGA-EW-A1PD-01A-11D-A142-09	7	13	27	1	6	19	0	9	12
TCGA-EW-A1PE-01A-11D-A142-09	9	0	5	6	10	0	2	0	8
TCGA-EW-A1PG-01A-11D-A142-09	1	0	6	2	0	0	5	1	2
TCGA-EW-A1PH-01A-11D-A14K-09	2	4	11	16	4	14	6	1	2
TCGA-EW-A2FR-01A-11D-A21Q-09	6	8	4	13	0	17	1	4	1
TCGA-EW-A2FS-01A-11D-A17D-09	0	3	0	9	5	13	1	7	9
TCGA-EW-A2FV-01A-11D-A17D-09	2	0	2	9	4	0	5	7	10
TCGA-EW-A2FW-01A-11D-A17D-09	4	0	0	14	1	0	0	2	4
TCGA-EW-A423-01A-11D-A243-09	9	11	6	24	2	4	3	18	2
TCGA-EW-A6S9-01A-22D-A33E-09	0	1	3	8	1	7	3	4	1
TCGA-EW-A6SA-01A-21D-A32I-09	9	8	7	23	23	0	8	18	20
TCGA-EW-A6SB-01A-12D-A32I-09	5	4	18	21	7	12	4	5	5
TCGA-EW-A6SC-01A-12D-A32I-09	7	0	4	7	7	0	0	6	4
TCGA-EW-A6SD-01A-12D-A33E-09	21	18	0	11	15	0	1	0	8
TCGA-GI-A2C8-01A-11D-A16D-09	5	16	43	17	14	0	3	14	30
TCGA-GM-A2D9-01A-11D-A18P-09	293	175	0	8	0	127	2	1	0
TCGA-GM-A2DA-01A-11D-A18P-09	4	5	8	11	3	0	6	2	3
TCGA-GM-A2DB-01A-31D-A19Y-09	3	6	30	22	1	34	7	5	22
TCGA-GM-A2DC-01A-11D-A18P-09	0	0	4	17	0	4	0	1	1
TCGA-GM-A2DD-01A-11D-A17W-09	3	4	24	8	17	0	3	8	5
TCGA-GM-A2DF-01A-11D-A17W-09	4	6	14	14	0	1	2	11	0
TCGA-GM-A2DH-01A-11D-A17W-09	35	79	31	10	4	0	9	28	28
TCGA-GM-A2DI-01A-31D-A18P-09	36	23	0	6	0	1	8	3	0
TCGA-GM-A2DK-01A-21D-A17W-09	5	0	9	8	5	0	2	2	2
TCGA-GM-A2DL-01A-11D-A18P-09	7	2	0	7	0	22	5	1	10
TCGA-GM-A2DM-01A-11D-A17W-09	2	0	4	0	7	4	4	0	4
TCGA-GM-A2DN-01A-11D-A17W-09	2	0	2	4	3	6	0	0	6
TCGA-GM-A2DO-01A-11D-A19Y-09	93	81	0	0	2	27	12	11	0
TCGA-GM-A3NW-01A-21D-A228-09	28	19	0	16	0	31	1	3	0
TCGA-GM-A3XL-01A-11D-A22X-09	11	38	65	9	7	7	3	11	0
TCGA-GM-A4E0-01A-12D-A25Q-09	0	0	2	10	4	1	5	1	17
TCGA-GM-A5PV-01A-11D-A28B-09	10	1	16	5	3	0	3	1	4
TCGA-GM-A5PX-01A-12D-A28B-09	7	3	7	11	1	0	1	8	3
TCGA-HN-A2NL-01A-11D-A18P-09	0	7	27	12	7	7	3	8	23
TCGA-HN-A2OB-01A-21D-A27P-09	2	1	2	6	4	0	1	1	4
TCGA-JL-A3YX-01A-11D-A22X-09	15	5	0	10	7	3	0	3	5
TCGA-LD-A66U-01A-11D-A31U-09	2	0	2	10	9	0	1	9	5
TCGA-LD-A74U-01A-13D-A33E-09	173	88	0	21	0	62	1	6	0
TCGA-LD-A7W5-01A-22D-A351-09	9	5	5	19	8	0	5	7	1
TCGA-LD-A7W6-01A-81D-A351-09	4	0	3	10	1	26	0	5	0
TCGA-LD-A9QF-01A-32D-A41F-09	0	0	11	16	3	0	3	1	0
TCGA-LL-A440-01A-11D-A243-09	1	0	1	4	0	0	0	2	5
TCGA-LL-A50Y-01A-11D-A25Q-09	2	0	3	12	13	14	0	2	2
TCGA-LL-A5YL-01A-12D-A29N-09	25	7	1	18	0	14	11	11	6
TCGA-LL-A5YM-01A-11D-A28B-09	1	3	0	8	5	9	0	6	3
TCGA-LL-A5YN-01A-11D-A28B-09	1	0	0	7	4	9	2	8	8
TCGA-LL-A5YO-01A-21D-A28B-09	3	11	16	0	4	19	1	1	3
TCGA-LL-A5YP-01A-21D-A28B-09	7	4	19	1	11	16	4	16	24
TCGA-LL-A6FP-01A-11D-A31U-09	13	2	1	9	8	14	10	12	12
TCGA-LL-A6FQ-01A-11D-A31U-09	5	0	0	23	8	6	3	11	7
TCGA-LL-A6FR-01A-12D-A31U-09	1	4	15	9	9	0	5	4	0
TCGA-LL-A73Y-01A-11D-A33E-09	36	88	0	5	21	23	11	2	0
TCGA-LL-A73Z-01A-11D-A32I-09	2	0	14	10	4	8	0	14	8
TCGA-LL-A740-01A-21D-A32I-09	6	0	8	17	5	11	2	12	8
TCGA-LL-A7SZ-01A-32D-A351-09	7	1	10	16	16	0	6	1	4
TCGA-LL-A7T0-01A-31D-A351-09	6	5	2	21	15	0	8	3	14
TCGA-LL-A8F5-01A-11D-A36J-09	4	10	68	15	20	36	5	27	24
TCGA-LL-A9Q3-01A-11D-A41F-09	11	0	13	21	10	0	4	4	6
TCGA-OK-A5Q2-01A-11D-A27P-09	6	1	6	14	1	0	10	2	1
TCGA-OL-A5D6-01A-21D-A27P-09	6	0	12	14	0	13	4	5	2
TCGA-OL-A5D7-01A-11D-A27P-09	5	8	24	11	4	4	0	11	7
TCGA-OL-A5D8-01A-11D-A27P-09	4	2	9	9	6	0	0	3	2
TCGA-OL-A5DA-01A-11D-A27P-09	31	30	0	13	0	8	10	9	5
TCGA-OL-A5RU-01A-11D-A28B-09	0	0	0	15	3	16	0	6	2
TCGA-OL-A5RV-01A-12D-A28B-09	0	0	6	8	1	0	0	3	2
TCGA-OL-A5RW-01A-11D-A28B-09	39	79	35	0	26	45	1	15	13
TCGA-OL-A5RX-01A-11D-A28B-09	1	2	2	12	12	0	0	2	3
TCGA-OL-A5RY-01A-21D-A28B-09	1	2	2	5	3	0	2	2	0
TCGA-OL-A5RZ-01A-11D-A28B-09	15	7	19	35	9	0	12	5	34
TCGA-OL-A5S0-01A-11D-A28B-09	4	2	8	17	5	0	2	8	0
TCGA-OL-A66H-01A-11D-A29N-09	0	0	3	5	4	6	0	3	5
TCGA-OL-A66I-01A-21D-A29N-09	3	2	11	10	0	15	2	4	4
TCGA-OL-A66J-01A-11D-A29N-09	8	0	0	19	6	27	0	6	3
TCGA-OL-A66K-01A-11D-A29N-09	2	1	4	16	9	6	0	6	3
TCGA-OL-A66L-01A-12D-A31U-09	49	22	1	9	6	0	4	1	0
TCGA-OL-A66N-01A-12D-A31U-09	4	0	9	23	2	7	2	5	3
TCGA-OL-A66O-01A-11D-A31U-09	0	1	3	12	3	0	0	4	7
TCGA-OL-A66P-01A-11D-A31U-09	4	0	30	9	17	21	7	6	15
TCGA-OL-A6VO-01A-12D-A33E-09	1	1	8	13	2	6	0	2	0
TCGA-OL-A6VQ-01A-12D-A41F-09	27	9	0	9	0	3	4	3	40
TCGA-OL-A6VR-01A-32D-A33E-09	1	0	0	5	5	0	2	0	0
TCGA-OL-A97C-01A-32D-A41F-09	0	0	12	12	12	20	1	8	6
TCGA-PE-A5DC-01A-12D-A27P-09	7	8	35	17	13	30	1	12	24
TCGA-PE-A5DD-01A-12D-A27P-09	24	9	0	14	2	17	3	3	8
TCGA-PE-A5DE-01A-11D-A27P-09	331	159	0	3	0	127	51	11	0
TCGA-PL-A8LV-01A-21D-A41F-09	14	22	33	3	14	44	6	5	7
TCGA-PL-A8LX-01A-11D-A41F-09	1	0	11	12	18	0	0	4	0
TCGA-PL-A8LY-01A-11D-A41F-09	0	0	1	2	1	1	0	0	3
TCGA-PL-A8LZ-01A-31D-A36J-09	14	0	11	7	8	25	7	17	43
TCGA-S3-A6ZF-01A-32D-A32I-09	4	2	10	25	0	0	0	5	2
TCGA-S3-A6ZG-01A-22D-A32I-09	4	0	16	15	5	0	7	8	0
TCGA-S3-A6ZH-01A-22D-A32I-09	3	0	10	13	6	0	5	3	2
TCGA-S3-AA0Z-01A-11D-A41F-09	13	9	9	18	7	0	0	10	13
TCGA-S3-AA10-01A-21D-A41F-09	9	14	46	8	11	11	0	17	65
TCGA-S3-AA11-01A-31D-A41F-09	1	0	11	2	10	19	7	11	31
TCGA-S3-AA12-01A-11D-A41F-09	4	1	11	17	0	5	2	7	11
