Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
TCGA-A8-A06Y-01A-21W-A019-09	4	4	6	9	0	0	4	1	15
TCGA-A8-A06Z-01A-11W-A019-09	1	1	38	8	3	12	1	14	21
TCGA-A8-A075-01A-11D-A099-09	12	6	15	8	0	35	0	8	6
TCGA-A8-A076-01A-21W-A019-09	8	2	10	28	0	30	8	2	10
TCGA-A8-A079-01A-21W-A019-09	3	7	20	24	0	9	5	21	21
TCGA-A8-A07B-01A-11W-A019-09	13	15	6	7	10	19	0	10	6
TCGA-A8-A07F-01A-11W-A019-09	2	1	6	14	0	8	0	4	5
TCGA-A8-A07G-01A-11W-A050-09	8	1	18	10	17	5	2	18	17
TCGA-A8-A07I-01A-11W-A019-09	0	5	13	19	3	0	5	5	16
TCGA-A8-A07J-01A-11W-A019-09	7	4	16	0	4	46	4	5	8
TCGA-A8-A07L-01A-11W-A019-09	2	6	35	4	21	12	3	20	22
TCGA-A8-A07O-01A-11W-A019-09	17	1	22	17	0	0	5	3	2
TCGA-A8-A07P-01A-11W-A019-09	8	0	18	21	15	0	4	8	8
TCGA-A8-A07U-01A-11W-A050-09	4	18	11	15	0	36	4	14	20
TCGA-A8-A07W-01A-11W-A019-09	5	13	38	31	44	20	3	13	3
TCGA-A8-A07Z-01A-11W-A019-09	0	0	3	6	9	8	0	2	0
TCGA-A8-A081-01A-11W-A019-09	10	20	5	28	11	68	4	0	0
TCGA-A8-A082-01A-11W-A019-09	2	3	4	11	5	2	0	2	0
TCGA-A8-A083-01A-21W-A019-09	2	0	11	0	7	13	2	0	0
TCGA-A8-A085-01A-11W-A019-09	3	21	34	0	3	0	3	22	14
TCGA-A8-A08B-01A-11W-A019-09	16	2	10	8	0	9	8	15	2
TCGA-A8-A08C-01A-11W-A019-09	2	0	5	0	0	0	0	2	0
TCGA-A8-A08F-01A-11W-A019-09	1	6	43	1	40	24	0	13	20
TCGA-A8-A08G-01A-11W-A019-09	2	3	0	13	14	15	5	1	5
TCGA-A8-A08H-01A-21W-A019-09	99	0	78	0	10	16	0	30	10
TCGA-A8-A08J-01A-11W-A019-09	3	1	1	7	0	28	3	0	2
TCGA-A8-A08L-01A-11W-A019-09	40	79	51	4	8	47	1	20	35
TCGA-A8-A08O-01A-21W-A071-09	1	3	10	5	3	2	5	5	1
TCGA-A8-A08P-01A-11W-A019-09	8	12	27	15	16	1	6	6	1
TCGA-A8-A08R-01A-11W-A050-09	6	54	95	12	27	50	5	27	29
TCGA-A8-A08S-01A-11W-A050-09	5	0	16	24	12	0	4	6	4
TCGA-A8-A08T-01A-21W-A019-09	4	4	13	10	4	0	12	15	12
TCGA-A8-A08X-01A-21W-A019-09	0	3	5	11	18	5	0	8	3
TCGA-A8-A08Z-01A-21W-A019-09	7	0	10	17	8	0	0	4	1
TCGA-A8-A090-01A-11W-A019-09	4	2	1	10	0	19	3	3	7
TCGA-A8-A091-01A-11W-A019-09	8	1	1	11	5	0	0	0	7
TCGA-A8-A092-01A-11W-A019-09	38	17	7	9	9	0	10	6	4
TCGA-A8-A093-01A-11W-A019-09	67	18	17	18	0	0	23	5	1
TCGA-A8-A094-01A-11W-A019-09	80	74	27	7	20	11	7	5	0
TCGA-A8-A095-01A-11W-A019-09	93	70	7	6	7	0	15	0	20
TCGA-A8-A096-01A-11W-A019-09	0	0	15	13	11	7	0	0	0
TCGA-A8-A097-01A-11W-A050-09	3	22	37	5	8	8	5	20	29
TCGA-A8-A099-01A-11W-A019-09	0	3	0	9	2	13	0	5	12
TCGA-A8-A09A-01A-11W-A019-09	20	11	56	6	26	64	0	39	54
TCGA-A8-A09B-01A-11W-A019-09	4	2	17	11	0	0	3	13	6
TCGA-A8-A09C-01A-11W-A019-09	0	0	29	6	5	8	0	12	0
TCGA-A8-A09D-01A-11W-A019-09	9	0	15	3	19	12	0	13	1
TCGA-A8-A09E-01A-11W-A019-09	1	0	29	7	3	30	0	24	6
TCGA-A8-A09G-01A-21W-A019-09	126	162	0	1	7	24	9	3	4
TCGA-A8-A09I-01A-22W-A050-09	31	35	0	34	5	56	5	8	0
TCGA-A8-A09K-01A-11W-A019-09	5	0	6	8	5	22	1	8	0
TCGA-A8-A09M-01A-11W-A019-09	1	8	64	11	11	28	10	21	28
TCGA-A8-A09N-01A-11W-A019-09	24	28	46	16	20	20	5	0	0
TCGA-A8-A09Q-01A-11W-A019-09	4	7	59	47	10	41	13	8	9
TCGA-A8-A09T-01A-11W-A019-09	4	0	6	5	6	0	0	3	7
TCGA-A8-A09V-01A-11D-A045-09	0	4	5	10	0	9	0	3	3
TCGA-A8-A09W-01A-11W-A019-09	2	6	36	14	22	8	0	8	10
TCGA-A8-A09X-01A-11W-A019-09	16	5	11	19	1	6	5	6	12
TCGA-A8-A09Z-01A-11W-A019-09	8	0	0	235	898	0	25	223	57
TCGA-A8-A0A1-01A-11W-A019-09	4	0	20	23	6	0	1	13	4
TCGA-A8-A0A2-01A-11W-A050-09	1	0	2	14	7	15	1	5	10
TCGA-A8-A0A4-01A-11W-A019-09	2	1	25	12	9	21	0	0	12
TCGA-A8-A0A6-01A-12W-A071-09	7	1	12	8	5	0	6	11	0
TCGA-A8-A0A7-01A-11W-A019-09	165	58	15	3	15	0	10	17	10
TCGA-A8-A0A9-01A-11W-A019-09	8	13	10	28	2	0	5	8	2
TCGA-A8-A0AB-01A-11W-A050-09	0	2	15	14	0	3	0	7	3
TCGA-A8-A0AD-01A-11W-A071-09	4	1	11	8	3	0	0	8	3
TCGA-AC-A23C-01A-12D-A167-09	28	19	14	3	23	36	4	1	5
TCGA-AC-A23E-01A-11D-A159-09	0	0	5	10	0	0	3	4	2
TCGA-AC-A23H-01A-11D-A159-09	2717	3044	0	0	4	198	74	0	59
TCGA-AC-A2B8-01A-11D-A17D-09	50	34	0	7	0	27	0	5	0
TCGA-AC-A2BK-01A-11D-A21Q-09	0	6	36	21	21	0	3	7	18
TCGA-AC-A2BM-01A-11D-A21Q-09	0	3	0	0	7	0	2	5	3
TCGA-AC-A2FB-01A-11D-A17D-09	4	0	4	2	0	0	0	2	2
TCGA-AC-A2FF-01A-11D-A17D-09	1	1	1	0	2	5	0	0	3
TCGA-AC-A2FG-01A-11D-A17D-09	6	1	8	9	2	8	2	4	0
TCGA-AC-A2FO-01A-11D-A17W-09	10	4	0	0	0	13	2	1	0
TCGA-AC-A2QH-01A-11D-A18P-09	6	2	5	13	7	0	0	0	5
TCGA-AC-A3HN-01A-11D-A20S-09	4	1	2	7	7	0	0	2	6
TCGA-AC-A3OD-01A-11D-A21Q-09	6	0	1	13	5	0	5	7	0
TCGA-AC-A3QP-01A-11D-A22X-09	0	1	10	5	4	0	6	4	7
TCGA-AC-A3QQ-01A-11D-A228-09	0	1	5	13	3	6	1	9	0
TCGA-AC-A3W5-01A-11D-A228-09	28	49	72	13	7	0	10	27	20
TCGA-AC-A3YI-01A-21D-A23C-09	0	0	3	2	2	2	4	2	4
TCGA-AC-A3YJ-01A-11D-A22X-09	2	0	0	11	2	13	0	9	0
TCGA-AC-A4ZE-01A-11D-A41F-09	8	2	6	15	19	0	2	5	18
TCGA-AC-A5EH-01A-11D-A28B-09	16	14	71	16	22	5	9	25	36
TCGA-AC-A5EI-01A-11D-A27P-09	11	0	12	11	1	4	2	2	0
TCGA-AC-A5XS-01A-11D-A29N-09	256	239	0	0	0	215	26	0	0
TCGA-AC-A5XU-01A-11D-A28B-09	10	4	0	38	5	38	0	5	8
TCGA-AC-A62V-01A-11D-A31U-09	4	4	16	33	17	4	8	13	5
TCGA-AC-A62X-01A-11D-A29N-09	0	3	0	39	4	25	4	4	6
TCGA-AC-A62Y-01A-11D-A29N-09	17	15	19	15	10	0	2	8	4
TCGA-AC-A6IV-01A-12D-A33E-09	0	0	4	6	0	0	5	9	2
TCGA-AC-A6IW-01A-12D-A33E-09	25	59	17	23	8	59	2	22	3
TCGA-AC-A6IX-01A-12D-A32I-09	15	9	4	12	10	2	0	10	0
TCGA-AC-A6NO-01A-12D-A33E-09	2	0	0	10	10	13	1	6	2
TCGA-AC-A7VB-01A-11D-A351-09	0	0	0	15	10	0	0	8	3
TCGA-AC-A7VC-01A-11D-A351-09	0	2	4	5	6	0	4	7	2
TCGA-AC-A8OP-01A-11D-A36J-09	13	12	34	45	34	26	21	19	40
TCGA-AC-A8OQ-01A-11D-A41F-09	22	4	26	28	14	1	10	14	20
TCGA-AC-A8OR-01A-21D-A41F-09	1	0	0	8	6	0	0	5	30
TCGA-AC-A8OS-01A-12D-A41F-09	15	5	15	14	5	0	0	7	13
TCGA-AN-A03X-01A-21W-A019-09	0	0	43	8	10	12	3	8	7
TCGA-AN-A03Y-01A-21W-A019-09	9	0	11	16	6	0	3	5	5
TCGA-AN-A041-01A-11W-A050-09	8	0	11	9	12	0	4	7	5
TCGA-AN-A046-01A-21W-A050-09	0	0	0	0	209	771	6185	0	0
TCGA-AN-A049-01A-21W-A019-09	3	0	10	9	3	9	4	2	2
TCGA-AN-A04A-01A-21W-A050-09	2	0	0	17	3	2	1	22	9
TCGA-AN-A04C-01A-21W-A050-09	6	4	9	25	12	21	3	13	18
TCGA-AN-A04D-01A-21W-A050-09	1	9	57	5	15	0	4	17	8
TCGA-AN-A0AJ-01A-11W-A019-09	6	19	18	21	7	4	15	7	10
TCGA-AN-A0AK-01A-21W-A019-09	5	9	0	283	814	0	58	256	38
TCGA-AN-A0AL-01A-11W-A019-09	0	11	24	4	6	0	4	18	25
TCGA-AN-A0AM-01A-11W-A050-09	8	10	22	22	3	1	1	22	27
TCGA-AN-A0AR-01A-11W-A019-09	2	17	53	11	9	16	4	15	26
TCGA-AN-A0AS-01A-11W-A019-09	7	1	15	15	6	0	3	0	7
TCGA-AN-A0AT-01A-11D-A045-09	5	14	46	3	27	2	3	20	19
TCGA-AN-A0FD-01A-11W-A050-09	2	1	14	7	3	0	0	5	7
TCGA-AN-A0FF-01A-11W-A050-09	0	0	0	7	10	4	0	7	0
TCGA-AN-A0FJ-01A-11W-A019-09	23	21	36	15	14	2	0	10	12
TCGA-AN-A0FK-01A-11W-A050-09	4	0	7	19	10	0	5	16	5
TCGA-AN-A0FL-01A-11W-A050-09	7	27	48	27	13	40	1	18	30
TCGA-AN-A0FN-01A-11W-A050-09	7	3	20	1	14	0	4	21	19
TCGA-AN-A0FS-01A-11W-A050-09	19	13	6	15	1	9	5	20	18
TCGA-AN-A0FT-01A-11W-A050-09	17	13	0	30	13	45	3	14	0
TCGA-AN-A0FV-01A-11W-A019-09	26	19	17	8	17	5	0	16	10
TCGA-AN-A0FW-01A-11W-A050-09	8	11	40	13	5	3	9	25	26
TCGA-AN-A0FX-01A-11W-A050-09	9	8	77	12	23	0	11	18	25
TCGA-AN-A0FY-01A-11W-A050-09	5	0	16	28	4	1	2	8	1
TCGA-AN-A0FZ-01A-11W-A050-09	8	0	1	31	8	13	5	11	11
TCGA-AN-A0G0-01A-11W-A050-09	1	1	7	15	0	12	0	3	6
TCGA-AN-A0XN-01A-21D-A10G-09	2	12	49	11	29	19	6	15	33
TCGA-AN-A0XO-01A-11D-A10G-09	7	0	11	4	7	0	8	2	0
TCGA-AN-A0XP-01A-11D-A117-09	5	4	5	1	11	0	2	5	2
TCGA-AN-A0XR-01A-11D-A10G-09	5	2	8	8	0	0	0	7	5
TCGA-AN-A0XS-01A-22D-A10G-09	8	0	1	6	3	0	3	3	8
TCGA-AN-A0XT-01A-11D-A10G-09	0	1	0	9	0	0	0	8	3
TCGA-AN-A0XU-01A-11D-A10G-09	5	21	53	11	5	0	11	15	16
TCGA-AN-A0XV-01A-11D-A10G-09	0	3	2	11	12	5	3	1	4
TCGA-AN-A0XW-01A-11D-A10G-09	159	207	0	2	0	44	0	0	0
TCGA-AO-A03L-01A-41W-A071-09	1	5	6	7	0	7	1	8	6
TCGA-AO-A03O-01A-11W-A019-09	0	11	37	34	11	7	0	4	2
TCGA-AO-A03P-01A-11W-A019-09	7	0	21	14	5	0	6	11	6
TCGA-AO-A03R-01A-21W-A050-09	3	1	6	10	0	10	2	25	11
TCGA-AO-A03T-01A-21W-A050-09	7	16	28	9	0	17	2	24	29
TCGA-AO-A03V-01A-11D-A10Y-09	7	6	0	7	1	34	3	4	7
TCGA-AO-A0J2-01A-11W-A050-09	1	8	35	5	23	2	2	3	9
TCGA-AO-A0J3-01A-11W-A050-09	16	7	3	21	5	0	12	19	19
TCGA-AO-A0J4-01A-11W-A050-09	6	45	46	13	13	17	0	12	11
TCGA-AO-A0J5-01A-11W-A050-09	7	0	18	15	14	0	4	17	18
TCGA-AO-A0J6-01A-11W-A050-09	6	17	63	8	3	3	4	11	16
TCGA-AO-A0J7-01A-11W-A050-09	6	0	0	4	0	13	1	4	0
TCGA-AO-A0J8-01A-21D-A045-09	1	1	10	5	0	0	4	9	0
TCGA-AO-A0J9-01A-11W-A050-09	81	40	7	11	14	0	8	19	18
TCGA-AO-A0JA-01A-11W-A071-09	16	1	4	5	0	4	0	2	9
TCGA-AO-A0JB-01A-11W-A071-09	11	6	30	5	18	3	3	35	45
TCGA-AO-A0JC-01A-11W-A071-09	81	60	0	0	1	38	7	0	0
TCGA-AO-A0JD-01A-11W-A071-09	0	6	41	22	0	36	6	17	25
TCGA-AO-A0JE-01A-11W-A071-09	15	17	1	6	4	0	9	2	6
TCGA-AO-A0JF-01A-11W-A071-09	2	0	12	2	2	11	1	9	0
TCGA-AO-A0JG-01A-31D-A099-09	0	0	1	0	6	7	2	0	2
TCGA-AO-A0JI-01A-21W-A100-09	0	0	12	4	3	5	3	3	2
TCGA-AO-A0JJ-01A-11W-A071-09	1	0	10	4	1	9	3	6	4
TCGA-AO-A0JM-01A-21W-A071-09	4	6	13	18	4	0	9	5	3
TCGA-AO-A124-01A-11D-A10M-09	2	4	65	11	14	22	11	17	25
TCGA-AO-A128-01A-11D-A10M-09	19	19	0	370	775	0	19	29	45
TCGA-AO-A12A-01A-21D-A10Y-09	2	0	0	9	1	1	0	2	2
