	Hugo_Symbol
489	AHSA1
490	AIMP2
491	AKAP17A
492	AKR1C4
493	ALAS1
494	ALG5
495	ALOXE3
496	AMBN
497	AMPD1
498	AMTN
499	ANGPTL3
500	ANKRD40
501	ANO8
502	AP3B1
503	AP4B1
504	APEH
505	APMAP
506	APOC1
507	ARFRP1
508	ARHGAP20
509	ARMC7
510	ARRDC5
511	ASB16
512	ASGR1
513	ASNA1
514	ATP10A
515	ATP2A1
516	ATP5SL
517	ATP6AP1
518	AURKC
519	AUTS2
520	BAG6
521	BARHL1
522	BATF3
523	BCDIN3D
524	BCL10
525	BHLHE40
526	BIRC5
527	BLNK
528	BMP5
529	BNIP1
530	BRF2
531	BTNL2
532	BUD13
533	C10orf88
534	C11orf88
535	C14orf105
536	C16orf78
537	C18orf8
538	C1QTNF2
539	C21orf58
540	C4BPB
541	C4orf17
542	C7orf60
543	C9orf131
544	CAAP1
545	CACNA1B
546	CACNA1G
547	CACTIN
548	CARD10
549	CASC4
550	CASQ2
551	CCDC17
552	CCDC64B
553	CCDC74A
554	CCDC86
555	CCL22
556	CCNL1
557	CCT2
558	CD19
559	CD1A
560	CD1C
561	CD2
562	CD40LG
563	CDC7
564	CDH16
565	CDK7
566	CDT1
567	CENPH
568	CGRRF1
569	CHAD
570	CHCHD7
571	CHI3L1
572	CHPF
573	CHSY3
574	CIR1
575	CLDN1
576	CLEC5A
577	COG2
578	COG4
579	COL1A1
580	COL4A2
581	COL9A1
582	COPS3
583	COPS8
584	COQ9
585	CPA2
586	CPA4
587	CPXM1
588	CRABP1
589	CREB3L3
590	CRYGB
591	CST7
592	CTSA
593	CTSF
594	CUL9
595	CYP17A1
596	CYP27B1
597	CYP2A7
598	CYP2R1
599	CYP2S1
600	CYP4A11
601	CYP4F12
602	CYP4F2
603	CYP4F8
604	CYP4Z1
605	CYP7A1
606	DBI
607	DCAF13
608	DCLRE1B
609	DCTPP1
610	DDX10
611	DDX27
612	DDX4
613	DDX43
614	DDX5
615	DENND1C
616	DENR
617	DHDH
618	DHX40
619	DIS3L
620	DLEC1
621	DLX4
622	DNAAF3
623	DNAH17
624	DNAJC11
625	DNASE2
626	DPEP3
627	DPPA4
628	DSG3
629	DSG4
630	DSP
631	DTNBP1
632	DUS1L
633	DUSP10
634	DUT
635	DYNC2H1
636	E2F7
637	EAPP
638	EDN2
639	EEF1A2
640	EEFSEC
641	EFEMP1
642	EFHD2
643	EIF3K
644	EIF4G2
645	ELP5
646	ENAM
647	ENO2
648	ENPP5
649	ENTPD2
650	ERAL1
651	ERCC3
652	ERMN
653	ERN2
654	ESRP2
655	EXOSC1
656	EXOSC10
657	F9
658	FABP9
659	FAM134A
660	FAM13C
661	FAM161B
662	FAM46B
663	FAM71B
664	FAM78A
665	FAM83D
666	FAM9C
667	FANCA
668	FAP
669	FASN
670	FASTKD1
671	FBN1
672	FBP1
673	FBXL22
674	FBXL7
675	FBXO33
676	FCGR1A
677	FCRL4
678	FEZF2
679	FGF23
680	FH
681	FHOD1
682	FKBP9
683	FSHR
684	FSTL3
685	G6PC2
686	GALNT12
687	GALNT7
688	GAS2L2
689	GATA5
690	GBP1
691	GBP3
692	GCKR
693	GDF2
694	GDF3
695	GDF9
696	GEMIN5
697	GGH
698	GHDC
699	GIF
700	GIMAP6
701	GOLPH3L
702	GP2
703	GPN3
704	GPR50
705	GPRC6A
706	GPX5
707	GRASP
708	GRID1
709	GRM2
710	GRTP1
711	GSG1
712	GUF1
713	HAL
714	HAUS1
715	HCLS1
716	HEATR3
717	HECTD1
718	HEXDC
719	HGFAC
720	HHIPL2
721	HMG20B
722	HNRNPAB
723	HOXC13
724	HPS3
725	HPSE2
726	HPX
727	HRASLS5
728	HRH4
729	HSCB
730	HSD3B1
731	HSP90AA1
732	HSPA14
733	HSPBAP1
734	HTATSF1
735	HTR3C
736	HTR6
737	IARS2
738	IDH3B
739	IGDCC3
740	IGFBP1
741	IL21
742	IL6
743	IMP4
744	INSC
745	INTS3
746	IRF3
747	IRX1
748	KARS
749	KBTBD4
750	KCNIP4
751	KCNJ9
752	KCNK1
753	KCNK13
754	KCNK15
755	KCNK5
756	KCNN4
757	KDELC1
758	KDM2B
759	KIAA1524
760	KIF17
761	KL
762	KLF4
763	KLHL30
764	KLRF1
765	KRT28
766	KRT31
767	KRT37
768	KRT6C
769	KRT82
770	L3MBTL2
771	LACTB
772	LAMB2
773	LAMTOR5
774	LAX1
775	LCT
776	LDHC
777	LHX1
778	LILRB2
779	LIPF
780	LMF2
781	LMOD1
782	LMOD2
783	LRP12
784	LRRC46
785	LSS
786	LUM
787	LYSMD1
788	MAGI2
789	MAGIX
790	MAML2
791	MAP6
792	MAPK8IP3
793	MARCKS
794	MARCO
795	MASP2
796	MASTL
797	MB21D2
798	MBIP
799	MCRS1
800	MDC1
801	MED8
802	MED9
803	MEFV
804	MEN1
805	MEOX1
806	MEOX2
807	METTL17
808	METTL3
809	MEX3D
810	MFN1
811	MGAT5B
812	MICU2
813	MINPP1
814	MLH1
815	MMP27
816	MOGAT2
817	MOGS
818	MROH2B
819	MROH6
820	MRPL16
821	MRPL47
822	MSLN
823	MTMR11
824	MUC21
825	MUC4
826	MUM1
827	MXRA5
828	MYH4
829	MYO1G
830	MYOC
831	MYOZ2
832	MZF1
833	NAGA
834	NAGLU
835	NAGPA
836	NASP
837	NCR2
838	NDUFA8
839	NDUFAF2
840	NFRKB
841	NIP7
842	NLRP6
843	NOL4
844	NOL8
845	NOP56
846	NOS3
847	NOV
848	NPFFR2
849	NPS
850	NR1I3
851	NR2F1
852	NRD1
853	NRG3
854	NSUN2
855	NT5C3B
856	NTSR1
857	NTSR2
858	NUDCD1
859	NUDT19
860	NUDT9
861	NUP133
862	NUP85
863	OASL
864	ODF3L1
865	OLFM3
866	OSBPL7
867	P3H1
868	P4HB
869	PA2G4
870	PADI4
871	PAF1
872	PAGE1
873	PAIP1
874	PANX3
875	PARP14
876	PARP3
877	PAXBP1
878	PBDC1
879	PCSK4
880	PDCD7
881	PDX1
882	PDZRN4
883	PER3
884	PEX3
885	PFKM
886	PGBD1
887	PHF1
888	PHKA1
889	PIBF1
890	PIFO
891	PIGG
892	PIH1D1
893	PIM2
894	PLA2G1B
895	PLD2
896	PLEKHG4
897	PLEKHG6
898	PLIN4
899	PLXND1
900	PMM1
901	PNLIP
902	PNPLA6
903	POGLUT1
904	POLR1E
905	PPP1R1B
906	PPP3CA
907	PPP4R2
908	PRAMEF14
909	PRAMEF15
910	PRAMEF20
911	PRAMEF4
912	PRKAB1
913	PROC
914	PROKR2
915	PROM2
916	PRPF31
917	PRPS1
918	PRSS36
919	PSG1
920	PSMC4
921	PSMD8
922	PTGIR
923	PTGS2
924	PTPRZ1
925	PTRF
926	PWP1
927	RAB20
928	RAB29
929	RANBP2
930	RARS
931	RASL11B
932	RDH10
933	RDH16
934	REC8
935	RECQL5
936	REEP2
937	RELA
938	REM1
939	RETSAT
940	RFC2
941	RFX4
942	RFX5
943	RFX6
944	RGS1
945	RHO
946	RIC8A
947	RIPK4
948	RNF123
949	RNF40
950	RNLS
951	RNMTL1
952	ROBO3
953	RPL22L1
954	RPL23
955	RPL24
956	RPL26L1
957	RPL7
958	RPS7
959	RPSA
960	RSAD1
961	RTCA
962	RTP2
963	RXFP2
964	RXRG
965	SALL2
966	SALL4
967	SARS
968	SAYSD1
969	SBK2
970	SCN4A
971	SDHAF3
972	SERPINB9
973	SETDB1
974	SFR1
975	SFTPA2
976	SGOL1
977	SGPP1
978	SH3BP5L
979	SHCBP1L
980	SHF
981	SHMT2
982	SIRT1
983	SIX2
984	SLC12A4
985	SLC15A3
986	SLC17A8
987	SLC22A13
988	SLC24A5
989	SLC25A27
990	SLC25A31
991	SLC26A4
992	SLC2A4
993	SLC35B1
994	SLC35F3
995	SLC38A10
996	SLC6A8
997	SLC7A10
998	SLC9A4
999	SLFNL1
1000	SMAD7
1001	SMC2
1002	SMYD1
1003	SNAI1
1004	SNF8
1005	SNRPA
1006	SNX16
1007	SOD1
1008	SORCS3
1009	SOX9
1010	SPINT1
1011	SPO11
1012	SPOCK3
1013	SPRTN
1014	SPTA1
1015	SRM
1016	SRPR
1017	SRSF9
1018	SSX1
1019	ST13
1020	ST6GALNAC1
1021	STK10
1022	STRA8
1023	STRC
1024	STRN3
1025	SUGP1
1026	SUPV3L1
1027	SUSD2
1028	SUSD4
1029	SYCP1
1030	SYT4
1031	T
1032	TAF3
1033	TAGAP
1034	TAS1R2
1035	TAZ
1036	TBKBP1
1037	TBX2
1038	TBX6
1039	TCFL5
1040	TCP1
1041	TDP2
1042	TEPP
1043	TESK1
1044	TEX26
1045	TEX37
1046	TFAP2C
1047	TFB1M
1048	TG
1049	TGM5
1050	THAP10
1051	THEG
1052	TINAGL1
1053	TKTL1
1054	TLX1
1055	TMEM38B
1056	TMEM55A
1057	TNFAIP6
1058	TNFRSF10B
1059	TNFSF10
1060	TOX
1061	TP53I13
1062	TRA2A
1063	TRAPPC2L
1064	TREM2
1065	TRIM27
1066	TRIM31
1067	TRIM48
1068	TRIM62
1069	TRIM7
1070	TRMT13
1071	TRO
1072	TRPA1
1073	TRPM5
1074	TSKS
1075	TTC31
1076	TUBA3D
1077	TUBG2
1078	TWISTNB
1079	TXNDC15
1080	UBA3
1081	UBR2
1082	UHRF2
1083	UPF1
1084	UPF3A
1085	UPK3A
1086	UQCRC1
1087	UTP18
1088	UTP6
1089	VARS2
1090	VEGFC
1091	VEZT
1092	VPS13B
1093	VPS37B
1094	VPS9D1
1095	VSTM1
1096	WBSCR27
1097	WDR43
1098	WDR46
1099	WDR77
1100	WNT10B
1101	WT1
1102	XAB2
1103	XBP1
1104	XXYLT1
1105	YIPF2
1106	YY1AP1
1107	ZAN
1108	ZC3H3
1109	ZFP69
1110	ZMPSTE24
1111	ZMYND12
1112	ZNF140
1113	ZNF277
1114	ZNF296
1115	ZNF304
1116	ZNF319
1117	ZNF324B
1118	ZNF334
1119	ZNF408
1120	ZNF543
1121	ZNF692
1122	ZSCAN25
1123	ZYX
