	Hugo_Symbol
196	NAT9
197	NPC1L1
198	OTOP2
199	PAF1
200	PAGE3
201	PANX3
202	PHLPP1
203	PIM2
204	PIP4K2C
205	PLEKHH3
206	PLK2
207	PLK4
208	PNPO
209	PRAMEF1
210	PRAMEF11
211	PRAMEF4
212	PRMT5
213	PROC
214	PRODH2
215	PRR14
216	PRRT4
217	PSG2
218	PSG7
219	QARS
220	RABGGTA
221	RAD51C
222	RANBP6
223	RBM24
224	RIMS1
225	RNF207
226	ROBO4
227	RPTN
228	SAFB2
229	SCCPDH
230	SCYL1
231	SIGLEC7
232	SKIV2L
233	SLC10A6
234	SLC1A7
235	SLC2A6
236	SLC38A5
237	SLC39A6
238	SMARCD1
239	SNF8
240	SOX9
241	SPANXN2
242	SPATA31A6
243	SPOCD1
244	SPTA1
245	STX10
246	TARBP2
247	TAS1R2
248	TCTN2
249	THEM5
250	TINAG
251	TOR1A
252	TOR1AIP1
253	TROAP
254	TSPAN12
255	TTC21A
256	VIM
257	WBSCR27
258	WDR46
259	ZMYM3
260	ZMYND15
261	ZNF74
262	ESF1
263	LPCAT3
264	PHF12
265	SMARCAL1
266	SSX1
267	ZYX
268	A4GNT
269	AADAC
270	AADACL4
271	ABCB7
272	ABCC6
273	ABCC8
274	ABI3
275	ABTB2
276	ACOT4
277	ACR
278	ACRV1
279	ADCY3
280	ADGRD2
281	ADSS
282	AHSG
283	AK8
284	AKAP9
285	ALDH8A1
286	ALKBH2
287	ALOX12B
288	ALOX15B
289	AMHR2
290	AMPD1
291	AMY2A
292	ANKRD17
293	ANKRD20A2
294	AP3M2
295	APOL5
296	ARG2
297	ARMC6
298	ARMC7
299	ARSJ
300	ASZ1
301	ATG4D
302	ATP2A1
303	ATP4B
304	ATP5SL
305	ATXN7L3
306	AWAT1
307	B3GAT3
308	BATF3
309	BAX
310	BEST1
311	BEST2
312	BMP15
313	BTBD18
314	BTN1A1
315	BTNL2
316	C10orf99
317	C11orf30
318	C14orf80
319	C16orf93
320	C19orf54
321	C19orf57
322	C22orf23
323	C7orf31
324	C9orf131
325	CA14
326	CACNA1F
327	CAMSAP2
328	CASP1
329	CCAR2
330	CCDC105
331	CCDC108
332	CCDC137
333	CCDC67
334	CCDC74B
335	CCNA1
336	CCNA2
337	CCNE1
338	CCT8
339	CD1B
340	CD1E
341	CD200R1
342	CDC20
343	CDH16
344	CDH24
345	CDHR4
346	CFP
347	CHAC2
348	CHD1L
349	CHORDC1
350	CIB2
351	CLCA4
352	CLEC4F
353	CLIC6
354	CNPPD1
355	CNRIP1
356	CNTLN
357	COMP
358	COQ3
359	CORIN
360	CPNE6
361	CPXM1
362	CRACR2B
363	CREB3L3
364	CREB3L4
365	CRYBA1
366	CST1
367	CTU2
368	CXorf58
369	CYP17A1
370	CYP1A1
371	CYP27A1
372	CYP27B1
373	CYP2A7
374	CYP2D6
375	CYP4F12
376	CYP4Z1
377	DBX2
378	DCAF12
379	DCTN4
380	DDIT4L
381	DDX56
382	DGUOK
383	DHDH
384	DLX6
385	DMKN
386	DMRTC2
387	DNAJC28
388	DNASE2
389	DNASE2B
390	DOK2
391	DPM1
392	DPP4
393	DSN1
394	DTX1
395	DUS1L
396	DUSP10
397	DUSP26
398	DUSP27
399	DYNC1LI1
400	EDN3
401	EEF1A2
402	EHD3
403	EIF3K
404	EIF4A3
405	EOMES
406	ETAA1
407	FAM161A
408	FAM166A
409	FAM179B
410	FAM187B
411	FAM32A
412	FAM71B
413	FASLG
414	FCAR
415	FGA
416	FGF18
417	FHOD1
418	FOSB
419	FOXA2
420	FOXO4
421	FOXRED1
422	FSCN2
423	FSHR
424	FUCA1
425	GAL
426	GAS2L1
427	GAS2L2
428	GCSAM
429	GIP
430	GLB1L
431	GLRA2
432	GPATCH3
433	GPR142
434	GPR39
435	GPRASP1
436	GRIK1
437	GUCA1C
438	GYS1
439	GZF1
440	GZMA
441	HCFC1
442	HDAC6
443	HECTD3
444	HNRNPA1
445	HOXC13
446	HRH3
447	HRNR
448	HS3ST4
449	HSPA14
450	HSPA9
451	IDI1
452	IFIH1
453	IFNG
454	IGDCC3
455	IKBIP
456	IL22
457	IL22RA1
458	IL9R
459	ILF2
460	INSL5
461	IQCF1
462	ITM2A
463	KAT2A
464	KAT5
465	KCNK13
466	KCNK2
467	KIAA1407
468	KIR3DL3
469	KLF10
470	KLHL38
471	KLK12
472	KLK14
473	KMT2B
474	KRT14
475	KRT17
476	KRT20
477	KRT24
478	KRT31
479	KRT32
480	KRT5
481	KRT6A
482	KRT72
483	KRT73
484	KRT78
485	KRT83
486	LAMA4
487	LCN1
488	LDHA
489	LDHC
490	LGR5
491	LMX1A
492	LRIT1
493	LRIT2
494	LRRC45
495	LRRC52
496	LRRC66
497	LRWD1
498	LSM14B
499	LURAP1L
500	LY86
501	LYPLAL1
502	LYZL2
503	MAGEA11
504	MAGEC3
505	MAGI3
506	MAGIX
507	MAN1B1
508	MAP2K1
509	MAP3K6
510	MBD4
511	MBOAT4
512	MCAT
513	MCM4
514	MEOX2
515	METTL17
516	METTL7A
517	MIIP
518	MORC1
519	MPG
520	MPO
521	MRC1
522	MRGBP
523	MRPL15
524	MRPL47
525	MRPS21
526	MS4A8
527	MSLN
528	MSTO1
529	MTRF1
530	MXRA5
531	MYCT1
532	MYH1
533	MYH6
534	MYO1G
535	NANS
536	NAPA
537	NCR2
538	NCSTN
539	NDUFV1
540	NEFM
541	NFE2L1
542	NLRP12
543	NMS
544	NOP56
545	NOTO
546	NRD1
547	NRG3
548	NTHL1
549	NUDT1
550	NUP214
551	NVL
552	OLFML2B
553	OSCP1
554	OTOF
555	PARP1
556	PARP14
557	PATZ1
558	PCSK2
559	PDLIM3
560	PDRG1
561	PDX1
562	PEX11B
563	PFDN1
564	PGRMC1
565	PHF2
566	PIGO
567	PIP5K1A
568	PKD1L3
569	PLXNB3
570	PNLIPRP1
571	POF1B
572	POLR2J
573	PPID
574	PPM1D
575	PPP1R21
576	PRAMEF20
577	PRDM14
578	PRG4
579	PRKAG3
580	PRMT3
581	PROZ
582	PRRT3
583	PRSS12
584	PRSS36
585	PSG4
586	PSMD4
587	PSMD6
588	PTGDR
589	PTRF
590	PTX3
591	PVRL4
592	PYGO2
593	RAB39B
594	RABL2B
595	RASAL3
596	RASL11B
597	RBMX2
598	RBP1
599	REC8
600	RELN
601	RESP18
602	RFPL1
603	RFX5
604	RGL2
605	RGS1
606	RGS16
607	RIC8A
608	RIMBP3
609	RIN1
610	RIPK4
611	RIPPLY3
612	ROBO3
613	RPL23
614	RPL27
615	RPL9
616	RPP40
617	RRNAD1
618	RSPH4A
619	RTFDC1
620	SART3
621	SEPT12
622	SERPINA7
623	SETDB1
624	SGPP1
625	SH2D2A
626	SHCBP1L
627	SHD
628	SIN3B
629	SLC22A9
630	SLC25A38
631	SLC26A4
632	SLC2A4
633	SLC35B1
634	SLC36A2
635	SLC36A3
636	SLC37A4
637	SLC4A1AP
638	SLC4A3
639	SLC5A2
640	SLC5A4
641	SLC5A5
642	SLC6A8
643	SLC7A3
644	SLCO4C1
645	SLX4
646	SMIM24
647	SMYD3
648	SMYD4
649	SNAPC1
650	SPACA1
651	SPACA7
652	SPINK2
653	SPRTN
654	SRM
655	SSC5D
656	SSR4
657	STAR
658	STK19
659	SUGP1
660	T
661	TAAR2
662	TAZ
663	TBC1D10C
664	TBC1D3F
665	TBP
666	TCHHL1
667	TDRD5
668	TEK
669	TFAP2D
670	TGS1
671	THAP1
672	THAP10
673	THBS3
674	TM6SF2
675	TMC2
676	TMCO6
677	TMED2
678	TMEM132A
679	TMEM5
680	TNFAIP8L3
681	TRAPPC2L
682	TRIM28
683	TRIM46
684	TRIM51
685	TRIML1
686	TRIP10
687	TRO
688	TRPV5
689	TSKS
690	TUBA3D
691	TUBD1
692	TUBG1
693	TULP2
694	TYW3
695	UBA7
696	UFL1
697	UGT2B28
698	ULBP2
699	UNC50
700	UPK1A
701	USH2A
702	UST
703	UTP20
704	VPS9D1
705	WARS2
706	WBSCR17
707	WDR48
708	WDR76
709	WFDC5
710	WFIKKN2
711	XAB2
712	XBP1
713	XKR5
714	XKRX
715	XPO5
716	XRCC6
717	YIF1A
718	ZFP69
719	ZFR
720	ZFYVE1
721	ZNF157
722	ZNF251
723	ZNF319
724	ZNF324B
725	ZNF622
726	ZNF646
727	ZNF853
728	ZP1
729	ZSCAN9
