Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-A2-A0CP-01A-11W-A050-09	1	0	64	0	21	3	40	29
TCGA-A2-A0CQ-01A-21W-A050-09	0	1	23	14	4	1	1	18
TCGA-A2-A0CR-01A-11D-A228-09	102	84	0	8	0	0	5	2
TCGA-A2-A0CS-01A-11D-A10Y-09	1	0	11	18	9	1	8	2
TCGA-A2-A0CT-01A-31W-A071-09	31	15	4	35	4	8	23	15
TCGA-A2-A0CU-01A-12W-A050-09	5	4	11	9	9	3	6	18
TCGA-A2-A0CV-01A-31D-A10Y-09	0	2	0	9	5	4	4	0
TCGA-A2-A0CW-01A-21D-A10Y-09	19	4	19	14	0	4	10	1
TCGA-A2-A0CX-01A-21W-A019-09	185	106	0	15	17	19	11	17
TCGA-A2-A0D0-01A-11W-A019-09	3	15	42	12	11	2	4	8
TCGA-A2-A0D1-01A-11W-A050-09	17	7	34	14	27	4	10	5
TCGA-A2-A0D2-01A-21W-A050-09	1	18	42	4	16	1	10	19
TCGA-A2-A0D3-01A-11D-A10Y-09	2	0	0	24	1	2	4	1
TCGA-A2-A0D4-01A-11W-A019-09	2	4	9	6	8	4	10	3
TCGA-A2-A0EM-01A-11W-A050-09	2	0	17	3	11	2	5	10
TCGA-A2-A0EN-01A-13D-A099-09	2	0	10	12	0	4	4	6
TCGA-A2-A0EO-01A-11W-A050-09	6	0	16	7	9	1	6	8
TCGA-A2-A0EP-01A-52D-A22X-09	2	5	4	1	2	1	0	5
TCGA-A2-A0EQ-01A-11W-A050-09	77	151	33	11	26	0	0	9
TCGA-A2-A0ER-01A-21W-A050-09	0	3	25	10	9	1	1	0
TCGA-A2-A0ES-01A-11D-A10Y-09	0	0	5	3	2	0	0	4
TCGA-A2-A0ET-01A-31D-A045-09	3	2	0	20	7	8	15	7
TCGA-A2-A0EU-01A-22W-A071-09	5	2	6	27	8	3	0	2
TCGA-A2-A0EV-01A-11W-A050-09	7	2	15	15	0	12	9	22
TCGA-A2-A0EW-01A-21D-A10Y-09	1	2	0	4	5	3	3	2
TCGA-A2-A0EX-01A-21W-A050-09	4	1	9	6	0	0	9	9
TCGA-A2-A0EY-01A-11W-A050-09	144	60	0	29	0	32	28	19
TCGA-A2-A0ST-01A-12D-A099-09	3	3	2	4	2	0	4	5
TCGA-A2-A0SU-01A-11D-A099-09	1	1	9	8	3	0	5	9
TCGA-A2-A0SV-01A-11D-A099-09	0	0	7	13	7	3	0	13
TCGA-A2-A0SW-01A-11D-A099-09	11	7	21	10	10	1	0	6
TCGA-A2-A0SX-01A-12D-A099-09	8	2	10	7	10	1	4	2
TCGA-A2-A0SY-01A-31D-A099-09	59	66	0	11	0	12	0	15
TCGA-A2-A0T0-01A-22D-A099-09	8	19	68	8	41	9	49	11
TCGA-A2-A0T1-01A-21D-A099-09	0	0	6	8	7	4	2	2
TCGA-A2-A0T2-01A-11W-A097-09	4	0	15	8	8	0	4	0
TCGA-A2-A0T3-01A-21D-A10Y-09	1	1	0	13	4	2	17	3
TCGA-A2-A0T4-01A-31D-A099-09	3	0	8	8	9	0	2	5
TCGA-A2-A0T5-01A-21D-A099-09	2	0	6	8	0	0	0	0
TCGA-A2-A0T6-01A-11D-A099-09	4	0	3	15	1	1	0	2
TCGA-A2-A0T7-01A-21D-A099-09	3	0	1	13	2	1	2	0
TCGA-A2-A0YC-01A-11D-A117-09	6	1	2	8	3	0	10	0
TCGA-A2-A0YD-01A-11D-A10G-09	31	19	6	12	0	17	2	8
TCGA-A2-A0YE-01A-11D-A10G-09	8	0	0	13	1	2	13	5
TCGA-A2-A0YF-01A-21D-A10G-09	1	0	17	6	3	5	7	0
TCGA-A2-A0YG-01A-21D-A10G-09	5	0	14	17	7	3	9	15
TCGA-A2-A0YH-01A-11D-A10G-09	19	33	9	16	0	5	11	11
TCGA-A2-A0YI-01A-31D-A10M-09	1	1	3	1	2	1	6	0
TCGA-A2-A0YJ-01A-11D-A10G-09	0	5	22	22	12	6	12	9
TCGA-A2-A0YK-01A-22D-A117-09	230	224	0	1	0	14	0	0
TCGA-A2-A0YL-01A-21D-A10G-09	17	9	0	6	0	0	7	10
TCGA-A2-A0YM-01A-11D-A10G-09	14	16	15	25	7	7	11	2
TCGA-A2-A0YT-01A-11D-A10G-09	8	1	2	21	17	16	10	1
TCGA-A2-A1FV-01A-11D-A13L-09	8	0	8	19	2	0	0	7
TCGA-A2-A1FW-01A-11D-A13L-09	2	3	13	21	17	8	14	12
TCGA-A2-A1FX-01A-11D-A13L-09	0	0	9	5	1	6	3	5
TCGA-A2-A1FZ-01A-51D-A17G-09	1	1	12	4	8	0	3	1
TCGA-A2-A1G0-01A-11D-A13L-09	5	0	3	4	0	0	6	7
TCGA-A2-A1G1-01A-21D-A13L-09	2	0	17	7	2	1	7	5
TCGA-A2-A1G4-01A-11D-A13L-09	5	1	12	7	1	0	3	4
TCGA-A2-A1G6-01A-11D-A13L-09	0	2	2	0	5	0	1	0
TCGA-A2-A259-01A-11D-A16D-09	5	0	6	5	0	0	0	6
TCGA-A2-A25A-01A-12D-A16D-09	31	22	0	0	14	33	399	0
TCGA-A2-A25B-01A-11D-A167-09	6	1	41	10	11	8	27	23
TCGA-A2-A25C-01A-11D-A167-09	3	0	16	0	8	4	7	5
TCGA-A2-A25D-01A-12D-A16D-09	7	4	10	9	8	0	11	13
TCGA-A2-A25E-01A-11D-A167-09	6	1	26	2	14	2	11	5
TCGA-A2-A25F-01A-11D-A167-09	0	0	3	0	0	0	3	1
TCGA-A2-A3KD-01A-12D-A20S-09	2	0	4	9	0	0	0	6
TCGA-A2-A3XT-01A-11D-A22X-09	3	30	52	4	15	3	8	7
TCGA-A2-A3XU-01A-12D-A22X-09	1	0	4	15	6	1	4	2
TCGA-A2-A3XV-01A-21D-A23C-09	0	0	6	9	8	4	11	11
TCGA-A2-A3XW-01A-11D-A23C-09	2	0	2	5	0	3	3	0
TCGA-A2-A3XX-01A-21D-A23C-09	4	1	7	11	7	7	16	7
TCGA-A2-A3XZ-01A-42D-A23C-09	12	14	2	12	1	6	3	7
TCGA-A2-A3Y0-01A-11D-A23C-09	11	56	56	19	38	3	39	33
TCGA-A2-A4S1-01A-21D-A25Q-09	4	6	28	17	20	0	23	0
TCGA-A2-A4S2-01A-12D-A25Q-09	6	0	4	8	7	0	12	5
TCGA-A2-A4S3-01A-21D-A25Q-09	6	10	30	15	16	6	16	11
TCGA-A7-A0CD-01A-11W-A019-09	0	0	11	17	4	0	4	5
TCGA-A7-A0CE-01A-11W-A019-09	9	13	80	9	12	8	26	17
TCGA-A7-A0CG-01A-11W-A019-09	21	5	9	26	11	5	3	1
TCGA-A7-A0CJ-01A-21W-A019-09	5	3	0	17	23	4	27	17
TCGA-A7-A0D9-01A-31W-A071-09	6	1	9	5	5	0	1	0
TCGA-A7-A0DA-01A-31D-A10Y-09	9	11	61	14	5	7	52	13
TCGA-A7-A0DB-01A-11D-A272-09	17	11	2	13	5	1	10	0
TCGA-A7-A13D-01A-13D-A272-09	5	19	61	12	4	3	21	15
TCGA-A7-A13E-01A-11D-A272-09	1	0	18	6	5	0	5	7
TCGA-A7-A13F-01A-11D-A12Q-09	1	3	11	16	2	7	0	3
TCGA-A7-A13G-01A-11D-A13L-09	11	1	2	6	6	0	0	5
TCGA-A7-A26E-01A-11D-A272-09	26	0	0	21	4	8	8	0
TCGA-A7-A26F-01A-21D-A167-09	4	1	8	17	0	4	12	7
TCGA-A7-A26G-01A-21D-A167-09	10	9	10	5	10	1	19	9
TCGA-A7-A26H-01A-11D-A167-09	45	44	4	32	0	1	12	7
TCGA-A7-A26I-01A-11D-A167-09	9	1	17	6	4	2	6	4
TCGA-A7-A26J-01A-11D-A272-09	2	0	22	7	0	0	5	5
TCGA-A7-A2KD-01A-31D-A21Q-09	6	2	16	24	3	1	1	5
TCGA-A7-A3RF-01A-11D-A228-09	0	0	16	5	9	0	4	6
TCGA-A7-A425-01A-11D-A243-09	0	0	15	12	0	0	12	2
TCGA-A7-A4SC-01A-12D-A25Q-09	3	0	4	11	1	5	12	2
TCGA-A7-A4SD-01A-11D-A25Q-09	1	5	4	28	14	3	5	6
TCGA-A7-A4SE-01A-11D-A25Q-09	17	38	34	1	23	0	28	11
TCGA-A7-A56D-01A-11D-A27P-09	68	37	16	30	8	15	4	15
TCGA-A7-A5ZW-01A-12D-A29N-09	6	8	0	6	11	4	3	1
TCGA-A7-A5ZX-01A-12D-A29N-09	6	0	10	6	1	6	7	6
TCGA-A7-A6VV-01A-22D-A33E-09	3	9	8	16	2	1	10	16
TCGA-A7-A6VW-01A-21D-A33E-09	5	4	32	10	11	1	18	8
TCGA-A7-A6VX-01A-12D-A33E-09	32	12	81	7	8	0	37	22
TCGA-A7-A6VY-01A-12D-A33E-09	7	21	48	12	15	5	17	16
TCGA-A8-A06O-01A-11W-A019-09	2	2	21	46	3	1	12	6
TCGA-A8-A06P-01A-11W-A019-09	11	2	18	8	27	3	16	2
TCGA-A8-A06Q-01A-11W-A050-09	161	99	4	17	0	17	1	15
TCGA-A8-A06R-01A-11D-A015-09	6	3	19	21	8	0	2	10
TCGA-A8-A06T-01A-11W-A019-09	1	2	6	0	12	0	9	9
TCGA-A8-A06U-01A-11W-A019-09	5	6	20	17	26	0	8	11
TCGA-A8-A06X-01A-21W-A019-09	4	16	103	23	42	6	90	31
TCGA-A8-A06Y-01A-21W-A019-09	5	5	0	10	0	4	19	0
TCGA-A8-A06Z-01A-11W-A019-09	1	0	42	10	4	0	28	14
TCGA-A8-A075-01A-11D-A099-09	15	6	36	10	0	0	10	13
TCGA-A8-A076-01A-21W-A019-09	10	3	26	31	0	9	13	6
TCGA-A8-A079-01A-21W-A019-09	2	7	18	29	0	5	26	23
TCGA-A8-A07B-01A-11W-A019-09	15	16	19	8	11	0	6	11
TCGA-A8-A07F-01A-11W-A019-09	2	1	10	16	0	0	6	5
TCGA-A8-A07G-01A-11W-A050-09	8	0	16	10	20	1	23	18
TCGA-A8-A07I-01A-11W-A019-09	0	6	5	20	4	5	22	4
TCGA-A8-A07J-01A-11W-A019-09	9	5	49	0	5	5	11	10
TCGA-A8-A07L-01A-11W-A019-09	2	6	39	4	22	2	29	21
TCGA-A8-A07O-01A-11W-A019-09	19	0	16	20	0	4	5	3
TCGA-A8-A07P-01A-11W-A019-09	8	0	15	23	16	4	9	7
TCGA-A8-A07U-01A-11W-A050-09	6	21	31	18	0	4	24	18
TCGA-A8-A07W-01A-11W-A019-09	6	14	45	33	48	3	6	15
TCGA-A8-A07Z-01A-11W-A019-09	0	0	9	6	10	0	0	3
TCGA-A8-A081-01A-11W-A019-09	14	24	51	32	12	6	1	6
TCGA-A8-A082-01A-11W-A019-09	2	3	4	13	5	0	0	2
TCGA-A8-A083-01A-21W-A019-09	3	0	22	0	7	2	1	0
TCGA-A8-A085-01A-11W-A019-09	3	24	24	0	4	2	20	23
TCGA-A8-A08B-01A-11W-A019-09	19	1	13	9	0	8	4	16
TCGA-A8-A08C-01A-11W-A019-09	1	0	5	0	0	0	1	2
TCGA-A8-A08F-01A-11W-A019-09	1	6	59	0	42	0	25	15
TCGA-A8-A08G-01A-11W-A019-09	3	3	11	13	14	6	6	2
TCGA-A8-A08H-01A-21W-A019-09	104	0	86	0	11	0	13	29
TCGA-A8-A08J-01A-11W-A019-09	5	1	22	8	1	4	3	1
TCGA-A8-A08L-01A-11W-A019-09	44	86	71	5	9	1	45	24
TCGA-A8-A08O-01A-21W-A071-09	1	2	12	5	3	5	2	5
TCGA-A8-A08P-01A-11W-A019-09	8	12	28	16	18	5	1	4
TCGA-A8-A08R-01A-11W-A050-09	7	59	119	15	27	4	42	32
TCGA-A8-A08S-01A-11W-A050-09	5	0	12	27	14	3	5	5
TCGA-A8-A08T-01A-21W-A019-09	3	4	10	11	5	12	15	14
TCGA-A8-A08X-01A-21W-A019-09	0	3	8	11	19	0	4	8
TCGA-A8-A08Z-01A-21W-A019-09	7	0	9	17	9	0	1	4
TCGA-A8-A090-01A-11W-A019-09	5	2	14	12	0	3	8	5
TCGA-A8-A091-01A-11W-A019-09	8	1	0	12	5	0	7	0
TCGA-A8-A092-01A-11W-A019-09	43	17	0	9	10	10	6	5
TCGA-A8-A093-01A-11W-A019-09	78	16	0	21	0	24	6	4
TCGA-A8-A094-01A-11W-A019-09	86	79	27	7	23	6	0	3
TCGA-A8-A095-01A-11W-A019-09	98	72	0	5	6	14	23	0
TCGA-A8-A096-01A-11W-A019-09	0	0	21	13	12	0	0	0
TCGA-A8-A097-01A-11W-A050-09	2	24	34	6	8	4	38	21
TCGA-A8-A099-01A-11W-A019-09	1	3	5	10	2	0	15	8
TCGA-A8-A09A-01A-11W-A019-09	22	12	93	8	28	0	68	45
TCGA-A8-A09B-01A-11W-A019-09	4	2	13	13	0	2	8	14
TCGA-A8-A09C-01A-11W-A019-09	0	0	36	7	5	0	0	12
TCGA-A8-A09D-01A-11W-A019-09	10	0	23	3	19	0	2	15
TCGA-A8-A09E-01A-11W-A019-09	2	0	50	10	2	0	9	27
TCGA-A8-A09G-01A-21W-A019-09	139	179	1	0	8	7	0	2
TCGA-A8-A09I-01A-22W-A050-09	36	38	38	38	5	6	0	13
TCGA-A8-A09K-01A-11W-A019-09	7	0	23	9	5	1	0	10
TCGA-A8-A09M-01A-11W-A019-09	2	8	74	13	12	10	39	24
TCGA-A8-A09N-01A-11W-A019-09	26	27	66	17	20	3	0	0
TCGA-A8-A09Q-01A-11W-A019-09	5	6	92	52	9	13	10	11
TCGA-A8-A09T-01A-11W-A019-09	4	0	4	5	8	0	8	2
TCGA-A8-A09V-01A-11D-A045-09	1	4	9	11	0	0	5	4
TCGA-A8-A09W-01A-11W-A019-09	2	6	40	14	24	0	13	7
TCGA-A8-A09X-01A-11W-A019-09	17	4	14	20	2	5	14	5
TCGA-A8-A09Z-01A-11W-A019-09	4	0	0	199	958	27	46	212
TCGA-A8-A0A1-01A-11W-A019-09	3	0	18	25	7	0	6	12
TCGA-A8-A0A2-01A-11W-A050-09	1	0	11	15	8	2	11	7
TCGA-A8-A0A4-01A-11W-A019-09	3	0	41	14	9	0	14	1
TCGA-A8-A0A6-01A-12W-A071-09	8	1	7	9	7	6	0	12
TCGA-A8-A0A7-01A-11W-A019-09	182	54	0	1	19	9	15	13
TCGA-A8-A0A9-01A-11W-A019-09	9	14	8	29	3	5	1	7
TCGA-A8-A0AB-01A-11W-A050-09	0	2	17	15	0	0	3	7
TCGA-A8-A0AD-01A-11W-A071-09	4	1	5	9	5	0	6	8
TCGA-AC-A23C-01A-12D-A167-09	31	20	39	3	24	5	7	4
TCGA-AC-A23E-01A-11D-A159-09	0	0	2	11	0	3	3	5
TCGA-AC-A23H-01A-11D-A159-09	2883	3183	0	0	0	30	0	0
TCGA-AC-A2B8-01A-11D-A17D-09	59	40	4	10	1	0	0	9
TCGA-AC-A2BK-01A-11D-A21Q-09	0	6	25	23	24	3	25	6
TCGA-AC-A2BM-01A-11D-A21Q-09	0	3	0	0	7	2	4	4
TCGA-AC-A2FB-01A-11D-A17D-09	5	0	2	2	0	0	3	2
TCGA-AC-A2FF-01A-11D-A17D-09	1	1	3	1	2	0	5	0
TCGA-AC-A2FG-01A-11D-A17D-09	7	1	14	9	3	2	0	4
TCGA-AC-A2FO-01A-11D-A17W-09	12	4	8	0	0	3	0	3
TCGA-AC-A2QH-01A-11D-A18P-09	6	2	1	14	9	0	6	0
TCGA-AC-A3HN-01A-11D-A20S-09	4	1	0	7	8	0	7	2
TCGA-AC-A3OD-01A-11D-A21Q-09	6	0	0	13	6	5	0	7
TCGA-AC-A3QP-01A-11D-A22X-09	0	1	7	5	4	6	11	3
TCGA-AC-A3QQ-01A-11D-A228-09	0	1	9	14	3	1	0	10
TCGA-AC-A3W5-01A-11D-A228-09	31	55	44	14	10	8	36	28
TCGA-AC-A3YI-01A-21D-A23C-09	0	0	3	2	2	4	6	2
TCGA-AC-A3YJ-01A-11D-A22X-09	2	0	9	13	2	0	0	11
TCGA-AC-A4ZE-01A-11D-A41F-09	8	2	0	15	21	2	23	4
TCGA-AC-A5EH-01A-11D-A28B-09	16	14	60	17	25	8	50	24
TCGA-AC-A5EI-01A-11D-A27P-09	12	0	12	15	1	1	0	2
TCGA-AC-A5XS-01A-11D-A29N-09	314	285	63	2	0	37	0	35
TCGA-AC-A5XU-01A-11D-A28B-09	13	5	15	46	7	0	11	11
TCGA-AC-A62V-01A-11D-A31U-09	4	4	12	38	19	8	6	13
TCGA-AC-A62X-01A-11D-A29N-09	1	5	6	44	6	6	9	8
TCGA-AC-A62Y-01A-11D-A29N-09	19	16	10	16	12	1	8	8
TCGA-AC-A6IV-01A-12D-A33E-09	0	0	1	8	0	6	3	8
TCGA-AC-A6IW-01A-12D-A33E-09	29	66	55	26	7	3	4	28
TCGA-AC-A6IX-01A-12D-A32I-09	17	9	3	12	11	0	0	10
TCGA-AC-A6NO-01A-12D-A33E-09	3	1	8	11	10	1	2	8
TCGA-AC-A7VB-01A-11D-A351-09	0	0	0	15	12	0	2	7
TCGA-AC-A7VC-01A-11D-A351-09	0	2	0	6	7	4	3	8
TCGA-AC-A8OP-01A-11D-A36J-09	14	13	38	49	37	22	49	22
TCGA-AC-A8OQ-01A-11D-A41F-09	24	2	18	31	16	10	26	12
TCGA-AC-A8OR-01A-21D-A41F-09	0	0	0	8	7	0	31	4
TCGA-AC-A8OS-01A-12D-A41F-09	16	5	8	16	6	0	17	6
TCGA-AN-A03X-01A-21W-A019-09	0	0	51	9	11	2	10	8
TCGA-AN-A03Y-01A-21W-A019-09	9	0	7	18	6	3	7	5
TCGA-AN-A041-01A-11W-A050-09	9	0	10	9	12	4	6	6
TCGA-AN-A046-01A-21W-A050-09	38	0	259	0	239	6560	0	69
TCGA-AN-A049-01A-21W-A019-09	3	0	16	11	3	4	3	2
TCGA-AN-A04A-01A-21W-A050-09	2	0	0	18	4	1	9	22
TCGA-AN-A04C-01A-21W-A050-09	7	5	15	28	14	3	23	16
TCGA-AN-A04D-01A-21W-A050-09	0	9	52	6	17	2	14	16
TCGA-AN-A0AJ-01A-11W-A019-09	6	20	12	25	8	15	14	7
TCGA-AN-A0AK-01A-21W-A019-09	0	8	0	254	881	61	14	245
TCGA-AN-A0AL-01A-11W-A019-09	0	12	19	4	6	4	29	18
TCGA-AN-A0AM-01A-11W-A050-09	8	10	14	24	4	0	34	22
TCGA-AN-A0AR-01A-11W-A019-09	2	18	60	12	9	3	34	15
TCGA-AN-A0AS-01A-11W-A019-09	7	0	10	17	7	3	10	0
TCGA-AN-A0AT-01A-11D-A045-09	4	14	44	2	29	2	25	19
TCGA-AN-A0FD-01A-11W-A050-09	1	1	13	7	3	0	9	5
TCGA-AN-A0FF-01A-11W-A050-09	0	0	1	8	10	0	0	9
TCGA-AN-A0FJ-01A-11W-A019-09	24	21	36	15	15	0	14	8
TCGA-AN-A0FK-01A-11W-A050-09	4	0	1	18	13	5	8	17
TCGA-AN-A0FL-01A-11W-A050-09	8	30	70	30	14	1	37	21
TCGA-AN-A0FN-01A-11W-A050-09	6	2	16	0	16	4	24	21
TCGA-AN-A0FS-01A-11W-A050-09	20	14	3	17	3	5	22	22
TCGA-AN-A0FT-01A-11W-A050-09	20	16	26	32	15	5	1	20
TCGA-AN-A0FV-01A-11W-A019-09	27	20	16	8	19	0	13	15
TCGA-AN-A0FW-01A-11W-A050-09	8	10	29	15	6	9	37	26
TCGA-AN-A0FX-01A-11W-A050-09	8	6	69	13	26	9	36	16
TCGA-AN-A0FY-01A-11W-A050-09	5	0	15	29	5	2	1	8
TCGA-AN-A0FZ-01A-11W-A050-09	9	0	5	33	9	6	14	12
TCGA-AN-A0G0-01A-11W-A050-09	1	1	13	18	0	0	8	4
TCGA-AN-A0XN-01A-21D-A10G-09	2	12	58	11	31	6	41	15
TCGA-AN-A0XO-01A-11D-A10G-09	8	0	9	4	8	8	0	2
TCGA-AN-A0XP-01A-11D-A117-09	5	4	2	1	12	2	4	5
TCGA-AN-A0XR-01A-11D-A10G-09	5	2	3	9	1	0	7	8
TCGA-AN-A0XS-01A-22D-A10G-09	10	0	0	6	4	2	8	2
TCGA-AN-A0XT-01A-11D-A10G-09	0	1	0	9	1	0	2	8
TCGA-AN-A0XU-01A-11D-A10G-09	5	25	27	14	7	12	31	16
TCGA-AN-A0XV-01A-11D-A10G-09	0	4	5	11	12	3	4	2
TCGA-AN-A0XW-01A-11D-A10G-09	179	231	0	2	0	0	0	0
TCGA-AO-A03L-01A-41W-A071-09	1	6	8	8	0	1	8	9
TCGA-AO-A03O-01A-11W-A019-09	0	12	38	36	13	0	3	4
TCGA-AO-A03P-01A-11W-A019-09	8	0	15	14	7	6	9	11
TCGA-AO-A03R-01A-21W-A050-09	3	1	9	11	0	2	14	28
TCGA-AO-A03T-01A-21W-A050-09	7	17	33	10	0	1	38	26
TCGA-AO-A03V-01A-11D-A10Y-09	9	8	22	9	1	4	8	8
TCGA-AO-A0J2-01A-11W-A050-09	1	8	37	5	24	1	11	1
TCGA-AO-A0J3-01A-11W-A050-09	17	6	0	23	6	12	20	18
TCGA-AO-A0J4-01A-11W-A050-09	6	49	53	14	14	0	14	13
TCGA-AO-A0J5-01A-11W-A050-09	7	0	8	17	16	4	24	17
TCGA-AO-A0J6-01A-11W-A050-09	6	18	55	9	4	2	26	11
TCGA-AO-A0J7-01A-11W-A050-09	7	0	7	5	0	1	2	6
TCGA-AO-A0J8-01A-21D-A045-09	1	1	10	6	0	3	0	9
TCGA-AO-A0J9-01A-11W-A050-09	87	39	0	10	17	8	20	17
TCGA-AO-A0JA-01A-11W-A071-09	20	0	2	6	0	0	11	2
TCGA-AO-A0JB-01A-11W-A071-09	11	5	19	5	20	3	57	36
TCGA-AO-A0JC-01A-11W-A071-09	93	67	9	1	3	9	2	3
TCGA-AO-A0JD-01A-11W-A071-09	1	6	61	26	0	6	32	21
TCGA-AO-A0JE-01A-11W-A071-09	16	18	0	6	5	9	6	0
TCGA-AO-A0JF-01A-11W-A071-09	3	0	19	3	2	1	0	11
TCGA-AO-A0JG-01A-31D-A099-09	0	0	7	0	5	2	3	1
TCGA-AO-A0JI-01A-21W-A100-09	0	0	17	5	3	2	2	3
TCGA-AO-A0JJ-01A-11W-A071-09	1	0	18	4	0	3	5	7
TCGA-AO-A0JM-01A-21W-A071-09	4	6	9	22	4	9	4	4
TCGA-AO-A124-01A-11D-A10M-09	2	3	75	12	15	10	35	19
TCGA-AO-A128-01A-11D-A10M-09	21	19	0	353	818	19	32	14
TCGA-AO-A12A-01A-21D-A10Y-09	2	0	0	10	1	0	2	2
TCGA-AO-A12D-01A-11D-A10Y-09	29	8	8	12	0	3	4	7
TCGA-AO-A12F-01A-11D-A10Y-09	0	0	8	13	9	5	2	3
TCGA-AO-A12H-01A-11D-A10Y-09	1	0	12	11	1	1	0	6
TCGA-AO-A1KO-01A-31D-A188-09	0	0	2	0	2	1	0	3
TCGA-AO-A1KP-01A-11D-A13L-09	0	0	6	9	2	0	2	4
TCGA-AO-A1KR-01A-12D-A142-09	6	10	33	8	6	3	11	10
TCGA-AO-A1KS-01A-11D-A13L-09	23	2	7	18	6	5	0	0
TCGA-AO-A1KT-01A-11D-A13L-09	5	1	6	17	9	2	12	0
TCGA-AQ-A04H-01B-11D-A10M-09	2	3	4	44	10	7	8	7
TCGA-AQ-A04J-01A-02W-A050-09	9	0	26	2	21	0	27	26
TCGA-AQ-A0Y5-01A-11D-A14K-09	17	11	3	22	7	4	4	0
TCGA-AQ-A1H2-01A-11D-A13L-09	2	0	7	12	8	3	4	1
TCGA-AQ-A1H3-01A-31D-A13L-09	0	0	5	21	0	0	0	1
TCGA-AQ-A54O-01A-11D-A25Q-09	5	0	0	9	3	0	8	5
TCGA-AQ-A7U7-01A-22D-A351-09	35	34	5	7	11	4	0	7
TCGA-AR-A0TP-01A-11D-A099-09	4	5	20	8	8	0	23	9
TCGA-AR-A0TQ-01A-11D-A099-09	10	0	0	11	3	1	14	4
TCGA-AR-A0TR-01A-11D-A099-09	2	0	5	15	11	3	1	6
TCGA-AR-A0TS-01A-11D-A10Y-09	7	11	14	19	6	0	30	10
TCGA-AR-A0TT-01A-31D-A099-09	8	11	13	16	10	1	1	12
TCGA-AR-A0TU-01A-31D-A10G-09	6	12	89	7	14	2	48	23
TCGA-AR-A0TV-01A-21D-A099-09	6	3	22	21	6	0	7	16
TCGA-AR-A0TW-01A-11D-A099-09	2	3	13	19	4	6	8	5
TCGA-AR-A0TX-01A-11D-A099-09	205	179	0	5	0	13	1	0
TCGA-AR-A0TY-01A-12W-A12T-09	5	9	105	19	36	6	54	4
TCGA-AR-A0TZ-01A-12D-A099-09	14	14	0	12	7	8	4	0
TCGA-AR-A0U0-01A-11D-A10G-09	16	11	93	0	21	4	73	27
TCGA-AR-A0U1-01A-11D-A10Y-09	0	7	52	2	17	2	19	2
