Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-A2-A4S1-01A-21D-A25Q-09	4	9	43	22	18	1	1
TCGA-A2-A4S2-01A-12D-A25Q-09	6	0	16	7	8	0	5
TCGA-A2-A4S3-01A-21D-A25Q-09	7	15	29	20	17	8	14
TCGA-A7-A0CD-01A-11W-A019-09	0	0	9	5	21	0	6
TCGA-A7-A0CE-01A-11W-A019-09	11	23	72	17	11	11	29
TCGA-A7-A0CG-01A-11W-A019-09	24	4	6	13	29	5	0
TCGA-A7-A0CJ-01A-21W-A019-09	5	3	31	22	16	3	16
TCGA-A7-A0D9-01A-31W-A071-09	7	1	5	7	6	0	1
TCGA-A7-A0DA-01A-31D-A10Y-09	11	17	94	7	16	9	18
TCGA-A7-A0DB-01A-11D-A272-09	16	10	12	5	14	2	0
TCGA-A7-A13D-01A-13D-A272-09	6	32	51	7	15	5	24
TCGA-A7-A13E-01A-11D-A272-09	1	2	14	7	7	1	10
TCGA-A7-A13F-01A-11D-A12Q-09	2	5	2	3	19	8	4
TCGA-A7-A13G-01A-11D-A13L-09	10	1	0	8	6	0	6
TCGA-A7-A26E-01A-11D-A272-09	27	0	7	3	23	7	0
TCGA-A7-A26F-01A-21D-A167-09	4	2	16	0	18	5	8
TCGA-A7-A26G-01A-21D-A167-09	11	11	24	11	5	1	10
TCGA-A7-A26H-01A-11D-A167-09	49	49	5	0	36	1	5
TCGA-A7-A26I-01A-11D-A167-09	10	2	16	5	7	2	7
TCGA-A7-A26J-01A-11D-A272-09	3	1	17	0	10	0	10
TCGA-A7-A2KD-01A-31D-A21Q-09	7	3	6	4	29	2	7
TCGA-A7-A3RF-01A-11D-A228-09	0	1	14	11	5	0	9
TCGA-A7-A425-01A-11D-A243-09	0	1	21	1	15	0	3
TCGA-A7-A4SC-01A-12D-A25Q-09	3	0	15	1	12	5	2
TCGA-A7-A4SD-01A-11D-A25Q-09	1	7	6	15	29	3	5
TCGA-A7-A4SE-01A-11D-A25Q-09	20	47	45	25	1	0	14
TCGA-A7-A56D-01A-11D-A27P-09	77	36	5	10	33	16	16
TCGA-A7-A5ZW-01A-12D-A29N-09	7	9	1	12	6	4	0
TCGA-A7-A5ZX-01A-12D-A29N-09	6	0	14	1	7	6	8
TCGA-A7-A6VV-01A-22D-A33E-09	3	11	11	3	18	1	18
TCGA-A7-A6VW-01A-21D-A33E-09	5	7	39	13	12	2	11
TCGA-A7-A6VX-01A-12D-A33E-09	38	17	86	13	9	2	34
TCGA-A7-A6VY-01A-12D-A33E-09	8	32	39	19	13	7	23
TCGA-A8-A06O-01A-11W-A019-09	2	4	21	5	53	2	6
TCGA-A8-A06P-01A-11W-A019-09	13	2	29	29	8	4	2
TCGA-A8-A06Q-01A-11W-A050-09	172	93	0	0	20	16	13
TCGA-A8-A06R-01A-11D-A015-09	7	5	8	11	25	0	13
TCGA-A8-A06T-01A-11W-A019-09	1	3	12	12	0	0	11
