Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-A7-A6VW-01A-21D-A33E-09	5	19	28	2
TCGA-A7-A6VX-01A-12D-A33E-09	29	10	90	3
TCGA-A7-A6VY-01A-12D-A33E-09	19	15	55	4
TCGA-A8-A06O-01A-11W-A019-09	3	47	19	1
TCGA-A8-A06P-01A-11W-A019-09	14	20	20	2
TCGA-A8-A06Q-01A-11W-A050-09	161	23	14	21
TCGA-A8-A06R-01A-11D-A015-09	7	28	17	0
TCGA-A8-A06T-01A-11W-A019-09	3	8	19	0
TCGA-A8-A06U-01A-11W-A019-09	8	35	24	2
TCGA-A8-A06X-01A-21W-A019-09	14	48	160	9
TCGA-A8-A06Y-01A-21W-A019-09	5	11	9	3
TCGA-A8-A06Z-01A-11W-A019-09	0	18	51	1
TCGA-A8-A075-01A-11D-A099-09	17	6	39	3
TCGA-A8-A076-01A-21W-A019-09	7	28	28	12
TCGA-A8-A079-01A-21W-A019-09	6	33	39	4
TCGA-A8-A07B-01A-11W-A019-09	21	16	20	3
TCGA-A8-A07F-01A-11W-A019-09	2	14	6	1
TCGA-A8-A07G-01A-11W-A050-09	7	19	30	2
TCGA-A8-A07I-01A-11W-A019-09	2	22	20	1
TCGA-A8-A07J-01A-11W-A019-09	14	9	40	5
TCGA-A8-A07L-01A-11W-A019-09	7	18	67	2
TCGA-A8-A07O-01A-11W-A019-09	11	18	9	5
TCGA-A8-A07P-01A-11W-A019-09	4	30	13	6
TCGA-A8-A07U-01A-11W-A050-09	18	22	42	6
TCGA-A8-A07W-01A-11W-A019-09	15	74	28	8
TCGA-A8-A07Z-01A-11W-A019-09	0	14	8	0
TCGA-A8-A081-01A-11W-A019-09	26	43	22	9
TCGA-A8-A082-01A-11W-A019-09	4	15	3	1
TCGA-A8-A083-01A-21W-A019-09	0	5	17	3
TCGA-A8-A085-01A-11W-A019-09	16	4	49	4
TCGA-A8-A08B-01A-11W-A019-09	16	9	13	7
TCGA-A8-A08C-01A-11W-A019-09	1	0	6	0
TCGA-A8-A08F-01A-11W-A019-09	6	37	78	0
TCGA-A8-A08G-01A-11W-A019-09	1	22	13	8
TCGA-A8-A08H-01A-21W-A019-09	71	3	103	3
TCGA-A8-A08J-01A-11W-A019-09	5	11	14	6
TCGA-A8-A08L-01A-11W-A019-09	98	9	93	4
TCGA-A8-A08O-01A-21W-A071-09	0	5	12	5
TCGA-A8-A08P-01A-11W-A019-09	13	27	18	6
TCGA-A8-A08R-01A-11W-A050-09	45	41	127	0
TCGA-A8-A08S-01A-11W-A050-09	0	43	7	3
TCGA-A8-A08T-01A-21W-A019-09	5	19	26	7
TCGA-A8-A08X-01A-21W-A019-09	2	24	13	1
TCGA-A8-A08Z-01A-21W-A019-09	6	24	3	0
TCGA-A8-A090-01A-11W-A019-09	5	11	15	4
TCGA-A8-A091-01A-11W-A019-09	5	16	0	2
TCGA-A8-A092-01A-11W-A019-09	43	18	9	10
TCGA-A8-A093-01A-11W-A019-09	51	18	21	18
TCGA-A8-A094-01A-11W-A019-09	116	19	27	8
TCGA-A8-A095-01A-11W-A019-09	121	4	12	16
TCGA-A8-A096-01A-11W-A019-09	0	29	9	0
TCGA-A8-A097-01A-11W-A050-09	16	15	58	6
TCGA-A8-A099-01A-11W-A019-09	0	18	12	0
TCGA-A8-A09A-01A-11W-A019-09	27	32	143	3
TCGA-A8-A09B-01A-11W-A019-09	4	16	13	1
TCGA-A8-A09C-01A-11W-A019-09	0	18	28	1
