Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-E7-A97Q-01A-11D-A38G-08	9	8	20	4
TCGA-FD-A3B3-01A-12D-A202-08	36	37	58	4
TCGA-FD-A3B4-01A-12D-A202-08	3	0	45	14
TCGA-FD-A3B5-01A-11D-A20D-08	58	21	23	19
TCGA-FD-A3B6-01A-21D-A20D-08	116	37	68	15
TCGA-FD-A3B7-01A-31D-A20D-08	10	3	35	3
TCGA-FD-A3B8-01A-31D-A20D-08	17	5	3	1
TCGA-FD-A3N5-01A-11D-A21A-08	11	22	241	9
TCGA-FD-A3N6-01A-11D-A21A-08	10	17	49	23
TCGA-FD-A3NA-01A-11D-A21A-08	81	43	23	8
TCGA-FD-A3SJ-01A-12D-A22Z-08	77	39	87	0
TCGA-FD-A3SL-01A-21D-A22Z-08	42	16	123	6
TCGA-FD-A3SM-01A-11D-A22Z-08	72	38	36	9
TCGA-FD-A3SN-01A-12D-A22Z-08	70	200	80	15
TCGA-FD-A3SO-01A-11D-A22Z-08	159	137	0	19
TCGA-FD-A3SP-01A-31D-A22Z-08	18	26	48	10
TCGA-FD-A3SQ-01A-21D-A22Z-08	6	14	33	14
TCGA-FD-A3SR-01A-11D-A22Z-08	41	13	43	20
TCGA-FD-A3SS-01A-12D-A22Z-08	162	211	0	35
TCGA-FD-A43N-01A-11D-A23U-08	41	8	85	9
TCGA-FD-A43P-01A-31D-A23U-08	164	67	86	17
TCGA-FD-A43U-01A-11D-A23U-08	0	10	47	12
TCGA-FD-A43X-01A-11D-A23U-08	138	73	63	2
TCGA-FD-A43Y-01A-21D-A26M-08	2	6	43	0
TCGA-FD-A5BR-01A-11D-A26M-08	5	6	60	8
TCGA-FD-A5BS-01A-21D-A26M-08	1	13	4	6
TCGA-FD-A5BT-01A-11D-A26M-08	46	15	36	13
TCGA-FD-A5BU-01A-31D-A26M-08	4	1	43	2
TCGA-FD-A5BV-01A-11D-A26M-08	13	7	94	0
TCGA-FD-A5BX-01A-11D-A26M-08	147	104	9	4
TCGA-FD-A5BY-01A-31D-A289-08	10	5	20	4
TCGA-FD-A5BZ-01A-11D-A289-08	31	20	46	16
TCGA-FD-A5C0-01A-11D-A289-08	3	19	74	2
