Samples	SBS1	SBS2	SBS5	SBS10b	SBS13
TCGA-AN-A0FJ-01A-11W-A019-09	0	0	3	0	0
TCGA-AN-A0FK-01A-11W-A050-09	0	0	2	0	0
TCGA-AN-A0FL-01A-11W-A050-09	1	0	3	0	1
TCGA-AN-A0FS-01A-11W-A050-09	0	1	0	0	0
TCGA-AN-A0FT-01A-11W-A050-09	0	0	2	0	0
TCGA-AN-A0FV-01A-11W-A019-09	0	3	0	0	0
TCGA-AN-A0FW-01A-11W-A050-09	0	0	1	0	0
TCGA-AN-A0FX-01A-11W-A050-09	0	0	3	0	0
TCGA-AN-A0FY-01A-11W-A050-09	0	0	1	0	0
TCGA-AN-A0XN-01A-21D-A10G-09	2	3	0	0	0
TCGA-AN-A0XP-01A-11D-A117-09	0	0	2	0	0
TCGA-AN-A0XV-01A-11D-A10G-09	0	0	1	0	0
TCGA-AN-A0XW-01A-11D-A10G-09	2	0	0	1	1
TCGA-AO-A03L-01A-41W-A071-09	0	0	1	0	0
TCGA-AO-A03O-01A-11W-A019-09	2	0	0	0	0
TCGA-AO-A03P-01A-11W-A019-09	0	0	1	0	0
TCGA-AO-A03T-01A-21W-A050-09	0	0	3	0	0
TCGA-AO-A03V-01A-11D-A10Y-09	0	0	0	1	0
TCGA-AO-A0J2-01A-11W-A050-09	0	0	1	0	0
TCGA-AO-A0J3-01A-11W-A050-09	1	0	0	0	0
TCGA-AO-A0J4-01A-11W-A050-09	0	0	2	0	1
TCGA-AO-A0J6-01A-11W-A050-09	0	0	2	0	0
TCGA-AO-A0J7-01A-11W-A050-09	0	0	1	0	0
TCGA-AO-A0J9-01A-11W-A050-09	0	1	0	1	0
TCGA-AO-A0JB-01A-11W-A071-09	0	0	1	0	0
TCGA-AO-A0JC-01A-11W-A071-09	0	1	0	2	0
TCGA-AO-A0JD-01A-11W-A071-09	0	0	1	0	0
TCGA-AO-A0JE-01A-11W-A071-09	0	0	2	0	0
TCGA-AO-A0JI-01A-21W-A100-09	0	0	1	0	0
TCGA-AO-A124-01A-11D-A10M-09	0	0	6	0	0
TCGA-AO-A128-01A-11D-A10M-09	6	0	15	0	0
TCGA-AO-A12D-01A-11D-A10Y-09	0	0	1	0	0
TCGA-AO-A1KR-01A-12D-A142-09	0	0	0	0	2
TCGA-AO-A1KS-01A-11D-A13L-09	0	0	1	0	0
TCGA-AQ-A04H-01B-11D-A10M-09	0	0	1	0	0
TCGA-AQ-A04J-01A-02W-A050-09	1	0	4	0	0
TCGA-AQ-A1H2-01A-11D-A13L-09	1	0	0	0	0
TCGA-AQ-A1H3-01A-31D-A13L-09	0	0	1	0	0
TCGA-AQ-A7U7-01A-22D-A351-09	0	1	0	0	2
TCGA-AR-A0TP-01A-11D-A099-09	0	0	3	0	0
TCGA-AR-A0TR-01A-11D-A099-09	0	0	1	0	0
TCGA-AR-A0TS-01A-11D-A10Y-09	0	0	1	0	0
TCGA-AR-A0TT-01A-31D-A099-09	1	0	0	0	0
TCGA-AR-A0TU-01A-31D-A10G-09	1	0	0	0	0
TCGA-AR-A0TV-01A-21D-A099-09	0	0	1	0	0
TCGA-AR-A0TX-01A-11D-A099-09	0	2	0	3	3
TCGA-AR-A0TY-01A-12W-A12T-09	2	0	0	0	3
TCGA-AR-A0TZ-01A-12D-A099-09	0	0	0	2	0
TCGA-AR-A0U0-01A-11D-A10G-09	0	0	1	0	0
TCGA-AR-A0U1-01A-11D-A10Y-09	0	0	1	0	0
TCGA-AR-A0U3-01A-11D-A10G-09	0	0	1	0	0
TCGA-AR-A1AI-01A-11D-A12Q-09	1	0	4	0	0
TCGA-AR-A1AK-01A-21D-A12Q-09	0	2	0	0	0
TCGA-AR-A1AO-01A-11D-A12Q-09	0	1	3	0	0
TCGA-AR-A1AQ-01A-11D-A12Q-09	0	0	1	0	0
TCGA-AR-A1AS-01A-11D-A12Q-09	0	1	0	0	0
TCGA-AR-A1AW-01A-21D-A12Q-09	0	0	1	0	0
TCGA-AR-A1AY-01A-21D-A12Q-09	0	0	1	0	0
TCGA-AR-A24H-01A-11D-A167-09	0	0	2	0	0
TCGA-AR-A24K-01A-11D-A167-09	0	0	1	0	0
TCGA-AR-A24M-01A-11D-A167-09	0	0	2	0	0
TCGA-AR-A24O-01A-11D-A167-09	0	0	1	0	0
TCGA-AR-A24P-01A-11D-A167-09	0	0	1	0	0
TCGA-AR-A24Q-01A-12D-A167-09	0	0	3	0	0
TCGA-AR-A24S-01A-11D-A167-09	0	0	0	0	3
TCGA-AR-A24V-01A-21D-A167-09	0	0	0	1	0
TCGA-AR-A24X-01A-11D-A167-09	0	0	1	0	0
TCGA-AR-A24Z-01A-11D-A167-09	0	2	0	0	0
TCGA-AR-A250-01A-31D-A167-09	0	0	1	0	0
TCGA-AR-A251-01A-12D-A167-09	0	0	3	0	0
TCGA-AR-A255-01A-11D-A167-09	0	0	1	0	0
TCGA-AR-A256-01A-11D-A167-09	3	0	0	0	0
TCGA-AR-A2LE-01A-11D-A17W-09	0	6	0	0	3
TCGA-AR-A2LK-01A-11D-A17W-09	2	0	0	0	0
TCGA-AR-A2LN-01A-21D-A18P-09	0	0	1	0	0
TCGA-AR-A2LR-01A-12D-A18P-09	0	0	1	0	0
TCGA-AR-A5QQ-01A-11D-A28B-09	0	0	1	0	0
TCGA-B6-A0I1-01A-11D-A21Q-09	0	0	1	0	0
TCGA-B6-A0I6-01A-11D-A128-09	2	0	0	0	0
TCGA-B6-A0I8-01A-11W-A050-09	0	0	1	0	0
TCGA-B6-A0I9-01A-11W-A050-09	0	0	1	0	0
TCGA-B6-A0IA-01A-11W-A050-09	0	0	2	0	0
TCGA-B6-A0IB-01A-11W-A050-09	0	0	0	2	1
TCGA-B6-A0IC-01A-11W-A050-09	0	0	1	0	0
TCGA-B6-A0IE-01A-11W-A050-09	0	0	2	0	0
TCGA-B6-A0IJ-01A-11W-A050-09	0	0	3	0	1
TCGA-B6-A0IK-01A-12W-A071-09	0	4	0	0	2
