Samples	SBS1	SBS2	SBS4	SBS5	SBS10a	SBS10b	SBS13	SBS26	SBS84
TCGA-DK-AA77-01A-11D-A391-08	39	73	149	180	0	0	38	0	0
TCGA-E5-A2PC-01A-11D-A202-08	19	55	0	194	0	0	28	0	0
TCGA-E5-A4TZ-01A-11D-A31L-08	86	144	0	123	0	0	225	0	0
TCGA-E5-A4U1-01A-11D-A31L-08	32	239	0	96	0	76	305	0	0
TCGA-E7-A3X6-01A-12D-A22Z-08	14	41	0	22	0	0	39	0	0
TCGA-E7-A3Y1-01A-11D-A22Z-08	22	0	0	172	0	0	0	0	0
TCGA-E7-A4IJ-01A-31D-A26M-08	13	110	0	128	0	50	137	0	0
TCGA-E7-A4XJ-01A-11D-A26M-08	22	0	0	28	0	0	0	0	0
TCGA-E7-A519-01A-11D-A26M-08	6	9	0	62	0	0	7	0	0
TCGA-E7-A541-01A-11D-A26M-08	37	140	0	225	0	0	146	0	0
TCGA-E7-A5KE-01A-11D-A289-08	37	55	0	134	0	26	31	0	0
TCGA-E7-A5KF-01A-11D-A289-08	4	94	0	49	0	29	88	0	0
TCGA-E7-A677-01A-11D-A30E-08	27	19	0	187	0	0	14	0	40
TCGA-E7-A678-01A-11D-A30E-08	14	0	0	51	0	0	0	0	0
TCGA-E7-A6MD-01A-41D-A34U-08	47	194	0	69	0	56	212	0	0
TCGA-E7-A6ME-01A-22D-A32B-08	11	0	0	146	0	0	0	0	0
TCGA-E7-A6MF-01A-12D-A32B-08	2	29	0	1	0	0	26	0	0
TCGA-E7-A7DU-01A-11D-A32B-08	26	143	0	51	0	0	117	0	0
TCGA-E7-A7DV-01A-11D-A339-08	15	81	0	36	0	33	173	0	0
TCGA-E7-A7PW-01A-11D-A34U-08	12	29	0	30	0	13	22	0	0
TCGA-E7-A7XN-01A-11D-A34U-08	45	439	0	70	0	0	590	0	0
TCGA-E7-A85H-01A-11D-A34U-08	37	51	0	406	0	0	23	0	0
TCGA-E7-A8O7-01A-11D-A364-08	11	5	0	18	0	0	6	0	0
TCGA-E7-A8O8-01A-11D-A364-08	34	19	0	83	0	0	13	0	0
TCGA-E7-A97P-01A-11D-A38G-08	20	17	0	183	0	0	25	0	0
TCGA-E7-A97Q-01A-11D-A38G-08	8	10	0	40	0	0	11	0	0
TCGA-FD-A3B3-01A-12D-A202-08	19	44	0	59	0	19	52	0	0
TCGA-FD-A3B4-01A-12D-A202-08	14	0	49	29	0	0	0	0	0
TCGA-FD-A3B5-01A-11D-A20D-08	15	39	0	39	0	28	54	0	0
TCGA-FD-A3B6-01A-21D-A20D-08	24	79	0	98	0	0	113	0	0
TCGA-FD-A3B7-01A-31D-A20D-08	14	3	0	47	0	0	10	0	0
TCGA-FD-A3B8-01A-31D-A20D-08	3	8	0	1	0	6	17	0	0
TCGA-FD-A3N5-01A-11D-A21A-08	22	0	0	394	0	0	0	0	0
TCGA-FD-A3N6-01A-11D-A21A-08	37	26	0	34	0	28	14	0	0
TCGA-FD-A3NA-01A-11D-A21A-08	12	70	0	50	0	0	73	0	0
TCGA-FD-A3SJ-01A-12D-A22Z-08	24	62	0	131	0	0	86	0	0
TCGA-FD-A3SL-01A-21D-A22Z-08	36	26	0	170	0	0	53	0	0
