Samples	SBS96A	SBS96B	SBS96C
TCGA-GV-A3JX-01A-11D-A20D-08	198	15	19
TCGA-GV-A3JZ-01A-11D-A21A-08	257	65	65
TCGA-GV-A3QF-01A-31D-A22Z-08	2	89	21
TCGA-GV-A3QG-01A-11D-A21Z-08	20	60	3
TCGA-GV-A3QH-01A-11D-A21Z-08	97	24	12
TCGA-GV-A3QI-01A-11D-A21Z-08	131	253	28
TCGA-GV-A3QK-01B-11D-A23M-08	39	70	23
TCGA-GV-A40E-01A-12D-A23M-08	133	0	14
TCGA-GV-A40G-01A-11D-A23M-08	12	101	16
TCGA-GV-A6ZA-01A-12D-A339-08	175	66	22
TCGA-H4-A2HO-01A-11D-A17V-08	11	52	9
TCGA-H4-A2HQ-01A-11D-A17V-08	257	96	33
TCGA-HQ-A2OE-01A-11D-A202-08	41	59	19
TCGA-HQ-A2OF-01A-11D-A26M-08	0	61	30
TCGA-HQ-A5ND-01A-11D-A26M-08	7	50	16
TCGA-HQ-A5NE-01A-12D-A289-08	187	117	16
TCGA-K4-A3WS-01A-11D-A22Z-08	167	80	0
TCGA-K4-A3WU-01B-11D-A23M-08	111	15	26
TCGA-K4-A3WV-01A-11D-A22Z-08	0	35	19
TCGA-K4-A4AB-01B-12D-A289-08	5	62	14
TCGA-K4-A4AC-01A-21D-A26M-08	51	45	26
TCGA-K4-A54R-01A-11D-A26M-08	613	180	25
TCGA-K4-A5RH-01A-11D-A30E-08	38	102	14
TCGA-K4-A5RI-01A-11D-A289-08	28	80	10
TCGA-K4-A5RJ-01A-11D-A289-08	227	100	5
TCGA-K4-A6FZ-01A-11D-A31L-08	162	187	2
TCGA-K4-A6MB-01A-11D-A31L-08	152	144	3
TCGA-K4-A83P-01A-11D-A34U-08	115	102	6
TCGA-K4-AAQO-01A-11D-A38G-08	129	60	24
TCGA-KQ-A41N-01A-11D-A339-08	32	129	26
TCGA-KQ-A41O-01A-12D-A34U-08	198	0	33
TCGA-KQ-A41P-01A-12D-A339-08	179	74	20
TCGA-KQ-A41Q-01A-11D-A339-08	53	57	28
TCGA-KQ-A41R-01A-21D-A34U-08	124	530	13
TCGA-KQ-A41S-01A-12D-A339-08	130	65	4
TCGA-LC-A66R-01A-41D-A30E-08	56	31	27
TCGA-LT-A5Z6-01A-11D-A289-08	283	169	0
TCGA-LT-A8JT-01A-11D-A364-08	15	39	13
TCGA-MV-A51V-01A-11D-A26M-08	1442	0	7
TCGA-PQ-A6FI-01A-11D-A31L-08	83	49	7
TCGA-PQ-A6FN-01A-11D-A31L-08	22	39	5
TCGA-R3-A69X-01A-22D-A30E-08	172	0	13
TCGA-S5-A6DX-01A-11D-A31L-08	417	87	59
TCGA-S5-AA26-01A-11D-A38G-08	167	4	21
TCGA-SY-A9G0-01A-12D-A38G-08	19	26	1
TCGA-SY-A9G5-01A-11D-A38G-08	735	128	16
TCGA-UY-A78K-01A-11D-A339-08	275	359	95
TCGA-UY-A78L-01A-12D-A339-08	120	72	6
TCGA-UY-A78M-01A-21D-A34U-08	50	54	7
TCGA-UY-A78N-01A-12D-A339-08	0	163	30
TCGA-UY-A78O-01A-12D-A339-08	98	25	44
TCGA-UY-A78P-01A-12D-A364-08	238	2	11
TCGA-UY-A8OB-01A-12D-A42E-08	129	137	37
TCGA-UY-A8OC-01A-11D-A364-08	27	39	12
TCGA-UY-A8OD-01A-11D-A364-08	23	56	7
TCGA-UY-A9PA-01A-11D-A38G-08	31	118	0
TCGA-UY-A9PB-01A-11D-A38G-08	269	258	0
TCGA-UY-A9PD-01A-11D-A38G-08	41	201	22
TCGA-UY-A9PE-01A-11D-A38G-08	87	63	32
TCGA-UY-A9PF-01A-11D-A38G-08	56	337	0
TCGA-UY-A9PH-01A-11D-A38G-08	185	113	25
TCGA-XF-A8HB-01A-11D-A364-08	11	29	28
TCGA-XF-A8HC-01A-11D-A364-08	34	96	14
TCGA-XF-A8HD-01A-11D-A364-08	352	45	46
TCGA-XF-A8HE-01A-11D-A364-08	197	137	9
TCGA-XF-A8HF-01A-11D-A364-08	41	91	7
TCGA-XF-A8HG-01A-11D-A364-08	61	159	21
TCGA-XF-A8HH-01A-11D-A38G-08	44	51	11
TCGA-XF-A8HI-01A-11D-A38G-08	43	36	0
TCGA-XF-A9SG-01A-12D-A42E-08	85	70	13
TCGA-XF-A9SH-01A-11D-A391-08	26	2	8
TCGA-XF-A9SI-01A-11D-A391-08	262	48	0
TCGA-XF-A9SJ-01A-11D-A391-08	84	155	0
TCGA-XF-A9SK-01A-11D-A42E-08	77	29	20
TCGA-XF-A9SL-01A-11D-A391-08	60	0	3
TCGA-XF-A9SM-01A-11D-A42E-08	149	67	0
TCGA-XF-A9SP-01A-11D-A391-08	160	79	29
TCGA-XF-A9ST-01A-11D-A42E-08	263	166	36
TCGA-XF-A9SU-01A-31D-A391-08	6	20	16
TCGA-XF-A9SV-01A-21D-A42E-08	13	38	11
TCGA-XF-A9SW-01A-11D-A42E-08	9	44	6
TCGA-XF-A9SX-01A-21D-A391-08	13	70	16
TCGA-XF-A9SY-01A-21D-A42E-08	209	89	77
TCGA-XF-A9SZ-01A-11D-A391-08	78	91	14
TCGA-XF-A9T0-01A-11D-A391-08	113	558	0
TCGA-XF-A9T2-01A-11D-A42E-08	38	40	0
TCGA-XF-A9T3-01A-11D-A42E-08	30	308	37
TCGA-XF-A9T4-01A-11D-A391-08	11	10	9
TCGA-XF-A9T5-01A-11D-A42E-08	530	77	1
TCGA-XF-A9T6-01A-11D-A42E-08	7	224	14
TCGA-XF-A9T8-01A-11D-A391-08	599	56	0
TCGA-XF-AAME-01A-12D-A42E-08	0	17	2
TCGA-XF-AAMF-01A-21D-A42E-08	32	27	8
TCGA-XF-AAMG-01A-11D-A42E-08	757	0	81
TCGA-XF-AAMH-01A-11D-A42E-08	0	35	10
TCGA-XF-AAMJ-01A-11D-A42E-08	0	19	13
TCGA-XF-AAML-01A-11D-A42E-08	226	186	31
TCGA-XF-AAMQ-01A-11D-A42E-08	113	59	9
TCGA-XF-AAMR-01A-31D-A42E-08	39	40	8
TCGA-XF-AAMT-01A-11D-A42E-08	25	42	14
TCGA-XF-AAMW-01A-11D-A42E-08	0	18	7
TCGA-XF-AAMX-01A-11D-A42E-08	152	73	59
TCGA-XF-AAMY-01A-11D-A42E-08	51	50	4
TCGA-XF-AAMZ-01A-11D-A42E-08	154	21	40
TCGA-XF-AAN0-01A-11D-A42E-08	263	53	32
TCGA-XF-AAN1-01A-31D-A42E-08	15	48	19
TCGA-XF-AAN2-01A-11D-A42E-08	314	99	6
TCGA-XF-AAN3-01A-11D-A42E-08	104	46	5
TCGA-XF-AAN4-01A-11D-A42E-08	27	0	1
TCGA-XF-AAN5-01A-11D-A42E-08	258	0	16
TCGA-XF-AAN7-01A-11D-A42E-08	0	110	16
TCGA-XF-AAN8-01A-11D-A42E-08	0	1	0
TCGA-YC-A89H-01A-11D-A364-08	189	1253	0
TCGA-YC-A8S6-01A-31D-A38G-08	57	13	20
TCGA-YC-A9TC-01A-22D-A391-08	57	27	11
TCGA-YF-AA3L-01A-11D-A38G-08	84	158	38
TCGA-YF-AA3M-01A-11D-A42E-08	32	95	20
TCGA-ZF-A9R0-01A-11D-A38G-08	144	24	9
TCGA-ZF-A9R1-01A-11D-A391-08	38	40	7
TCGA-ZF-A9R2-01A-11D-A391-08	88	31	1
TCGA-ZF-A9R3-01A-11D-A38G-08	30	35	8
TCGA-ZF-A9R4-01A-11D-A38G-08	136	78	5
TCGA-ZF-A9R5-01A-12D-A42E-08	0	50	33
TCGA-ZF-A9R7-01A-11D-A38G-08	497	106	18
TCGA-ZF-A9R9-01A-11D-A38G-08	86	66	24
TCGA-ZF-A9RC-01A-11D-A38G-08	168	673	0
TCGA-ZF-A9RD-01A-11D-A42E-08	77	58	18
TCGA-ZF-A9RE-01A-11D-A38G-08	0	25	32
TCGA-ZF-A9RF-01A-11D-A38G-08	106	107	8
TCGA-ZF-A9RG-01A-21D-A42E-08	82	124	4
TCGA-ZF-A9RL-01A-11D-A38G-08	210	25	51
TCGA-ZF-A9RM-01A-11D-A38G-08	0	58	16
TCGA-ZF-A9RN-01A-11D-A42E-08	106	26	41
TCGA-ZF-AA4N-01A-11D-A38G-08	62	63	16
TCGA-ZF-AA4R-01A-11D-A38G-08	17	29	5
TCGA-ZF-AA4T-01A-11D-A38G-08	0	78	10
TCGA-ZF-AA4U-01A-11D-A38G-08	0	50	11
TCGA-ZF-AA4V-01A-11D-A38G-08	211	392	11
TCGA-ZF-AA4W-01A-12D-A38G-08	188	144	101
TCGA-ZF-AA4X-01A-11D-A38G-08	324	229	16
TCGA-ZF-AA51-01A-21D-A391-08	538	17	14
TCGA-ZF-AA52-01A-12D-A391-08	37	55	20
TCGA-ZF-AA53-01A-11D-A391-08	151	0	3
TCGA-ZF-AA54-01A-11D-A391-08	122	32	2
TCGA-ZF-AA56-01A-31D-A391-08	61	7	16
TCGA-ZF-AA58-01A-12D-A42E-08	145	37	13
TCGA-ZF-AA5H-01A-11D-A391-08	18	37	5
TCGA-ZF-AA5N-01A-11D-A42E-08	8	30	10
TCGA-ZF-AA5P-01A-11D-A391-08	26	3	13
