Samples	SBS1	SBS2	SBS3	SBS5	SBS10a	SBS10b	SBS13
TCGA-BT-A20V-01A-11D-A14W-08	23	13	0	46	0	13	16
TCGA-BT-A20W-01A-21D-A14W-08	13	6	35	0	0	9	14
TCGA-BT-A20X-01A-11D-A16O-08	6	0	0	63	0	0	9
TCGA-BT-A2LA-01A-11D-A18F-08	64	40	0	57	0	0	34
TCGA-BT-A2LB-01A-11D-A18F-08	29	236	0	350	0	77	45
TCGA-BT-A2LD-01A-12D-A20D-08	31	14	0	63	0	0	6
TCGA-BT-A3PH-01A-11D-A21Z-08	33	171	0	44	0	0	285
TCGA-BT-A3PJ-01A-21D-A21Z-08	26	206	0	179	0	62	126
TCGA-BT-A3PK-01A-21D-A21Z-08	18	51	0	270	0	0	66
TCGA-BT-A42B-01A-32D-A23M-08	28	9	0	39	0	0	0
TCGA-BT-A42C-01A-11D-A23M-08	21	73	139	60	0	27	92
TCGA-BT-A42E-01A-11D-A23U-08	17	43	0	44	0	0	79
TCGA-BT-A42F-01A-11D-A23U-08	7	69	0	30	0	0	81
TCGA-C4-A0EZ-01A-21D-A10S-08	29	35	0	100	0	26	30
TCGA-C4-A0F0-01A-12D-A10S-08	17	8	0	67	0	0	11
TCGA-C4-A0F1-01A-11D-A10S-08	24	54	0	31	0	33	50
TCGA-C4-A0F6-01A-11D-A10S-08	28	48	0	46	0	22	85
TCGA-C4-A0F7-01A-11D-A10S-08	27	10	34	21	0	0	0
TCGA-CF-A1HR-01A-11D-A13W-08	14	90	0	45	0	29	109
TCGA-CF-A1HS-01A-11D-A13W-08	12	34	0	90	0	0	141
TCGA-CF-A27C-01A-11D-A16O-08	14	56	0	29	0	0	75
TCGA-CF-A3MF-01A-12D-A21A-08	11	3	0	10	0	0	0
TCGA-CF-A3MG-01A-11D-A20D-08	15	43	0	43	0	0	54
TCGA-CF-A3MH-01A-11D-A20D-08	11	4	0	23	0	0	9
TCGA-CF-A3MI-01A-11D-A20D-08	22	15	0	22	0	0	18
TCGA-CF-A47S-01A-11D-A23U-08	11	3	0	16	0	0	0
TCGA-CF-A47T-01A-11D-A23U-08	8	4	0	13	0	6	0
TCGA-CF-A47V-01A-11D-A23U-08	11	20	67	0	0	0	23
TCGA-CF-A47W-01A-11D-A23U-08	7	0	0	26	0	0	0
TCGA-CF-A47X-01A-31D-A23U-08	26	120	0	53	0	33	140
TCGA-CF-A47Y-01A-11D-A23U-08	6	9	0	40	0	0	20
TCGA-CF-A5U8-01A-11D-A289-08	6	0	0	57	0	0	0
TCGA-CF-A5UA-01A-11D-A289-08	29	5	0	34	0	0	17
TCGA-CF-A7I0-01A-22D-A34U-08	9	15	0	26	0	0	11
TCGA-CF-A8HX-01A-11D-A364-08	8	25	0	16	0	10	16
TCGA-CF-A8HY-01A-11D-A364-08	13	6	0	51	0	0	20
TCGA-CF-A9FF-01A-11D-A38G-08	13	57	0	21	0	22	46
TCGA-CF-A9FH-01A-11D-A38G-08	12	0	0	18	0	9	0
TCGA-CF-A9FL-01A-11D-A38G-08	12	0	0	41	0	9	0
TCGA-CF-A9FM-01A-11D-A38G-08	3	0	0	26	0	0	0
TCGA-CU-A0YN-01A-21D-A10S-08	22	14	0	148	0	0	0
TCGA-CU-A0YO-01A-11D-A10S-08	21	20	0	43	0	0	19
TCGA-CU-A0YR-01A-12D-A10S-08	6	0	0	157	0	0	0
TCGA-CU-A3KJ-01A-11D-A21A-08	20	65	0	67	0	21	94
TCGA-CU-A3QU-01A-11D-A22Z-08	16	27	0	36	0	16	27
TCGA-CU-A3YL-01A-11D-A22Z-08	25	92	0	8	0	27	113
TCGA-CU-A5W6-01A-11D-A289-08	21	80	0	65	0	0	70
TCGA-CU-A72E-01A-12D-A339-08	17	31	0	26	0	0	38
TCGA-DK-A1A3-01A-11D-A13W-08	21	287	0	161	0	82	160
TCGA-DK-A1A5-01A-11D-A13W-08	16	104	0	28	0	29	121
TCGA-DK-A1A6-01A-11D-A13W-08	7	56	0	98	0	0	103
TCGA-DK-A1A7-01A-11D-A13W-08	28	26	0	181	0	0	11
TCGA-DK-A1AA-01A-11D-A13W-08	8	0	0	87	0	0	0
TCGA-DK-A1AB-01A-11D-A13W-08	17	104	0	9	0	0	100
TCGA-DK-A1AC-01A-11D-A13W-08	64	949	0	179	0	258	339
TCGA-DK-A1AD-01A-11D-A13W-08	13	50	0	113	0	26	58
TCGA-DK-A1AE-01A-11D-A13W-08	13	38	0	41	0	0	37
TCGA-DK-A1AF-01A-11D-A13W-08	3	36	0	23	0	0	42
TCGA-DK-A1AG-01A-11D-A13W-08	19	45	0	23	0	19	47
TCGA-DK-A2HX-01A-12D-A18F-08	13	34	0	47	0	0	17
TCGA-DK-A2I1-01A-11D-A17V-08	10	68	0	19	0	34	93
TCGA-DK-A2I2-01A-11D-A17V-08	8	28	0	54	0	0	16
TCGA-DK-A2I4-01A-11D-A21A-08	31	499	0	40	0	136	356
TCGA-DK-A2I6-01A-12D-A18F-08	9	86	0	172	0	46	34
TCGA-DK-A3IK-01A-32D-A21A-08	32	31	116	0	0	0	54
TCGA-DK-A3IL-01A-11D-A20D-08	18	0	102	67	0	17	0
TCGA-DK-A3IM-01A-11D-A20D-08	18	0	0	72	0	0	0
TCGA-DK-A3IN-01A-11D-A20D-08	18	150	0	46	0	51	168
TCGA-DK-A3IQ-01A-31D-A20D-08	22	71	0	49	0	0	61
TCGA-DK-A3IS-01A-21D-A21A-08	37	158	0	61	0	0	144
TCGA-DK-A3IT-01A-31D-A20D-08	20	126	0	65	0	0	254
TCGA-DK-A3IU-01A-11D-A20D-08	19	185	0	85	0	43	141
TCGA-DK-A3IV-01A-22D-A21A-08	10	20	0	26	0	9	16
TCGA-DK-A3WW-01A-22D-A23M-08	33	576	0	56	0	192	550
TCGA-DK-A3WX-01A-22D-A22Z-08	10	12	0	24	0	0	4
TCGA-DK-A3WY-01A-11D-A22Z-08	3	6	0	1	0	0	8
TCGA-DK-A3X1-01A-12D-A22Z-08	32	446	0	0	0	156	389
TCGA-DK-A3X2-01A-11D-A22Z-08	30	21	0	67	0	0	20
TCGA-DK-A6AV-01A-12D-A30E-08	22	42	0	47	0	0	30
TCGA-DK-A6AW-01A-11D-A30E-08	448	0	0	315	1337	2436	0
TCGA-DK-A6B0-01A-11D-A31L-08	2	0	0	23	0	0	0
TCGA-DK-A6B1-01A-12D-A30E-08	30	47	0	67	0	0	21
TCGA-DK-A6B2-01A-11D-A30E-08	29	35	0	115	0	0	40
TCGA-DK-A6B5-01A-11D-A31L-08	7	47	0	52	0	0	48
TCGA-DK-A6B6-01A-11D-A30E-08	37	664	0	88	0	136	281
TCGA-DK-AA6L-01A-11D-A391-08	22	142	0	80	0	0	183
TCGA-DK-AA6M-01A-11D-A391-08	16	12	0	28	0	12	7
TCGA-DK-AA6P-01A-11D-A391-08	13	68	0	73	0	0	50
TCGA-DK-AA6Q-01A-11D-A391-08	12	35	0	43	0	0	44
TCGA-DK-AA6R-01A-11D-A42E-08	27	60	210	30	0	0	48
TCGA-DK-AA6S-01A-21D-A391-08	28	240	0	88	0	0	298
TCGA-DK-AA6T-01A-11D-A391-08	12	0	30	9	0	13	11
TCGA-DK-AA6U-01A-11D-A391-08	31	104	207	20	0	38	92
TCGA-DK-AA6W-01A-12D-A391-08	42	92	0	51	0	0	101
TCGA-DK-AA6X-01A-12D-A42E-08	10	30	0	36	0	0	40
TCGA-DK-AA71-01A-31D-A391-08	37	350	0	74	0	0	323
TCGA-DK-AA74-01A-11D-A391-08	7	66	0	39	0	22	91
TCGA-DK-AA75-01A-11D-A391-08	31	240	0	113	0	120	98
TCGA-DK-AA76-01A-11D-A391-08	21	60	92	6	0	32	67
TCGA-DK-AA77-01A-11D-A391-08	37	71	250	51	0	0	29
TCGA-E5-A2PC-01A-11D-A202-08	17	50	114	74	0	0	17
TCGA-E5-A4TZ-01A-11D-A31L-08	79	138	0	116	0	0	215
TCGA-E5-A4U1-01A-11D-A31L-08	32	221	0	88	0	64	283
TCGA-E7-A3X6-01A-12D-A22Z-08	8	37	0	20	0	0	36
TCGA-E7-A3Y1-01A-11D-A22Z-08	21	0	0	151	0	0	0
TCGA-E7-A4IJ-01A-31D-A26M-08	14	94	151	0	0	42	106
TCGA-E7-A4XJ-01A-11D-A26M-08	21	0	0	27	0	0	0
TCGA-E7-A519-01A-11D-A26M-08	5	9	0	54	0	0	6
TCGA-E7-A541-01A-11D-A26M-08	33	129	0	207	0	0	138
TCGA-E7-A5KE-01A-11D-A289-08	35	54	0	119	0	23	28
TCGA-E7-A5KF-01A-11D-A289-08	3	92	0	45	0	27	79
TCGA-E7-A677-01A-11D-A30E-08	21	19	0	212	0	0	13
TCGA-E7-A678-01A-11D-A30E-08	11	0	0	48	0	0	0
TCGA-E7-A6MD-01A-41D-A34U-08	41	180	0	63	0	54	198
TCGA-E7-A6ME-01A-22D-A32B-08	11	0	0	130	0	0	0
TCGA-E7-A6MF-01A-12D-A32B-08	3	24	0	2	0	0	24
TCGA-E7-A7DU-01A-11D-A32B-08	23	141	0	45	0	0	110
TCGA-E7-A7DV-01A-11D-A339-08	12	74	0	29	0	31	167
TCGA-E7-A7PW-01A-11D-A34U-08	10	25	0	28	0	14	21
TCGA-E7-A7XN-01A-11D-A34U-08	40	417	0	57	0	0	545
TCGA-E7-A85H-01A-11D-A34U-08	34	48	0	375	0	0	24
TCGA-E7-A8O7-01A-11D-A364-08	10	5	0	17	0	0	6
TCGA-E7-A8O8-01A-11D-A364-08	27	19	83	0	0	0	7
TCGA-E7-A97P-01A-11D-A38G-08	17	17	0	171	0	0	25
TCGA-E7-A97Q-01A-11D-A38G-08	8	9	0	35	0	0	9
TCGA-FD-A3B3-01A-12D-A202-08	21	45	0	69	0	0	48
TCGA-FD-A3B4-01A-12D-A202-08	15	0	45	19	0	0	0
TCGA-FD-A3B5-01A-11D-A20D-08	12	39	0	37	0	25	51
TCGA-FD-A3B6-01A-21D-A20D-08	21	77	0	87	0	0	107
TCGA-FD-A3B7-01A-31D-A20D-08	11	3	0	40	0	0	10
TCGA-FD-A3B8-01A-31D-A20D-08	3	9	0	2	0	6	14
TCGA-FD-A3N5-01A-11D-A21A-08	20	0	0	366	0	0	0
TCGA-FD-A3N6-01A-11D-A21A-08	34	24	0	31	0	24	12
TCGA-FD-A3NA-01A-11D-A21A-08	12	62	0	49	0	0	72
TCGA-FD-A3SJ-01A-12D-A22Z-08	21	57	83	42	0	0	72
TCGA-FD-A3SL-01A-21D-A22Z-08	31	21	115	59	0	0	38
TCGA-FD-A3SM-01A-11D-A22Z-08	21	67	0	47	0	0	74
TCGA-FD-A3SN-01A-12D-A22Z-08	26	212	0	105	0	101	70
TCGA-FD-A3SO-01A-11D-A22Z-08	18	175	0	21	0	63	150
TCGA-FD-A3SP-01A-31D-A22Z-08	21	31	0	47	0	15	25
TCGA-FD-A3SQ-01A-21D-A22Z-08	13	14	0	35	0	11	8
TCGA-FD-A3SR-01A-11D-A22Z-08	16	21	0	52	0	22	41
TCGA-FD-A3SS-01A-12D-A22Z-08	15	245	0	29	0	103	169
TCGA-FD-A43N-01A-11D-A23U-08	44	22	0	76	0	0	56
TCGA-FD-A43P-01A-31D-A23U-08	24	113	0	122	0	43	163
TCGA-FD-A43S-01A-21D-A23U-08	0	0	1	0	0	0	0
TCGA-FD-A43U-01A-11D-A23U-08	23	9	0	58	0	0	0
TCGA-FD-A43X-01A-11D-A23U-08	30	111	0	96	0	0	130
TCGA-FD-A43Y-01A-21D-A26M-08	4	0	0	68	0	0	0
TCGA-FD-A5BR-01A-11D-A26M-08	21	0	41	35	0	0	0
TCGA-FD-A5BS-01A-21D-A26M-08	2	13	0	9	0	7	3
TCGA-FD-A5BT-01A-11D-A26M-08	15	28	0	46	0	14	54
TCGA-FD-A5BU-01A-31D-A26M-08	20	0	23	23	0	0	0
TCGA-FD-A5BV-01A-11D-A26M-08	16	0	96	24	0	0	0
TCGA-FD-A5BX-01A-11D-A26M-08	19	156	0	54	0	0	159
TCGA-FD-A5BY-01A-31D-A289-08	10	13	0	23	0	0	10
TCGA-FD-A5BZ-01A-11D-A289-08	19	26	0	47	0	24	35
TCGA-FD-A5C0-01A-11D-A289-08	16	15	0	108	0	0	0
TCGA-FD-A5C1-01A-11D-A289-08	30	32	0	55	0	0	45
TCGA-FD-A62N-01A-11D-A30E-08	5	0	39	44	0	13	0
TCGA-FD-A62O-01A-11D-A30E-08	18	50	0	37	0	36	60
TCGA-FD-A62P-01A-32D-A30E-08	30	136	0	41	0	46	171
TCGA-FD-A62S-01A-11D-A30E-08	15	0	0	59	0	0	0
TCGA-FD-A6TA-01A-12D-A339-08	9	105	0	13	0	31	140
TCGA-FD-A6TB-01A-12D-A339-08	13	62	0	9	0	29	95
TCGA-FD-A6TC-01A-21D-A339-08	26	409	0	75	0	124	486
TCGA-FD-A6TD-01A-51D-A339-08	23	45	0	55	0	0	32
TCGA-FD-A6TE-01A-12D-A339-08	21	88	0	51	0	0	111
TCGA-FD-A6TF-01A-52D-A32B-08	15	31	0	52	0	0	61
TCGA-FD-A6TG-01A-11D-A32B-08	18	98	0	177	0	0	136
TCGA-FD-A6TH-01A-11D-A32B-08	16	46	0	56	0	27	37
TCGA-FD-A6TI-01A-11D-A32B-08	26	0	0	106	0	0	0
TCGA-FD-A6TK-01A-42D-A339-08	14	33	0	50	0	0	21
TCGA-FJ-A3Z7-01A-12D-A23M-08	33	133	0	87	0	0	128
TCGA-FJ-A3Z9-01A-11D-A26M-08	34	9	0	25	0	0	7
TCGA-FJ-A3ZE-01A-11D-A23M-08	27	0	406	59	0	0	0
TCGA-FJ-A3ZF-01A-11D-A23M-08	38	91	0	100	0	0	76
TCGA-FJ-A871-01A-11D-A34U-08	11	0	0	43	0	0	0
TCGA-FT-A3EE-01A-11D-A202-08	22	31	0	81	0	0	6
TCGA-FT-A61P-01A-11D-A30E-08	22	32	0	111	0	0	21
TCGA-G2-A2EC-01A-11D-A17V-08	15	55	0	59	0	0	58
TCGA-G2-A2EF-01A-12D-A18F-08	22	111	0	54	0	0	105
TCGA-G2-A2EJ-01A-11D-A17V-08	28	80	0	59	0	29	129
TCGA-G2-A2EK-01A-22D-A18F-08	19	15	0	19	0	0	19
TCGA-G2-A2EL-01A-12D-A18F-08	17	75	0	39	0	32	122
TCGA-G2-A2EO-01A-11D-A17V-08	45	445	0	58	0	0	477
TCGA-G2-A2ES-01A-11D-A17V-08	20	115	142	120	0	44	36
TCGA-G2-A3IB-01A-11D-A20D-08	8	17	56	0	4	11	8
TCGA-G2-A3IE-01A-11D-A20D-08	19	143	0	87	0	0	156
TCGA-G2-A3VY-01A-11D-A22Z-08	25	224	0	172	0	0	456
TCGA-G2-AA3B-01A-11D-A391-08	13	241	0	68	0	64	447
TCGA-G2-AA3C-01A-21D-A391-08	28	80	0	47	0	0	110
TCGA-G2-AA3D-01A-11D-A391-08	6	75	0	34	0	0	129
TCGA-G2-AA3F-01A-12D-A42E-08	19	24	46	32	0	0	28
TCGA-GC-A3BM-01A-11D-A22Z-08	38	22	0	43	0	14	16
TCGA-GC-A3I6-01A-11D-A20D-08	15	78	0	56	0	0	69
TCGA-GC-A3OO-01A-11D-A22Z-08	6	72	0	35	0	0	38
TCGA-GC-A3RB-01A-12D-A21Z-08	29	58	0	48	0	0	56
TCGA-GC-A3RC-01A-11D-A22Z-08	20	104	0	254	0	0	66
TCGA-GC-A3RD-01A-12D-A22Z-08	23	25	0	28	0	0	20
TCGA-GC-A3WC-01A-31D-A22Z-08	18	40	0	81	0	0	43
TCGA-GC-A3YS-01A-11D-A23M-08	23	66	0	68	0	38	92
TCGA-GC-A4ZW-01A-11D-A26M-08	40	221	0	113	0	0	382
TCGA-GC-A6I1-01A-12D-A31L-08	21	102	0	49	0	0	95
TCGA-GC-A6I3-01A-11D-A31L-08	14	41	0	91	0	29	90
TCGA-GD-A2C5-01A-12D-A17V-08	16	76	0	61	0	44	93
TCGA-GD-A3OP-01A-21D-A21Z-08	31	152	0	99	0	0	99
TCGA-GD-A3OQ-01A-32D-A21Z-08	26	25	0	23	0	0	36
TCGA-GD-A3OS-01A-12D-A21Z-08	26	18	0	56	0	0	8
TCGA-GD-A6C6-01A-21D-A31L-08	22	88	0	70	0	31	116
TCGA-GD-A76B-01A-11D-A32B-08	13	52	0	50	0	25	58
TCGA-GU-A42P-01A-11D-A23U-08	21	106	0	56	0	46	92
TCGA-GU-A42Q-01A-11D-A23U-08	16	44	0	49	0	22	71
TCGA-GU-A42R-01A-11D-A23M-08	13	53	0	50	0	19	63
TCGA-GU-A762-01A-11D-A339-08	23	13	42	7	0	0	23
TCGA-GU-A763-01A-11D-A32B-08	9	7	33	8	0	0	13
TCGA-GU-A764-01A-11D-A34U-08	7	30	0	44	0	16	32
TCGA-GU-A766-01A-11D-A32B-08	8	76	0	18	0	36	88
TCGA-GU-A767-01A-11D-A32B-08	21	51	222	25	0	30	90
TCGA-GU-AATO-01A-11D-A391-08	26	138	0	52	0	0	141
TCGA-GU-AATP-01A-11D-A391-08	13	118	0	75	0	48	105
TCGA-GU-AATQ-01A-11D-A391-08	10	41	0	66	0	0	78
TCGA-GV-A3JV-01A-11D-A21Z-08	55	18	0	49	0	0	12
TCGA-GV-A3JW-01A-11D-A20D-08	13	18	0	35	0	0	26
TCGA-GV-A3JX-01A-11D-A20D-08	16	75	0	48	0	31	128
TCGA-GV-A3JZ-01A-11D-A21A-08	28	139	0	43	0	102	198
TCGA-GV-A3QF-01A-31D-A22Z-08	18	0	0	129	0	0	0
TCGA-GV-A3QG-01A-11D-A21Z-08	15	13	0	54	0	0	15
TCGA-GV-A3QH-01A-11D-A21Z-08	34	34	0	42	0	0	71
TCGA-GV-A3QI-01A-11D-A21Z-08	31	61	263	108	0	0	56
TCGA-GV-A3QK-01B-11D-A23M-08	22	35	0	55	0	23	32
TCGA-GV-A40E-01A-12D-A23M-08	19	24	0	60	0	0	85
TCGA-GV-A40G-01A-11D-A23M-08	37	33	0	82	0	0	16
TCGA-GV-A6ZA-01A-12D-A339-08	23	99	0	39	0	45	129
TCGA-H4-A2HO-01A-11D-A17V-08	23	14	0	46	0	0	15
TCGA-H4-A2HQ-01A-11D-A17V-08	21	146	0	127	0	46	173
TCGA-HQ-A2OE-01A-11D-A202-08	19	29	0	70	0	0	36
TCGA-HQ-A2OF-01A-11D-A26M-08	63	12	0	37	0	0	0
TCGA-HQ-A5ND-01A-11D-A26M-08	14	8	0	48	0	11	9
TCGA-HQ-A5NE-01A-12D-A289-08	21	159	0	51	0	35	157
TCGA-K4-A3WS-01A-11D-A22Z-08	7	66	165	4	0	0	78
TCGA-K4-A3WU-01B-11D-A23M-08	38	36	0	55	0	0	74
TCGA-K4-A3WV-01A-11D-A22Z-08	23	0	0	46	0	0	0
TCGA-K4-A4AB-01B-12D-A289-08	19	14	0	69	0	0	7
TCGA-K4-A4AC-01A-21D-A26M-08	18	28	0	59	0	25	36
TCGA-K4-A54R-01A-11D-A26M-08	24	409	0	30	0	149	478
TCGA-K4-A5RH-01A-11D-A30E-08	14	73	0	49	0	17	39
TCGA-K4-A5RI-01A-11D-A289-08	25	25	0	77	0	0	23
TCGA-K4-A5RJ-01A-11D-A289-08	22	149	0	96	0	0	165
TCGA-K4-A6FZ-01A-11D-A31L-08	18	103	225	16	0	0	79
TCGA-K4-A6MB-01A-11D-A31L-08	33	118	0	109	0	0	113
TCGA-K4-A83P-01A-11D-A34U-08	23	77	0	106	0	0	71
TCGA-K4-AAQO-01A-11D-A38G-08	20	61	0	98	0	22	81
TCGA-KQ-A41N-01A-11D-A339-08	16	28	0	181	0	0	18
TCGA-KQ-A41O-01A-12D-A34U-08	52	84	0	0	0	0	156
TCGA-KQ-A41P-01A-12D-A339-08	23	124	0	32	0	38	140
TCGA-KQ-A41Q-01A-11D-A339-08	23	36	0	49	0	25	43
TCGA-KQ-A41R-01A-21D-A34U-08	55	329	0	369	0	85	80
TCGA-KQ-A41S-01A-12D-A339-08	14	88	0	33	0	27	99
TCGA-LC-A66R-01A-41D-A30E-08	15	27	0	41	0	23	39
TCGA-LT-A5Z6-01A-11D-A289-08	25	263	0	86	0	0	251
TCGA-LT-A8JT-01A-11D-A364-08	16	18	0	35	0	0	14
TCGA-MV-A51V-01A-11D-A26M-08	57	521	0	171	0	0	1168
TCGA-PQ-A6FI-01A-11D-A31L-08	20	37	0	70	0	0	46
TCGA-PQ-A6FN-01A-11D-A31L-08	9	20	0	37	0	0	15
TCGA-R3-A69X-01A-22D-A30E-08	22	66	0	44	0	0	107
TCGA-S5-A6DX-01A-11D-A31L-08	39	260	0	40	0	113	338
TCGA-S5-AA26-01A-11D-A38G-08	32	84	0	29	0	0	116
TCGA-SY-A9G0-01A-12D-A38G-08	15	9	0	19	0	0	15
TCGA-SY-A9G5-01A-11D-A38G-08	49	458	0	75	0	0	556
TCGA-UY-A78K-01A-11D-A339-08	33	111	370	252	0	0	140
TCGA-UY-A78L-01A-12D-A339-08	12	89	0	38	0	23	83
TCGA-UY-A78M-01A-21D-A34U-08	32	39	0	40	0	0	39
TCGA-UY-A78N-01A-12D-A339-08	26	19	0	208	0	0	0
TCGA-UY-A78O-01A-12D-A339-08	51	45	0	47	0	0	66
TCGA-UY-A78P-01A-12D-A364-08	16	108	0	12	0	34	154
TCGA-UY-A8OB-01A-12D-A42E-08	12	20	0	281	0	0	57
TCGA-UY-A8OC-01A-11D-A364-08	13	27	0	20	0	16	25
TCGA-UY-A8OD-01A-11D-A364-08	18	21	0	49	0	0	16
TCGA-UY-A9PA-01A-11D-A38G-08	10	28	100	33	0	0	14
TCGA-UY-A9PB-01A-11D-A38G-08	38	172	0	270	0	0	180
TCGA-UY-A9PD-01A-11D-A38G-08	36	60	0	203	0	0	40
TCGA-UY-A9PE-01A-11D-A38G-08	26	55	0	64	0	29	70
TCGA-UY-A9PF-01A-11D-A38G-08	17	330	0	144	0	102	0
TCGA-UY-A9PH-01A-11D-A38G-08	27	168	0	28	0	61	156
TCGA-XF-A8HB-01A-11D-A364-08	27	3	0	28	0	14	14
TCGA-XF-A8HC-01A-11D-A364-08	26	68	0	62	0	0	28
TCGA-XF-A8HD-01A-11D-A364-08	36	161	0	34	0	64	262
TCGA-XF-A8HE-01A-11D-A364-08	18	199	0	80	0	0	164
TCGA-XF-A8HF-01A-11D-A364-08	12	21	95	35	0	0	16
TCGA-XF-A8HG-01A-11D-A364-08	42	80	0	148	0	0	49
TCGA-XF-A8HH-01A-11D-A38G-08	26	45	0	0	0	19	48
TCGA-XF-A8HI-01A-11D-A38G-08	13	34	0	16	0	0	29
TCGA-XF-A9SG-01A-12D-A42E-08	18	72	0	42	0	28	61
TCGA-XF-A9SH-01A-11D-A391-08	8	9	0	18	0	0	15
TCGA-XF-A9SI-01A-11D-A391-08	15	154	0	35	0	0	187
TCGA-XF-A9SJ-01A-11D-A391-08	22	134	0	72	0	27	73
TCGA-XF-A9SK-01A-11D-A42E-08	14	41	0	36	0	22	58
TCGA-XF-A9SL-01A-11D-A391-08	2	18	0	23	0	0	46
TCGA-XF-A9SM-01A-11D-A42E-08	8	106	0	41	0	0	121
TCGA-XF-A9SP-01A-11D-A391-08	35	84	0	77	0	34	114
TCGA-XF-A9ST-01A-11D-A42E-08	35	117	181	142	0	0	146
TCGA-XF-A9SU-01A-31D-A391-08	15	0	0	35	0	7	0
TCGA-XF-A9SV-01A-21D-A42E-08	16	10	0	47	0	0	9
TCGA-XF-A9SW-01A-11D-A42E-08	12	20	0	25	0	8	9
TCGA-XF-A9SX-01A-21D-A391-08	6	10	0	87	0	0	10
TCGA-XF-A9SY-01A-21D-A42E-08	8	57	274	0	0	37	83
TCGA-XF-A9SZ-01A-11D-A391-08	17	56	0	99	0	0	48
TCGA-XF-A9T0-01A-11D-A391-08	41	447	0	313	0	122	55
TCGA-XF-A9T2-01A-11D-A42E-08	13	24	0	32	0	0	29
TCGA-XF-A9T3-01A-11D-A42E-08	25	39	0	404	0	0	22
TCGA-XF-A9T4-01A-11D-A391-08	13	6	0	16	0	0	9
TCGA-XF-A9T5-01A-11D-A42E-08	32	309	0	90	0	0	369
TCGA-XF-A9T6-01A-11D-A42E-08	26	75	0	213	0	35	0
TCGA-XF-A9T8-01A-11D-A391-08	53	299	0	60	0	0	429
TCGA-XF-AAME-01A-12D-A42E-08	0	0	0	20	0	0	0
TCGA-XF-AAMF-01A-21D-A42E-08	12	20	0	28	0	0	26
TCGA-XF-AAMG-01A-11D-A42E-08	52	291	0	149	0	105	505
TCGA-XF-AAMH-01A-11D-A42E-08	16	0	0	47	0	0	0
TCGA-XF-AAMJ-01A-11D-A42E-08	23	0	0	19	0	0	0
