Samples	SBS1	SBS2	SBS4	SBS5	SBS7a	SBS10a	SBS10b	SBS13	SBS15	SBS23
TCGA-5N-A9KI-01A-31D-A42E-08	10	9	0	23	0	0	0	0	0	0
TCGA-5N-A9KM-01A-11D-A42E-08	0	0	0	58	0	0	0	0	0	0
TCGA-BL-A0C8-01A-11D-A271-08	7	2	0	3	0	0	0	11	18	0
TCGA-BL-A13I-01A-11D-A271-08	4	0	0	14	7	0	0	6	0	0
TCGA-BL-A13J-01A-11D-A271-08	0	6	19	0	0	0	0	2	0	9
TCGA-BL-A3JM-01A-12D-A21A-08	11	14	0	27	0	0	0	9	0	0
TCGA-BL-A5ZZ-01A-31D-A30E-08	16	0	0	23	16	0	0	0	0	0
TCGA-BT-A0S7-01A-11D-A10S-08	0	0	0	3	0	0	0	0	3	0
TCGA-BT-A0YX-01A-11D-A10S-08	11	47	0	10	0	0	0	93	0	0
TCGA-BT-A20J-01A-11D-A14W-08	9	32	0	16	0	0	25	40	0	0
TCGA-BT-A20N-01A-11D-A14W-08	2	11	32	16	0	0	0	14	0	0
TCGA-BT-A20O-01A-21D-A14W-08	4	15	0	15	0	0	0	6	0	0
TCGA-BT-A20P-01A-11D-A14W-08	4	2	0	8	0	0	5	11	0	0
TCGA-BT-A20Q-01A-11D-A14W-08	2	1	0	0	0	0	9	8	0	0
TCGA-BT-A20R-01A-12D-A16O-08	6	28	0	7	0	0	17	29	0	0
TCGA-BT-A20T-01A-11D-A14W-08	2	32	0	20	0	0	0	23	0	0
TCGA-BT-A20U-01A-11D-A14W-08	1	0	0	0	5	0	0	8	0	0
TCGA-BT-A20V-01A-11D-A14W-08	11	0	0	12	0	0	7	0	0	8
TCGA-BT-A20W-01A-21D-A14W-08	0	0	0	5	0	0	0	0	4	0
TCGA-BT-A20X-01A-11D-A16O-08	1	3	9	4	0	0	0	0	0	0
TCGA-BT-A2LA-01A-11D-A18F-08	16	8	0	15	0	0	0	4	0	0
TCGA-BT-A2LB-01A-11D-A18F-08	7	29	0	50	43	0	21	9	0	0
TCGA-BT-A2LD-01A-12D-A20D-08	9	0	0	10	0	0	0	0	0	5
TCGA-BT-A3PH-01A-11D-A21Z-08	12	43	0	13	0	0	0	57	0	0
TCGA-BT-A3PJ-01A-21D-A21Z-08	7	35	0	35	0	0	28	20	0	0
TCGA-BT-A3PK-01A-21D-A21Z-08	7	4	0	56	0	0	7	9	0	0
TCGA-BT-A42B-01A-32D-A23M-08	1	0	8	4	0	0	0	0	0	0
TCGA-BT-A42C-01A-11D-A23M-08	6	9	0	23	0	0	16	29	0	14
TCGA-BT-A42E-01A-11D-A23U-08	3	9	0	6	0	0	11	14	0	0
TCGA-BT-A42F-01A-11D-A23U-08	1	13	0	8	0	0	5	12	0	0
TCGA-C4-A0EZ-01A-21D-A10S-08	12	3	0	19	11	0	0	6	0	0
TCGA-C4-A0F0-01A-12D-A10S-08	1	0	0	15	0	0	0	4	0	0
TCGA-C4-A0F1-01A-11D-A10S-08	12	11	0	3	0	0	7	14	0	0
TCGA-C4-A0F6-01A-11D-A10S-08	10	18	0	0	0	0	0	27	0	0
TCGA-C4-A0F7-01A-11D-A10S-08	9	4	0	5	0	0	0	4	0	0
TCGA-CF-A1HR-01A-11D-A13W-08	6	17	0	7	0	0	9	27	0	0
TCGA-CF-A1HS-01A-11D-A13W-08	3	12	0	23	0	0	0	34	0	0
TCGA-CF-A27C-01A-11D-A16O-08	2	8	0	13	0	0	0	12	0	0
TCGA-CF-A3MF-01A-12D-A21A-08	1	1	0	0	0	0	0	0	4	0
TCGA-CF-A3MG-01A-11D-A20D-08	5	10	0	7	0	0	0	15	0	0
TCGA-CF-A3MH-01A-11D-A20D-08	2	0	0	14	0	0	0	0	0	0
TCGA-CF-A3MI-01A-11D-A20D-08	13	0	0	1	0	0	0	7	0	0
TCGA-CF-A47S-01A-11D-A23U-08	2	0	5	0	0	0	0	0	0	0
TCGA-CF-A47T-01A-11D-A23U-08	2	0	0	4	4	0	0	0	0	0
TCGA-CF-A47V-01A-11D-A23U-08	8	8	0	11	0	0	0	6	0	0
TCGA-CF-A47W-01A-11D-A23U-08	3	0	0	1	0	0	0	0	0	3
TCGA-CF-A47X-01A-31D-A23U-08	9	29	0	19	0	0	0	38	0	0
TCGA-CF-A47Y-01A-11D-A23U-08	0	2	0	8	0	3	0	6	0	0
TCGA-CF-A5U8-01A-11D-A289-08	3	0	0	7	6	0	0	0	0	0
TCGA-CF-A5UA-01A-11D-A289-08	6	0	0	6	0	0	0	3	0	0
TCGA-CF-A7I0-01A-22D-A34U-08	1	3	0	7	0	0	0	2	6	0
TCGA-CF-A8HX-01A-11D-A364-08	3	9	0	0	0	0	4	0	0	0
TCGA-CF-A8HY-01A-11D-A364-08	3	0	13	6	0	0	0	0	0	0
TCGA-CF-A9FF-01A-11D-A38G-08	5	9	0	3	0	0	7	5	0	0
TCGA-CF-A9FH-01A-11D-A38G-08	0	0	0	0	0	0	2	0	2	0
TCGA-CF-A9FL-01A-11D-A38G-08	3	0	0	0	0	0	5	0	0	4
TCGA-CF-A9FM-01A-11D-A38G-08	1	0	0	3	0	0	0	0	0	3
TCGA-CU-A0YN-01A-21D-A10S-08	0	5	14	20	0	0	0	0	0	0
TCGA-CU-A0YO-01A-11D-A10S-08	9	0	0	6	0	0	6	0	0	7
TCGA-CU-A0YR-01A-12D-A10S-08	2	0	0	41	0	0	0	0	0	0
TCGA-CU-A3KJ-01A-11D-A21A-08	3	19	0	15	0	0	0	22	0	0
TCGA-CU-A3QU-01A-11D-A22Z-08	3	7	0	10	0	0	0	7	0	0
TCGA-CU-A3YL-01A-11D-A22Z-08	6	19	0	3	0	0	16	20	0	0
TCGA-CU-A5W6-01A-11D-A289-08	6	16	0	19	0	0	10	16	0	0
TCGA-CU-A72E-01A-12D-A339-08	8	12	0	4	0	0	0	11	0	0
TCGA-DK-A1A3-01A-11D-A13W-08	4	61	0	26	0	0	22	38	0	0
TCGA-DK-A1A5-01A-11D-A13W-08	3	11	0	7	17	0	0	31	0	0
TCGA-DK-A1A6-01A-11D-A13W-08	4	15	0	19	0	0	0	24	0	0
TCGA-DK-A1A7-01A-11D-A13W-08	9	7	0	45	0	0	0	0	0	0
TCGA-DK-A1AA-01A-11D-A13W-08	2	0	0	18	0	0	0	0	0	0
TCGA-DK-A1AB-01A-11D-A13W-08	3	16	0	2	0	0	0	27	0	0
TCGA-DK-A1AC-01A-11D-A13W-08	14	240	0	42	0	0	84	85	0	0
TCGA-DK-A1AD-01A-11D-A13W-08	7	7	0	20	12	0	0	12	0	0
TCGA-DK-A1AE-01A-11D-A13W-08	4	18	0	0	0	0	8	6	0	0
TCGA-DK-A1AF-01A-11D-A13W-08	0	0	0	6	10	0	0	14	0	0
TCGA-DK-A1AG-01A-11D-A13W-08	2	10	0	3	0	0	9	18	8	0
TCGA-DK-A2HX-01A-12D-A18F-08	7	0	0	0	12	0	0	8	0	0
TCGA-DK-A2I1-01A-11D-A17V-08	4	25	0	5	0	0	0	11	0	0
TCGA-DK-A2I2-01A-11D-A17V-08	3	9	0	10	0	0	0	0	0	0
TCGA-DK-A2I4-01A-11D-A21A-08	11	121	0	20	0	0	34	81	0	0
TCGA-DK-A2I6-01A-12D-A18F-08	4	16	0	32	0	0	11	15	0	0
TCGA-DK-A3IK-01A-32D-A21A-08	11	7	0	31	0	0	0	15	0	0
TCGA-DK-A3IL-01A-11D-A20D-08	2	0	0	42	0	0	0	0	0	0
TCGA-DK-A3IM-01A-11D-A20D-08	5	0	0	21	0	0	0	0	0	0
TCGA-DK-A3IN-01A-11D-A20D-08	3	25	0	9	23	0	0	33	0	0
TCGA-DK-A3IQ-01A-31D-A20D-08	7	11	0	14	0	0	0	17	0	0
TCGA-DK-A3IS-01A-21D-A21A-08	12	36	0	8	0	0	0	28	0	0
TCGA-DK-A3IT-01A-31D-A20D-08	5	31	0	12	0	0	0	62	0	0
TCGA-DK-A3IU-01A-11D-A20D-08	8	36	0	28	0	0	16	18	0	0
TCGA-DK-A3IV-01A-22D-A21A-08	0	0	0	6	8	0	0	3	0	0
TCGA-DK-A3WW-01A-22D-A23M-08	9	130	0	12	0	0	64	140	0	0
TCGA-DK-A3WX-01A-22D-A22Z-08	2	4	0	7	0	0	0	0	0	0
TCGA-DK-A3WY-01A-11D-A22Z-08	0	2	0	0	0	0	0	6	0	0
TCGA-DK-A3X1-01A-12D-A22Z-08	5	132	0	56	0	0	0	71	0	0
TCGA-DK-A3X2-01A-11D-A22Z-08	10	4	0	11	0	0	0	8	0	0
TCGA-DK-A6AV-01A-12D-A30E-08	2	17	0	10	0	0	0	8	0	0
TCGA-DK-A6AW-01A-11D-A30E-08	14	0	0	22	0	308	496	0	196	0
TCGA-DK-A6B0-01A-11D-A31L-08	0	0	0	2	0	0	0	0	0	0
TCGA-DK-A6B1-01A-12D-A30E-08	11	17	0	16	0	0	0	6	0	0
TCGA-DK-A6B2-01A-11D-A30E-08	7	0	0	26	7	0	0	11	0	0
TCGA-DK-A6B5-01A-11D-A31L-08	2	20	0	17	0	0	0	11	0	0
TCGA-DK-A6B6-01A-11D-A30E-08	14	145	0	26	0	0	60	90	0	0
TCGA-DK-AA6L-01A-11D-A391-08	5	21	0	25	0	0	0	35	0	0
TCGA-DK-AA6M-01A-11D-A391-08	5	0	0	8	9	0	0	0	0	0
TCGA-DK-AA6P-01A-11D-A391-08	0	16	0	16	0	0	8	14	0	0
TCGA-DK-AA6Q-01A-11D-A391-08	0	7	0	6	0	0	0	13	7	0
TCGA-DK-AA6R-01A-11D-A42E-08	7	13	33	15	0	0	0	14	0	14
TCGA-DK-AA6S-01A-21D-A391-08	3	31	0	25	23	0	0	70	0	0
TCGA-DK-AA6T-01A-11D-A391-08	4	0	0	0	0	0	0	10	0	0
TCGA-DK-AA6U-01A-11D-A391-08	8	35	33	28	0	0	0	24	0	0
TCGA-DK-AA6W-01A-12D-A391-08	8	19	0	9	0	0	12	17	0	0
TCGA-DK-AA6X-01A-12D-A42E-08	3	5	0	0	0	0	5	11	0	0
TCGA-DK-AA71-01A-31D-A391-08	13	56	0	22	0	0	0	62	0	0
TCGA-DK-AA74-01A-11D-A391-08	1	7	0	12	15	0	0	23	0	0
TCGA-DK-AA75-01A-11D-A391-08	5	51	0	16	0	0	41	16	0	0
TCGA-DK-AA76-01A-11D-A391-08	6	19	0	22	0	0	0	18	0	0
TCGA-DK-AA77-01A-11D-A391-08	9	0	37	12	13	0	10	0	0	14
TCGA-E5-A2PC-01A-11D-A202-08	9	19	0	37	0	0	0	6	0	0
TCGA-E5-A4TZ-01A-11D-A31L-08	26	33	0	15	0	0	0	45	0	0
TCGA-E5-A4U1-01A-11D-A31L-08	9	53	0	10	0	0	22	76	0	0
TCGA-E7-A3X6-01A-12D-A22Z-08	2	15	0	8	0	0	0	6	0	0
TCGA-E7-A3Y1-01A-11D-A22Z-08	4	0	0	29	0	0	0	0	0	20
TCGA-E7-A4IJ-01A-31D-A26M-08	5	34	0	21	0	0	11	25	0	0
TCGA-E7-A4XJ-01A-11D-A26M-08	1	0	0	0	0	0	0	0	3	0
TCGA-E7-A519-01A-11D-A26M-08	2	1	0	11	0	0	0	4	0	0
TCGA-E7-A541-01A-11D-A26M-08	7	23	0	34	0	0	17	29	0	0
TCGA-E7-A5KE-01A-11D-A289-08	9	7	0	41	0	0	13	4	0	0
TCGA-E7-A5KF-01A-11D-A289-08	1	10	0	0	17	0	11	21	0	0
TCGA-E7-A677-01A-11D-A30E-08	6	0	0	38	0	0	0	0	0	15
TCGA-E7-A678-01A-11D-A30E-08	0	0	0	8	0	0	0	0	0	0
TCGA-E7-A6MD-01A-41D-A34U-08	16	26	0	21	33	0	0	35	0	0
TCGA-E7-A6ME-01A-22D-A32B-08	2	0	0	32	0	0	0	0	0	0
TCGA-E7-A6MF-01A-12D-A32B-08	0	6	0	1	0	0	0	8	0	0
TCGA-E7-A7DU-01A-11D-A32B-08	4	20	0	9	0	0	10	21	0	0
TCGA-E7-A7DV-01A-11D-A339-08	5	6	0	0	12	0	7	37	0	0
TCGA-E7-A7PW-01A-11D-A34U-08	3	10	9	0	0	0	0	3	0	0
TCGA-E7-A7XN-01A-11D-A34U-08	7	78	0	12	0	0	32	112	0	0
TCGA-E7-A85H-01A-11D-A34U-08	16	13	0	94	0	0	0	0	0	0
TCGA-E7-A8O7-01A-11D-A364-08	2	2	0	1	0	0	0	2	0	0
TCGA-E7-A8O8-01A-11D-A364-08	5	0	0	12	0	0	0	0	11	0
TCGA-E7-A97P-01A-11D-A38G-08	8	0	0	47	0	0	0	0	0	0
TCGA-E7-A97Q-01A-11D-A38G-08	0	0	0	20	0	0	0	0	0	0
TCGA-FD-A3B3-01A-12D-A202-08	4	7	0	0	0	0	12	19	0	0
TCGA-FD-A3B4-01A-12D-A202-08	0	0	0	18	0	4	0	0	0	0
TCGA-FD-A3B5-01A-11D-A20D-08	8	11	0	15	0	0	0	9	0	0
TCGA-FD-A3B6-01A-21D-A20D-08	2	15	0	20	0	0	0	16	0	0
TCGA-FD-A3B7-01A-31D-A20D-08	5	0	0	13	0	0	0	0	0	0
TCGA-FD-A3B8-01A-31D-A20D-08	1	2	0	0	0	0	0	2	0	0
TCGA-FD-A3N5-01A-11D-A21A-08	10	0	0	60	0	0	0	0	0	18
TCGA-FD-A3N6-01A-11D-A21A-08	3	5	0	0	0	0	8	3	9	0
TCGA-FD-A3NA-01A-11D-A21A-08	2	19	0	7	0	0	0	9	0	0
TCGA-FD-A3SJ-01A-12D-A22Z-08	0	10	0	23	0	0	0	19	20	0
TCGA-FD-A3SL-01A-21D-A22Z-08	6	6	0	24	0	0	11	17	0	0
TCGA-FD-A3SM-01A-11D-A22Z-08	4	14	0	7	0	0	0	20	0	0
TCGA-FD-A3SN-01A-12D-A22Z-08	6	46	0	21	0	0	14	8	0	0
TCGA-FD-A3SO-01A-11D-A22Z-08	6	44	0	14	0	0	17	28	0	0
TCGA-FD-A3SP-01A-31D-A22Z-08	1	4	0	20	0	0	0	5	0	0
TCGA-FD-A3SQ-01A-21D-A22Z-08	9	1	0	0	0	0	0	5	0	4
TCGA-FD-A3SR-01A-11D-A22Z-08	3	0	0	15	12	0	0	9	0	0
TCGA-FD-A3SS-01A-12D-A22Z-08	5	60	0	10	0	0	26	41	0	0
TCGA-FD-A43N-01A-11D-A23U-08	14	8	0	18	0	0	0	17	0	0
TCGA-FD-A43P-01A-31D-A23U-08	8	33	0	37	0	0	0	45	0	0
TCGA-FD-A43S-01A-21D-A23U-08	0	0	0	1	0	0	0	0	0	0
TCGA-FD-A43U-01A-11D-A23U-08	8	0	0	0	6	0	0	0	0	0
TCGA-FD-A43X-01A-11D-A23U-08	9	16	0	0	30	0	0	27	0	0
TCGA-FD-A43Y-01A-21D-A26M-08	4	0	0	16	0	0	0	0	0	0
TCGA-FD-A5BR-01A-11D-A26M-08	3	0	0	16	0	0	0	0	0	0
TCGA-FD-A5BS-01A-21D-A26M-08	1	0	0	0	8	0	0	0	0	0
TCGA-FD-A5BT-01A-11D-A26M-08	2	7	0	5	9	0	0	15	0	0
TCGA-FD-A5BU-01A-31D-A26M-08	2	3	0	17	0	0	0	0	0	0
TCGA-FD-A5BV-01A-11D-A26M-08	8	0	0	11	0	0	0	0	0	8
TCGA-FD-A5BX-01A-11D-A26M-08	1	37	0	8	0	0	17	48	0	0
TCGA-FD-A5BY-01A-31D-A289-08	0	4	0	5	0	0	0	0	9	0
TCGA-FD-A5BZ-01A-11D-A289-08	2	0	0	12	6	0	9	7	0	0
TCGA-FD-A5C0-01A-11D-A289-08	11	4	0	25	0	0	0	7	0	0
TCGA-FD-A5C1-01A-11D-A289-08	9	11	0	14	0	0	0	14	0	0
TCGA-FD-A62N-01A-11D-A30E-08	0	0	0	16	0	0	0	0	0	7
TCGA-FD-A62O-01A-11D-A30E-08	7	12	0	9	0	0	14	14	0	0
TCGA-FD-A62P-01A-32D-A30E-08	8	23	0	12	0	0	26	33	0	0
TCGA-FD-A62S-01A-11D-A30E-08	7	0	0	14	0	0	0	0	0	0
TCGA-FD-A6TA-01A-12D-A339-08	4	23	0	2	0	0	0	47	0	0
TCGA-FD-A6TB-01A-12D-A339-08	3	10	0	0	0	0	10	27	0	0
TCGA-FD-A6TC-01A-21D-A339-08	10	104	0	36	0	0	0	110	0	0
TCGA-FD-A6TD-01A-51D-A339-08	4	14	0	16	0	0	0	5	0	0
TCGA-FD-A6TE-01A-12D-A339-08	5	25	0	0	0	0	0	30	0	0
TCGA-FD-A6TF-01A-52D-A32B-08	10	0	0	0	21	0	0	23	0	0
TCGA-FD-A6TG-01A-11D-A32B-08	7	16	0	46	32	0	0	29	0	0
TCGA-FD-A6TH-01A-11D-A32B-08	10	0	0	11	19	0	0	13	0	0
TCGA-FD-A6TI-01A-11D-A32B-08	4	0	0	20	0	0	6	0	0	0
TCGA-FD-A6TK-01A-42D-A339-08	3	4	0	11	0	0	0	6	0	4
TCGA-FJ-A3Z7-01A-12D-A23M-08	10	37	0	20	0	0	0	28	0	0
TCGA-FJ-A3Z9-01A-11D-A26M-08	5	3	0	8	0	0	0	3	0	0
TCGA-FJ-A3ZE-01A-11D-A23M-08	0	0	44	29	0	0	0	0	19	12
TCGA-FJ-A3ZF-01A-11D-A23M-08	3	12	0	23	18	0	10	11	0	0
TCGA-FJ-A871-01A-11D-A34U-08	3	0	0	7	0	0	0	2	0	3
TCGA-FT-A3EE-01A-11D-A202-08	9	0	0	21	10	0	0	0	0	0
TCGA-FT-A61P-01A-11D-A30E-08	6	0	0	26	18	0	0	7	0	0
TCGA-G2-A2EC-01A-11D-A17V-08	2	29	0	0	0	0	8	16	0	0
TCGA-G2-A2EF-01A-12D-A18F-08	1	33	0	13	0	0	0	35	0	0
TCGA-G2-A2EJ-01A-11D-A17V-08	4	16	0	16	0	0	0	33	0	0
TCGA-G2-A2EK-01A-22D-A18F-08	3	3	0	6	0	0	0	1	0	0
TCGA-G2-A2EL-01A-12D-A18F-08	5	14	0	12	0	0	0	21	0	0
TCGA-G2-A2EO-01A-11D-A17V-08	10	93	0	7	0	0	27	110	0	0
TCGA-G2-A2ES-01A-11D-A17V-08	3	30	0	76	0	0	0	8	0	0
TCGA-G2-A3IB-01A-11D-A20D-08	2	0	16	0	5	0	0	0	0	0
TCGA-G2-A3IE-01A-11D-A20D-08	3	28	0	11	0	0	0	40	0	0
TCGA-G2-A3VY-01A-11D-A22Z-08	8	55	0	17	0	0	0	112	0	0
TCGA-G2-AA3B-01A-11D-A391-08	6	54	0	18	0	0	23	79	0	0
TCGA-G2-AA3C-01A-21D-A391-08	8	18	0	16	0	0	0	25	0	0
TCGA-G2-AA3D-01A-11D-A391-08	5	24	0	7	0	0	0	34	0	0
TCGA-G2-AA3F-01A-12D-A42E-08	4	6	0	8	0	0	0	9	0	6
TCGA-GC-A3BM-01A-11D-A22Z-08	7	4	0	9	0	0	0	6	7	0
TCGA-GC-A3I6-01A-11D-A20D-08	4	12	0	12	0	4	2	9	0	0
TCGA-GC-A3OO-01A-11D-A22Z-08	0	17	0	13	0	0	9	8	0	0
TCGA-GC-A3RB-01A-12D-A21Z-08	7	6	0	9	0	0	0	15	9	0
TCGA-GC-A3RC-01A-11D-A22Z-08	6	23	0	57	0	0	0	10	0	0
TCGA-GC-A3RD-01A-12D-A22Z-08	0	5	0	10	0	0	0	5	0	5
TCGA-GC-A3WC-01A-31D-A22Z-08	8	8	0	16	0	0	0	10	0	0
TCGA-GC-A3YS-01A-11D-A23M-08	4	0	0	0	32	0	10	16	0	0
TCGA-GC-A4ZW-01A-11D-A26M-08	9	59	0	25	0	0	0	90	0	0
TCGA-GC-A6I1-01A-12D-A31L-08	2	19	0	4	0	0	9	14	11	0
TCGA-GC-A6I3-01A-11D-A31L-08	5	15	0	20	0	0	0	22	0	0
TCGA-GD-A2C5-01A-12D-A17V-08	6	12	0	0	26	0	0	33	0	0
TCGA-GD-A3OP-01A-21D-A21Z-08	2	17	0	25	17	0	0	26	0	0
TCGA-GD-A3OQ-01A-32D-A21Z-08	4	0	0	2	9	0	0	9	0	0
TCGA-GD-A3OS-01A-12D-A21Z-08	7	0	0	6	8	0	0	0	0	0
TCGA-GD-A6C6-01A-21D-A31L-08	3	25	0	14	0	0	10	26	0	0
TCGA-GD-A76B-01A-11D-A32B-08	7	11	0	0	0	0	12	9	0	0
TCGA-GU-A42P-01A-11D-A23U-08	1	22	0	21	0	0	10	16	0	0
TCGA-GU-A42Q-01A-11D-A23U-08	7	11	0	11	0	0	0	15	0	0
TCGA-GU-A42R-01A-11D-A23M-08	0	11	0	11	0	0	8	13	0	0
TCGA-GU-A762-01A-11D-A339-08	5	0	0	0	4	0	4	6	0	0
TCGA-GU-A763-01A-11D-A32B-08	1	0	0	11	0	0	3	0	0	0
TCGA-GU-A764-01A-11D-A34U-08	2	8	0	11	0	0	4	6	0	0
TCGA-GU-A766-01A-11D-A32B-08	2	12	0	0	9	0	0	19	0	0
TCGA-GU-A767-01A-11D-A32B-08	1	15	40	26	0	0	8	13	0	0
TCGA-GU-AATO-01A-11D-A391-08	4	20	0	0	30	0	0	34	0	0
TCGA-GU-AATP-01A-11D-A391-08	9	22	0	11	29	0	0	37	0	0
TCGA-GU-AATQ-01A-11D-A391-08	1	0	0	0	20	0	0	27	0	0
TCGA-GV-A3JV-01A-11D-A21Z-08	12	0	0	0	10	0	0	5	0	0
TCGA-GV-A3JW-01A-11D-A20D-08	0	0	0	9	5	0	0	8	0	0
TCGA-GV-A3JX-01A-11D-A20D-08	1	7	0	0	22	0	8	29	0	0
TCGA-GV-A3JZ-01A-11D-A21A-08	7	25	0	3	0	0	36	50	0	0
TCGA-GV-A3QF-01A-31D-A22Z-08	4	0	13	13	8	0	0	0	0	0
TCGA-GV-A3QG-01A-11D-A21Z-08	7	2	0	1	0	0	0	3	0	7
TCGA-GV-A3QH-01A-11D-A21Z-08	5	6	0	17	0	0	0	14	0	0
TCGA-GV-A3QI-01A-11D-A21Z-08	12	12	29	39	0	0	0	10	0	23
TCGA-GV-A3QK-01B-11D-A23M-08	7	7	0	14	0	0	9	5	0	0
TCGA-GV-A40E-01A-12D-A23M-08	6	5	0	21	0	0	0	21	0	0
TCGA-GV-A40G-01A-11D-A23M-08	14	4	0	15	13	0	0	7	0	0
TCGA-GV-A6ZA-01A-12D-A339-08	4	7	0	5	12	0	12	38	0	0
TCGA-H4-A2HO-01A-11D-A17V-08	9	0	0	0	14	0	0	0	0	0
TCGA-H4-A2HQ-01A-11D-A17V-08	4	47	0	50	0	0	0	28	0	0
TCGA-HQ-A2OE-01A-11D-A202-08	3	8	0	22	0	0	0	16	0	0
TCGA-HQ-A2OF-01A-11D-A26M-08	11	0	0	11	0	0	0	0	0	7
TCGA-HQ-A5ND-01A-11D-A26M-08	1	0	0	0	0	0	10	5	11	0
TCGA-HQ-A5NE-01A-12D-A289-08	10	23	0	8	17	0	0	43	0	0
TCGA-K4-A3WS-01A-11D-A22Z-08	0	16	0	23	0	0	0	14	17	8
TCGA-K4-A3WU-01B-11D-A23M-08	11	8	0	15	0	0	7	16	0	0
TCGA-K4-A3WV-01A-11D-A22Z-08	1	0	0	7	5	0	0	0	0	6
TCGA-K4-A4AB-01B-12D-A289-08	7	0	0	16	0	0	0	7	0	0
TCGA-K4-A4AC-01A-21D-A26M-08	10	4	0	15	0	0	12	6	0	0
TCGA-K4-A54R-01A-11D-A26M-08	1	91	0	5	0	0	60	113	0	0
TCGA-K4-A5RH-01A-11D-A30E-08	0	16	0	6	0	0	9	14	0	0
TCGA-K4-A5RI-01A-11D-A289-08	7	3	0	6	0	0	7	6	0	8
TCGA-K4-A5RJ-01A-11D-A289-08	3	28	0	21	0	0	14	38	0	0
TCGA-K4-A6FZ-01A-11D-A31L-08	0	31	0	69	0	0	0	14	0	0
TCGA-K4-A6MB-01A-11D-A31L-08	5	23	0	19	0	0	8	32	0	0
TCGA-K4-A83P-01A-11D-A34U-08	3	15	0	15	0	0	7	11	0	0
TCGA-K4-AAQO-01A-11D-A38G-08	2	20	0	31	0	0	0	12	0	0
TCGA-KQ-A41N-01A-11D-A339-08	0	0	0	27	11	0	9	0	0	0
TCGA-KQ-A41O-01A-12D-A34U-08	9	14	0	5	0	0	0	33	0	0
TCGA-KQ-A41P-01A-12D-A339-08	9	31	0	0	0	0	15	34	0	0
TCGA-KQ-A41Q-01A-11D-A339-08	5	7	0	15	0	0	0	9	0	0
TCGA-KQ-A41R-01A-21D-A34U-08	19	92	0	97	0	0	0	14	0	0
TCGA-KQ-A41S-01A-12D-A339-08	1	14	0	6	0	0	16	24	0	0
TCGA-LC-A66R-01A-41D-A30E-08	3	5	0	11	0	0	10	11	0	0
TCGA-LT-A5Z6-01A-11D-A289-08	6	79	0	26	0	0	0	67	0	0
TCGA-LT-A8JT-01A-11D-A364-08	4	4	0	2	7	0	0	6	0	0
TCGA-MV-A51V-01A-11D-A26M-08	18	131	0	46	0	0	0	269	0	0
TCGA-PQ-A6FI-01A-11D-A31L-08	5	9	0	19	0	0	0	8	0	0
TCGA-PQ-A6FN-01A-11D-A31L-08	2	5	0	7	0	0	0	4	0	5
TCGA-R3-A69X-01A-22D-A30E-08	3	25	0	10	0	0	0	16	0	0
TCGA-S5-A6DX-01A-11D-A31L-08	13	68	0	24	0	0	16	79	0	0
TCGA-S5-AA26-01A-11D-A38G-08	9	27	0	5	0	0	0	27	0	0
TCGA-SY-A9G0-01A-12D-A38G-08	2	0	0	0	3	0	4	5	0	0
TCGA-SY-A9G5-01A-11D-A38G-08	12	97	0	27	0	0	0	113	0	0
TCGA-UY-A78K-01A-11D-A339-08	5	23	0	142	0	0	0	41	0	0
