Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-G2-A3IB-01A-11D-A20D-08	14	22	58	11	14
TCGA-G2-A3IE-01A-11D-A20D-08	225	124	55	25	5
TCGA-G2-A3VY-01A-11D-A22Z-08	648	106	155	20	0
TCGA-G2-AA3B-01A-11D-A391-08	651	149	72	0	16
TCGA-G2-AA3C-01A-21D-A391-08	150	71	23	45	3
TCGA-G2-AA3D-01A-11D-A391-08	190	44	27	4	0
TCGA-G2-AA3F-01A-12D-A42E-08	45	22	57	35	4
TCGA-GC-A3BM-01A-11D-A22Z-08	23	30	0	81	12
TCGA-GC-A3I6-01A-11D-A20D-08	92	79	46	16	1
TCGA-GC-A3OO-01A-11D-A22Z-08	46	89	34	2	0
TCGA-GC-A3RB-01A-12D-A21Z-08	78	55	13	60	3
TCGA-GC-A3RC-01A-11D-A22Z-08	91	120	212	24	26
TCGA-GC-A3RD-01A-12D-A22Z-08	28	23	17	33	1
TCGA-GC-A3WC-01A-31D-A22Z-08	58	38	59	34	6
TCGA-GC-A3YS-01A-11D-A23M-08	131	68	40	49	17
TCGA-GC-A4ZW-01A-11D-A26M-08	569	141	72	34	12
TCGA-GC-A6I1-01A-12D-A31L-08	138	102	27	26	0
TCGA-GC-A6I3-01A-11D-A31L-08	127	34	75	45	14
TCGA-GD-A2C5-01A-12D-A17V-08	142	70	47	35	25
TCGA-GD-A3OP-01A-21D-A21Z-08	142	160	77	43	0
TCGA-GD-A3OQ-01A-32D-A21Z-08	52	19	0	39	6
TCGA-GD-A3OS-01A-12D-A21Z-08	14	23	25	53	0
TCGA-GD-A6C6-01A-21D-A31L-08	168	82	51	37	9
TCGA-GD-A76B-01A-11D-A32B-08	80	55	32	36	10
TCGA-GU-A42P-01A-11D-A23U-08	119	119	52	32	23
TCGA-GU-A42Q-01A-11D-A23U-08	107	37	24	35	19
TCGA-GU-A42R-01A-11D-A23M-08	88	50	42	27	5
TCGA-GU-A762-01A-11D-A339-08	36	7	13	49	7
TCGA-GU-A763-01A-11D-A32B-08	23	2	33	22	0
TCGA-GU-A764-01A-11D-A34U-08	42	31	42	14	7
TCGA-GU-A766-01A-11D-A32B-08	124	77	18	7	12
TCGA-GU-A767-01A-11D-A32B-08	135	36	250	20	31
TCGA-GU-AATO-01A-11D-A391-08	213	134	10	30	0
TCGA-GU-AATP-01A-11D-A391-08	154	137	56	35	15
TCGA-GU-AATQ-01A-11D-A391-08	105	25	59	20	2
TCGA-GV-A3JV-01A-11D-A21Z-08	14	20	0	99	10
TCGA-GV-A3JW-01A-11D-A20D-08	36	13	11	33	7
TCGA-GV-A3JX-01A-11D-A20D-08	203	57	20	33	14
TCGA-GV-A3JZ-01A-11D-A21A-08	277	129	32	36	71
TCGA-GV-A3QF-01A-31D-A22Z-08	16	12	87	43	2
TCGA-GV-A3QG-01A-11D-A21Z-08	20	13	41	34	0
TCGA-GV-A3QH-01A-11D-A21Z-08	102	17	7	70	0
TCGA-GV-A3QI-01A-11D-A21Z-08	95	54	357	62	6
TCGA-GV-A3QK-01B-11D-A23M-08	43	39	32	55	13
TCGA-GV-A40E-01A-12D-A23M-08	118	0	40	39	5
TCGA-GV-A40G-01A-11D-A23M-08	21	45	36	85	3
TCGA-GV-A6ZA-01A-12D-A339-08	198	91	13	39	20
TCGA-H4-A2HO-01A-11D-A17V-08	21	16	14	52	0
TCGA-H4-A2HQ-01A-11D-A17V-08	233	133	154	12	20
TCGA-HQ-A2OE-01A-11D-A202-08	54	30	49	39	6
TCGA-HQ-A2OF-01A-11D-A26M-08	4	11	0	107	8
TCGA-HQ-A5ND-01A-11D-A26M-08	14	13	29	39	13
TCGA-HQ-A5NE-01A-12D-A289-08	225	159	28	33	8
TCGA-K4-A3WS-01A-11D-A22Z-08	124	54	169	0	5
TCGA-K4-A3WU-01B-11D-A23M-08	109	23	11	65	18
TCGA-K4-A3WV-01A-11D-A22Z-08	1	8	12	48	7
TCGA-K4-A4AB-01B-12D-A289-08	16	17	34	52	3
TCGA-K4-A4AC-01A-21D-A26M-08	50	31	38	43	21
TCGA-K4-A54R-01A-11D-A26M-08	695	414	11	0	59
TCGA-K4-A5RH-01A-11D-A30E-08	50	88	38	21	15
TCGA-K4-A5RI-01A-11D-A289-08	33	23	50	54	7
TCGA-K4-A5RJ-01A-11D-A289-08	235	139	74	16	6
TCGA-K4-A6FZ-01A-11D-A31L-08	129	114	252	0	0
TCGA-K4-A6MB-01A-11D-A31L-08	177	121	59	59	0
TCGA-K4-A83P-01A-11D-A34U-08	101	77	80	31	5
TCGA-K4-AAQO-01A-11D-A38G-08	112	60	84	44	1
TCGA-KQ-A41N-01A-11D-A339-08	28	37	150	27	16
TCGA-KQ-A41O-01A-12D-A34U-08	192	32	11	58	14
TCGA-KQ-A41P-01A-12D-A339-08	206	118	12	28	23
TCGA-KQ-A41Q-01A-11D-A339-08	66	35	9	55	22
TCGA-KQ-A41R-01A-21D-A34U-08	99	456	323	88	19
TCGA-KQ-A41S-01A-12D-A339-08	145	85	18	21	10
TCGA-LC-A66R-01A-41D-A30E-08	60	25	25	26	24
TCGA-LT-A5Z6-01A-11D-A289-08	355	260	62	0	0
TCGA-LT-A8JT-01A-11D-A364-08	21	20	10	32	7
TCGA-MV-A51V-01A-11D-A26M-08	1689	184	106	0	76
TCGA-PQ-A6FI-01A-11D-A31L-08	65	31	43	36	11
