Samples	SBS96A	SBS96B
TCGA-UY-A9PD-01A-11D-A38G-08	95	165
TCGA-UY-A9PE-01A-11D-A38G-08	93	84
TCGA-UY-A9PF-01A-11D-A38G-08	258	120
TCGA-UY-A9PH-01A-11D-A38G-08	238	77
TCGA-XF-A8HB-01A-11D-A364-08	10	57
TCGA-XF-A8HC-01A-11D-A364-08	65	72
TCGA-XF-A8HD-01A-11D-A364-08	353	80
TCGA-XF-A8HE-01A-11D-A364-08	294	44
TCGA-XF-A8HF-01A-11D-A364-08	56	79
TCGA-XF-A8HG-01A-11D-A364-08	114	119
TCGA-XF-A8HH-01A-11D-A38G-08	63	40
TCGA-XF-A8HI-01A-11D-A38G-08	62	16
TCGA-XF-A9SG-01A-12D-A42E-08	114	53
TCGA-XF-A9SH-01A-11D-A391-08	19	17
TCGA-XF-A9SI-01A-11D-A391-08	305	0
TCGA-XF-A9SJ-01A-11D-A391-08	169	58
TCGA-XF-A9SK-01A-11D-A42E-08	76	45
TCGA-XF-A9SL-01A-11D-A391-08	54	6
TCGA-XF-A9SM-01A-11D-A42E-08	195	16
TCGA-XF-A9SP-01A-11D-A391-08	172	89
TCGA-XF-A9ST-01A-11D-A42E-08	265	189
TCGA-XF-A9SU-01A-31D-A391-08	7	34
TCGA-XF-A9SV-01A-21D-A42E-08	17	45
TCGA-XF-A9SW-01A-11D-A42E-08	23	35
TCGA-XF-A9SX-01A-21D-A391-08	28	67
TCGA-XF-A9SY-01A-21D-A42E-08	180	185
TCGA-XF-A9SZ-01A-11D-A391-08	102	76
TCGA-XF-A9T0-01A-11D-A391-08	437	212
TCGA-XF-A9T2-01A-11D-A42E-08	48	29
TCGA-XF-A9T3-01A-11D-A42E-08	104	264
TCGA-XF-A9T4-01A-11D-A391-08	9	21
TCGA-XF-A9T5-01A-11D-A42E-08	575	12
TCGA-XF-A9T6-01A-11D-A42E-08	82	156
TCGA-XF-A9T8-01A-11D-A391-08	637	2
TCGA-XF-AAME-01A-12D-A42E-08	0	18
TCGA-XF-AAMF-01A-21D-A42E-08	36	29
TCGA-XF-AAMG-01A-11D-A42E-08	690	132
TCGA-XF-AAMH-01A-11D-A42E-08	2	41
TCGA-XF-AAMJ-01A-11D-A42E-08	0	31
TCGA-XF-AAML-01A-11D-A42E-08	313	114
TCGA-XF-AAMQ-01A-11D-A42E-08	138	34
TCGA-XF-AAMR-01A-31D-A42E-08	57	28
TCGA-XF-AAMT-01A-11D-A42E-08	25	54
TCGA-XF-AAMW-01A-11D-A42E-08	1	22
TCGA-XF-AAMX-01A-11D-A42E-08	129	150
TCGA-XF-AAMY-01A-11D-A42E-08	66	38
TCGA-XF-AAMZ-01A-11D-A42E-08	124	83
TCGA-XF-AAN0-01A-11D-A42E-08	272	66
TCGA-XF-AAN1-01A-31D-A42E-08	17	62
TCGA-XF-AAN2-01A-11D-A42E-08	381	27
TCGA-XF-AAN3-01A-11D-A42E-08	125	24
TCGA-XF-AAN4-01A-11D-A42E-08	22	6
