Samples	SBS96A	SBS96B	SBS96C
TCGA-A8-A08S-01A-11W-A050-09	51	1	5
TCGA-A8-A08T-01A-21W-A019-09	45	7	9
TCGA-A8-A08X-01A-21W-A019-09	41	2	2
TCGA-A8-A08Z-01A-21W-A019-09	31	5	0
TCGA-A8-A090-01A-11W-A019-09	26	6	6
TCGA-A8-A091-01A-11W-A019-09	19	5	2
TCGA-A8-A092-01A-11W-A019-09	26	44	14
TCGA-A8-A093-01A-11W-A019-09	33	62	26
TCGA-A8-A094-01A-11W-A019-09	45	129	11
TCGA-A8-A095-01A-11W-A019-09	12	141	21
TCGA-A8-A096-01A-11W-A019-09	38	0	1
TCGA-A8-A097-01A-11W-A050-09	74	30	7
TCGA-A8-A099-01A-11W-A019-09	31	1	0
TCGA-A8-A09A-01A-11W-A019-09	172	54	9
TCGA-A8-A09B-01A-11W-A019-09	33	5	1
TCGA-A8-A09C-01A-11W-A019-09	45	2	2
TCGA-A8-A09D-01A-11W-A019-09	42	10	1
TCGA-A8-A09E-01A-11W-A019-09	67	6	2
TCGA-A8-A09G-01A-21W-A019-09	0	250	9
TCGA-A8-A09I-01A-22W-A050-09	74	54	12
TCGA-A8-A09K-01A-11W-A019-09	34	6	3
TCGA-A8-A09M-01A-11W-A019-09	128	13	12
TCGA-A8-A09N-01A-11W-A019-09	69	48	9
TCGA-A8-A09Q-01A-11W-A019-09	143	9	17
TCGA-A8-A09T-01A-11W-A019-09	18	4	0
TCGA-A8-A09V-01A-11D-A045-09	25	4	0
TCGA-A8-A09W-01A-11W-A019-09	80	5	3
TCGA-A8-A09X-01A-11W-A019-09	46	16	9
TCGA-A8-A09Z-01A-11W-A019-09	1105	2	47
TCGA-A8-A0A1-01A-11W-A019-09	55	3	3
TCGA-A8-A0A2-01A-11W-A050-09	35	1	2
TCGA-A8-A0A4-01A-11W-A019-09	53	6	3
TCGA-A8-A0A6-01A-12W-A071-09	25	6	8
TCGA-A8-A0A7-01A-11W-A019-09	31	195	19
TCGA-A8-A0A9-01A-11W-A019-09	49	9	7
TCGA-A8-A0AB-01A-11W-A050-09	30	2	1
TCGA-A8-A0AD-01A-11W-A071-09	21	4	0
TCGA-AC-A23C-01A-12D-A167-09	52	46	8
TCGA-AC-A23E-01A-11D-A159-09	16	0	4
TCGA-AC-A23H-01A-11D-A159-09	0	4670	76
TCGA-AC-A2B8-01A-11D-A17D-09	20	76	1
TCGA-AC-A2BK-01A-11D-A21Q-09	78	4	5
TCGA-AC-A2BM-01A-11D-A21Q-09	12	1	2
TCGA-AC-A2FB-01A-11D-A17D-09	9	5	0
TCGA-AC-A2FF-01A-11D-A17D-09	9	4	0
TCGA-AC-A2FG-01A-11D-A17D-09	24	7	4
TCGA-AC-A2FO-01A-11D-A17W-09	0	20	6
TCGA-AC-A2QH-01A-11D-A18P-09	23	6	2
TCGA-AC-A3HN-01A-11D-A20S-09	17	1	0
TCGA-AC-A3OD-01A-11D-A21Q-09	20	2	4
TCGA-AC-A3QP-01A-11D-A22X-09	21	0	7
TCGA-AC-A3QQ-01A-11D-A228-09	24	0	2
TCGA-AC-A3W5-01A-11D-A228-09	86	62	9
TCGA-AC-A3YI-01A-21D-A23C-09	9	1	4
